aertaishan 阿尔泰山
gongtongliyi 共同利益
gongtongnuli 共同努力
gongtongrenwu 共同任务
gongtongshangding 共同商定
gongtongshichang 共同市场
gongtongtigao 共同提高
gongtongwancheng 共同完成
gongtongxingdong 共同行动
gongtongyuanwang 共同愿望
gongtongyuyan 共同语言
gongtongzhichu 共同之处
gongwurenyuan 公务人员
gongwuyongche 公务用车
gongxiangziyuan 共享资源
gongxianliliang 贡献力量
gongxianyueqi 弓弦乐器
gongxumaodun 供需矛盾
gongxupingheng 供需平衡
gongyangfumu 供养父母
gongyebuju 工业布局
gongyebumen 工业部门
gongyefeishui 工业废水
gongyegeming 工业革命
gongyeguolu 工业锅炉
gongyeshengchan 工业生产
gongyetixi 工业体系
gongyewuran 工业污染
gongyeyongdi 工业用地
gongyeyongpin 工业用品
gongyeyongshui 工业用水
gongyeyuanliao 工业原料
gongyeyuanqu 工业园区
gongyiguanggao 公益广告
gongyijishu 工艺技术
gongyiliucheng 工艺流程
gongyimeishu 工艺美术
gongyishiye 公益事业
gongyishuiping 工艺水平
gongyongshiye 公用事业
gongzhengsifa 公正司法
gongzhengzhifa 公正执法
gongzhirenyuan 公职人员
gongzifuli 工资福利
gongziguanli 工资管理
gongzishouru 工资收入
gongzishuiping 工资水平
gongzuobumen 工作部门
gongzuodianya 工作电压
gongzuodiaodong 工作调动
gongzuogangwei 工作岗位
gongzuojinzhan 工作进展
gongzuopinlv 工作频率
gongzuoqinfen 工作勤奋
gongzuorenyuan 工作人员
gongzuowendu 工作温度
gongzuoxiaolv 工作效率
gongzuoyuan 工作预案
gongzuozuofeng 工作作风
gouchengfanzui 构成犯罪
gouchengjichu 构成基础
gouchengweixie 构成威胁
gougudingli 勾股定理
gouhezongheng 沟壑纵横
goupigaoyao 狗皮膏药
gouqietousheng 苟且偷生
goutongjiaoliu 沟通交流
goutongliaojie 沟通了解
gouwuguangchang 购物广场
gouwuzhongxin 购物中心
gouzaofangfa 构造方法
gouzaoyundong 构造运动
gouzhugongshi 构筑工事
guafengxiayu 刮风下雨
guaidanbujing 怪诞不经
guamuxiangkan 刮目相看
guanbingyizhi 官兵一致
guancheluoshi 贯彻落实
guancheshishi 贯彻实施
guancheshizhong 贯彻始终
guanchezhixing 贯彻执行
guandaogongcheng 管道工程
guandianxianming 观点鲜明
guanduzhizhan 官渡之战
guanfangwangzhan 官方网站
guanfangyuyan 官方语言
guangaigongcheng 灌溉工程
guangaimianji 灌溉面积
guangaixitong 灌溉系统
guangbodianshi 广播电视
guangbodiantai 广播电台
guangbogongsi 广播公司
guangbojiemu 广播节目
guangboticao 广播体操
guangcaiduomu 光彩夺目
guangdadangyuan 广大党员
guangdaguanzhong 广大观众
guangdaqingnian 广大青年
guangdaqunzhong 广大群众
guangdazhigong 广大职工
guangdiankaiguan 光电开关
guangdianshubiao 光电鼠标
guangdianxiaoying 光电效应
guangdongshengwei 广东省委
guangdongyinyue 广东音乐
guangfanchuanbo 广泛传播
guangfankaizhan 广泛开展
guangfanyingyong 广泛应用
guanggaosheji 广告设计
guanggaoyewu 广告业务
guanghezuoyong 光合作用
guanghuicanlan 光辉灿烂
guanghuiyeji 光辉业绩
guangkuotiandi 广阔天地
guangmangsishe 光芒四射
guangmindianzu 光敏电阻
guangmingdadao 光明大道
guangmingleiluo 光明磊落
guangmingqiantu 光明前途
guangmingribao 光明日报
guangmingzhengda 光明正大
guangmingzhilu 光明之路
guangpufenxi 光谱分析
guangrongchenghao 光荣称号
guangrongchuantong 光荣传统
guangronggeming 光荣革命
guangrongyiwu 光荣义务
guanguanglvyou 观光旅游
guangweiliuchuan 广为流传
guangweirenzhi 广为人知
guangxiantongxin 光纤通信
guangxianwangluo 光纤网络
guangxueboli 光学玻璃
guangxueshebei 光学设备
guangxueyiqi 光学仪器
guangxunianjian 光绪年间
guangyideshuo 广义地说
guangzhaoqiangdu 光照强度
guangzhouqiyi 广州起义
guanjianbuwei 关键部位
guanjianbuzhou 关键步骤
guanjianhuanjie 关键环节
guanjianjishu 关键技术
guanjianrenwu 关键人物
guanjianshebei 关键设备
guanjianshike 关键时刻
guanjianshiqi 关键时期
guanjiansuozai 关键所在
guanjianwenti 关键问题
guanjianyinsu 关键因素
guanjianzaiyu 关键在于
guankandianshi 观看电视
guanliaojigou 官僚机构
guanliaozhuyi 官僚主义
guanliaoziben 官僚资本
guanlichengxu 管理程序
guanligongju 管理工具
guanligongzuo 管理工作
guanlihunluan 管理混乱
guanlijiawu 管理家务
guanlijigou 管理机构
guanlijizhi 管理机制
guanlijuece 管理决策
guanlikexue 管理科学
guanlikongzhi 管理控制
guanlimoshi 管理模式
guanlirenyuan 管理人员
guanlishuiping 管理水平
guanlitiaoli 管理条例
guanlitixi 管理体系
guanlitizhi 管理体制
guanlixiaolv 管理效率
guanlixitong 管理系统
guanlizhidu 管理制度
guanlizhongxin 管理中心
guannianxingtai 观念形态
guanshangjiazhi 观赏价值
guanshuibilei 关税壁垒
guantoushipin 罐头食品
guanxianan 谷氨酰胺
guanxianyuedui 管弦乐队
guanxianyueqi 管弦乐器
guanxianyuequ 管弦乐曲
guanxianyuetuan 管弦乐团
guanxibuda 关系不大
guanxiehua 关系恶化
guanxijinzhang 关系紧张
guanxiluoji 关系逻辑
guanximiqie 关系密切
guanxingdinglv 惯性定律
guanxinjiti 关心集体
guanxinqunzhong 关心群众
guanxintitie 关心体贴
guanyinpusa 观音菩萨
guanzhongdiqu 关中地区
guanzhongpingyuan 关中平原
guatouzhengzhi 寡头政治
gudaihanyu 古代汉语
gudaiwenming 古代文明
gudaiwenxue 古代文学
gudianfengge 古典风格
gudianjianzhu 古典建筑
gudianmingzhu 古典名著
gudianwenxue 古典文学
gudianxiaoshuo 古典小说
gudianyinyue 古典音乐
gudianyishu 古典艺术
gudianzhuyi 古典主义
gudianzuopin 古典作品
gudingbudong 固定不动
gudingshouru 固定收入
gudongdahui 股东大会
gudujimo 孤独寂寞
gufengongsi 股份公司
guganjiaoshi 骨干教师
guganliliang 骨干力量
guganqiye 骨干企业
guidaojiaotong 轨道交通
guidingdongzuo 规定动作
guifeizuijiu 贵妃醉酒
guigendaodi 归根到底
guigexinghao 规格型号
guihuasheji 规划设计
guijiduoduan 诡计多端
guilinshanshui 桂林山水
guimohongda 规模宏大
guinaqilai 归纳起来
guinatuili 归纳推理
guizhangzhidu 规章制度
gujinzhongwai 古今中外
gujunzuozhan 孤军作战
gukulingding 孤苦伶仃
gukuwuyi 孤苦无依
guliwuyuan 孤立无援
gulouguawen 孤陋寡闻
gundongzhoucheng 滚动轴承
gungunxiangqian 滚滚向前
guochanjiaoche 国产轿车
guochanruanjian 国产软件
guochengzhongjiang 过程中将
guocuozeren 过错责任
guodujieduan 过渡阶段
guodushiqi 过渡时期
guofanggongye 国防工业
guofangjianshe 国防建设
guofangkeji 国防科技
guofangliliang 国防力量
guogonghezuo 国共合作
guogongliangdang 国共两党
guohuiyiyuan 国会议员
guojiabiaozhun 国家标准
guojiabutie 国家补贴
guojiadianwang 国家电网
guojiajiguan 国家机关
guojiajihua 国家计划
guojiajiqi 国家机器
guojiapeichang 国家赔偿
guojiashuishou 国家税收
guojiasuoyou 国家所有
guojiaxingwang 国家兴亡
guojiayiji 国家一级
guojiayinhang 国家银行
guojiayuanshou 国家元首
guojiazhuanli 国家专利
guojiazhuquan 国家主权
guojiazhuyi 国家主义
guojibiaozhun 国际标准
guojietianqiao 过街天桥
guojifating 国际法庭
guojifayuan 国际法院
guojigongyue 国际公约
guojiguanli 国际惯例
guojihangkong 国际航空
guojihangyun 国际航运
guojijiaoliu 国际交流
guojijingzheng 国际竞争
guojijinrong 国际金融
guojijushi 国际局势
guojilianmeng 国际联盟
guojimaoyi 国际贸易
guojishangmao 国际商贸
guojishiwu 国际事务
guojishiyou 国际石油
guojishouzhi 国际收支
guojiweiwang 国际威望
guojixiangqi 国际象棋
guojixingshi 国际形势
guojiyouren 国际友人
guojiyulun 国际舆论
guojizhengduan 国际争端
guojizhuyi 国际主义
guojizuqiu 国际足球
guolidaxue 国立大学
guolizhongyang 国立中央
guomindahui 国民大会
guomindaiyu 国民待遇
guominfanying 过敏反应
guomingeming 国民革命
guominjiaoyu 国民教育
guominjingji 国民经济
guominshouru 国民收入
guominsuzhi 国民素质
guominyihui 国民议会
guominzhengfu 国民政府
guoneianquan 国内安全
guoneihangxian 国内航线
guoneixingshi 国内形势
guoqiangminfu 国强民富
guoqiaomixian 过桥米线
guoqufenci 过去分词
guoshifangwen 国事访问
guotaiminan 国泰民安
guotukaifa 国土开发
guotumianji 国土面积
guotuzhengzhi 国土整治
guotuziyuan 国土资源
guowaishichang 国外市场
guowangxingren 过往行人
guowuweiyuan 国务委员
guowuzongli 国务总理
guoyingbenling 过硬本领
guoyingjingji 国营经济
guoyingqiye 国营企业
guoyoucaichan 国有财产
guoyoujingji 国有经济
guoyouqiye 国有企业
guoyoutudi 国有土地
guoyouziben 国有资本
guoyouzichan 国有资产
guozhenruci 果真如此
guozubuqian 裹足不前
gupanduozi 顾盼多姿
gupiaojiage 股票价格
gupiaojiaoyi 股票交易
gupiaoshichang 股票市场
gupiaozhengquan 股票证券
gupiaozoushi 股票走势
guqiyongqi 鼓起勇气
guroufenli 骨肉分离
guroutongbao 骨肉同胞
gushigenggai 故事梗概
gushiqingjie 故事情节
gusuixibao 骨髓细胞
gusuiyizhi 骨髓移植
gutianhuiyi 古田会议
gutifeiwu 固体废物
gutiranliao 固体燃料
gutunanli 故土难离
guwenguanzhi 古文观止
guwudouzhi 鼓舞斗志
guwurenxin 鼓舞人心
guwushiqi 鼓舞士气
guyishanghai 故意伤害
guyonggongren 雇佣工人
guyonglaodong 雇佣劳动
guyoupinlv 固有频率
guyouwenhua 固有文化
guzhangzhenduan 故障诊断
guzuganjin 鼓足干劲
guzuozitai 故作姿态
hahadaxiao 哈哈大笑
hahadexiao 哈哈地笑
haibagaodu 海拔高度
haibaosheji 海报设计
haidisuidao 海底隧道
haiguanjianguan 海关监管
haijunjidi 海军基地
hainabaichuan 海纳百川
hairuibaguan 海瑞罢官
haishangyunshu 海上运输
haishuiyuchang 海水浴场
haiwaihuaren 海外华人
haiwaiqiaobao 海外侨胞
haiwaitouzi 海外投资
haiwandiqu 海湾地区
haixialiangan 海峡两岸
haiyanggongyuan 海洋公园
haiyanghuanjing 海洋环境
haiyangqihou 海洋气候
haiyangshengwu 海洋生物
haiyangwuran 海洋污染
haiyangxuejia 海洋学家
haiyangyuye 海洋渔业
haiyangziyuan 海洋资源
haleihuixing 哈雷彗星
hamidiqu 哈密地区
hanchanglinli 酣畅淋漓
handanxuebu 邯郸学步
hanfenglinlie 寒风凛冽
hanghaijishu 航海技术
hanghairiji 航海日记
hangkonggongsi 航空公司
hangkonggongye 航空工业
hangkonghangtian 航空航天
hangkongyaogan 航空遥感
hangkongyunshu 航空运输
hangtianfeiji 航天飞机
hangtiangongye 航天工业
hangtianhangkong 航天航空
hangtianjishu 航天技术
hangtianshiye 航天事业
hangtianzhongxin 航天中心
hanguozhengfu 韩国政府
hangyebiaozhun 行业标准
hangyelongtou 行业龙头
hanhubuqing 含糊不清
hanshucanshu 函数参数
hanxindianbing 韩信点兵
hanyifengfu 含义丰富
hanyupinyin 汉语拼音
hanzijiegou 汉字结构
haobuchiyi 毫不迟疑
haobudongyao 毫不动摇
haobufeili 毫不费力
haobuhanhu 毫不含糊
haobujieyi 毫不介意
haobukeqi 毫不客气
haobuliji 毫不利己
haobuliuqing 毫不留情
haobuxianggan 毫不相干
haobuxiangguan 毫不相关
haobuxunse 毫不逊色
haobuyanshi 毫不掩饰
haobuyouyu 毫不犹豫
haobuzaiyi 毫不在意
haodekaishi 好的开始
haohaoshangshang 浩浩汤汤
haojiubujian 好久不见
haoqichangcun 浩气长存
haoqingzhuangzhi 豪情壮志
haoranzhengqi 浩然正气
haoranzhiqi 浩然之气
haorenhaoshi 好人好事
haowubaoliu 毫无保留
haowudaoli 毫无道理
haowuguanxi 毫无关系
haowugulv 毫无顾虑
haowuliwai 毫无例外
haowuyiwen 毫无疑问
haowuyiyi 毫无意义
haowuyongchu 毫无用处
haoxuebujuan 好学不倦
haoxueshangjin 好学上进
haoyuedangkong 皓月当空
heaikeqin 和蔼可亲
hebeibangzi 河北梆子
hechengcailiao 合成材料
hechengranliao 合成染料
hechengshuzhi 合成树脂
hechengxiangjiao 合成橡胶
hechengxianwei 合成纤维
hefacaichan 合法财产
hefaliyi 合法利益
hefaquanli 合法权利
hefaquanyi 合法权益
hefashouru 合法收入
hefaxiwei 合法席位
hefazhengfu 合法政府
hegezhengshu 合格证书
heheyouming 赫赫有名
hehezhangong 赫赫战功
hehuguilv 合乎规律
hehuluoji 合乎逻辑
hehuqingli 合乎情理
heianshijie 黑暗世界
heibaixiangjian 黑白相间
heikegongji 黑客攻击
heikejishu 黑客技术
heiserenzhong 黑色人种
hejincailiao 合金材料
helianpai 合理安排
helibuju 合理布局
helichongzhuang 合理冲撞
helihefa 合理合法
helipeizhi 合理配置
heliyaoqiu 合理要求
hemashishi 荷马史诗
hemuxiangchu 和睦相处
henanbangzi 河南梆子
hengduanshanmai 横断山脉
hengguangonglu 横贯公路
henghenghaha 哼哼哈哈
hengliangbiaozhun 衡量标准
henglisishi 亨利四世
hengwendongwu 恒温动物
hengxiangfazhan 横向发展
hengxingbadao 横行霸道
henjiuhenjiu 很久很久
henjiuyiqian 很久以前
henzaoyiqian 很早以前
hepingbudui 和平部队
hepinggongchu 和平共处
hepingguodu 和平过渡
hepingjiejue 和平解决
hepingliliang 和平力量
hepingshiqi 和平时期
hepingtanpan 和平谈判
hepingtongyi 和平统一
hepingxiangchu 和平相处
hepingyanbian 和平演变
hepingzhuyi 和平主义
heqishengcai 和气生财
heshihedi 何时何地
hetanghesuan 核糖核酸
hetiandiqu 和田地区
hetongjiufen 合同纠纷
hetongtiaokuan 合同条款
heweiyiti 合为一体
hexieshehui 和谐社会
hexieshequ 和谐社区
hexieyizhi 和谐一致
hexinbujian 核心部件
hexinchengyuan 核心成员
hexinjiating 核心家庭
hexinjishu 核心技术
hexinlinian 核心理念
hexinneirong 核心内容
hexinrenwu 核心人物
hexizoulang 河西走廊
heyingliunian 合影留念
hezijingying 合资经营
hezuohuoban 合作伙伴
hezuoxiangmu 合作项目
hezuoyiliao 合作医疗
hezuoyukuai 合作愉快
hongdenggaozhao 红灯高照
hongguanguanli 宏观管理
hongguanjingji 宏观经济
hongguanshijie 宏观世界
hongguantiaokong 宏观调控
hongguanzhengce 宏观政策
honghonghuohuo 红红火火
honghonglvlv 红红绿绿
honghuangshidai 洪荒时代
honglaozaihai 洪涝灾害
honglvsemang 红绿色盲
hongqipiaopiao 红旗飘飘
hongsezhengquan 红色政权
hongshuifanlan 洪水泛滥
hongshuimengshou 洪水猛兽
hongtuoxuanran 烘托渲染
hongweilantu 宏伟蓝图
hongweimubiao 宏伟目标
houdaizisun 后代子孙
houjinbuzu 后劲不足
houjinxianchu 后进先出
houlaijushang 后来居上
houqinbaozhang 后勤保障
houqizhizuo 后期制作
houshengkewei 后生可畏
houtaichengxu 后台程序
huabeidiqu 华北地区
huabeipingyuan 华北平原
huacaoshumu 花草树木
huadongdiqu 华东地区
huadongmoca 滑动摩擦
huafajihe 画法几何
huagongchanpin 化工产品
huagongqiye 化工企业
huagongyuanliao 化工原料
huahefanying 化合反应
huahuagongzi 花花公子
huahuishichang 花卉市场
huaihaizhanyi 淮海战役
huaihaizhonglu 淮海中路
huaiheliuyu 淮河流域
huaiyiduixiang 怀疑对象
huajiemaodun 化解矛盾
huajikexiao 滑稽可笑
huakaihualuo 花开花落
hualongdianjing 画龙点睛
huanandiqu 华南地区
huanbaobumen 环保部门
huanchongrongye 缓冲溶液
huangchaoqiyi 黄巢起义
huangdanbujing 荒诞不经
huangexiaoyu 欢歌笑语
huangheliuyu 黄河流域
huanghuangzhangzhang 慌慌张张
huanghunshifen 黄昏时分
huangjinfenge 黄金分割
huangjinhaian 黄金海岸
huangjinjiage 黄金价格
huangjinqiyi 黄巾起义
huangjinshidai 黄金时代
huangjinshijian 黄金时间
huangjinshuidao 黄金水道
huangkongbuan 惶恐不安
huangkongbuyi 惶恐不已
huangpujunxiao 黄埔军校
huangrandawu 恍然大悟
huangserenzhong 黄色人种
huangsezhayao 黄色炸药
huangshagungun 黄沙滚滚
huangshigongyuan 黄石公园
huangtianhoutu 皇天后土
huangtudimao 黄土地貌
huangtugaoyuan 黄土高原
huangusizhou 环顾四周
huangzuneige 皇族内阁
huanhaichenfu 宦海沉浮
huanhuanxiangkou 环环相扣
huanhuanxixi 欢欢喜喜
huanjiexuanju 换届选举
huanjingbaohu 环境保护
huanjingbiaozhun 环境标准
huanjingcanshu 环境参数
huanjingelie 环境恶劣
huanjinggongcheng 环境工程
huanjingjiance 环境监测
huanjingtuihua 环境退化
huanjingweihai 环境危害
huanjingweisheng 环境卫生
huanjingwendu 环境温度
huanjingwuran 环境污染
huanjingxiaoyi 环境效益
huanjingxiaoying 环境效应
huanjingyali 环境压力
huanjingyaosu 环境要素
huanjingyingxiang 环境影响
huanjingyinsu 环境因素
huanjingyouhao 环境友好
huanjingyoumei 环境优美
huanjingzaosheng 环境噪声
huanjingzhili 环境治理
huanjingzhiliang 环境质量
huanjingzijing 环境自净
huanlejinxiao 欢乐今宵
huanleqifen 欢乐气氛
huanlexianghe 欢乐祥和
huanraosudu 环绕速度
huanshengxiaoyu 欢声笑语
huanweigongren 环卫工人
huanxinguwu 欢欣鼓舞
huanyingyishi 欢迎仪式
huarenhuaqiao 华人华侨
huasefanduo 花色繁多
huaweigongsi 华为公司
huaweihuijin 化为灰烬
huaxiangniaoyu 花香鸟语
huaxuebianhua 化学变化
huaxuechengfen 化学成分
huaxuedianchi 化学电池
huaxuefangcheng 化学方程
huaxuefangzhi 化学防治
huaxuefanying 化学反应
huaxuefeiliao 化学肥料
huaxuefenxi 化学分析
huaxuegongcheng 化学工程
huaxuegongye 化学工业
huaxuehecheng 化学合成
huaxuenongyao 化学农药
huaxuepingheng 化学平衡
huaxueshiji 化学试剂
huaxuewuqi 化学武器
huaxuewuzhi 化学物质
huaxuexianwei 化学纤维
huaxuexingzhi 化学性质
huaxueyaopin 化学药品
huaxueyuansu 化学元素
huaxueyundong 滑雪运动
huayangfanduo 花样繁多
huayanghuabing 花样滑冰
huayangnianhua 花样年华
huayangyouyong 花样游泳
huayaopeiyang 花药培养
huayebingdu 花叶病毒
huazhizhaozhan 花枝招展
huazhongdiqu 华中地区
huazhuangwuhui 化装舞会
hubanghuzhu 互帮互助
hubuganshe 互不干涉
hubuqinfan 互不侵犯
hubuxiangrang 互不相让
hudiefuren 蝴蝶夫人
huguangshanse 湖光山色
huguoyundong 护国运动
huhuihuli 互惠互利
huibaogongzuo 汇报工作
huibaoqingkuang 汇报情况
huibianyuyan 汇编语言
huifuguolai 恢复过来
huifumingyu 恢复名誉
huifuyuanzhuang 恢复原状
huifuzhengchang 恢复正常
huiguguoqu 回顾过去
huiguifangcheng 回归方程
huiguixishu 回归系数
huiguiziran 回归自然
huiguizuguo 回归祖国
huigulishi 回顾历史
huiguzongjie 回顾总结
huihuangcanlan 辉煌灿烂
huihuangchengjiu 辉煌成就
huijialushang 回家路上
huijiatuzhong 回家途中
huisaziru 挥洒自如
huishouwangshi 回首往事
huishouzhiyi 挥手致意
huitouyikan 回头一看
huixiangqilai 回想起来
huixinweixiao 会心微笑
huixinyixiao 会心一笑
huixuanqushi 回旋曲式
huixuanyudi 回旋余地
huiyijilu 会议记录
huiyiwangshi 回忆往事
huiyiyicheng 会议议程
huiyizhuti 会议主题
huiyuandahui 会员大会
huiyuyidan 毁于一旦
huizhanzhongxin 会展中心
huizhiditu 绘制地图
hujiguanli 户籍管理
hujinghuai 互敬互爱
hujizhidu 户籍制度
hukedinglv 胡克定律
hukoupubu 壶口瀑布
hulianghurang 互谅互让
hulianhutong 互联互通
hulianwangluo 互联网络
huluxiongdi 葫芦兄弟
hulvebuji 忽略不计
hunanyongzhou 湖南永州
hunheqiti 混合气体
hunsangjiaqu 婚丧嫁娶
hunshenfadou 浑身发抖
hunshenxieshu 浑身解数
hunxiaoshifei 混淆是非
hunyindengji 婚姻登记
hunyinguanxi 婚姻关系
hunyinjiating 婚姻家庭
hunyinshenghuo 婚姻生活
hunyinzhidu 婚姻制度
hunyinzhuangkuang 婚姻状况
hunyinziyou 婚姻自由
hunyinzizhu 婚姻自主
huobanguanxi 伙伴关系
huobibianzhi 货币贬值
huobijijin 货币基金
huobilianmeng 货币联盟
huobizhengce 货币政策
huobizhidu 货币制度
huochechexiang 火车车厢
huodechenggong 获得成功
huodeshengli 获得胜利
huodongchangsuo 活动场所
huodongzhongxin 活动中心
huoguangchongtian 火光冲天
huojiangzuopin 获奖作品
huojianzhuanjia 火箭专家
huojujihua 火炬计划
huolifadian 火力发电
huopokeai 活泼可爱
huoposhengdong 活泼生动
huoqushuju 获取数据
huoranguantong 豁然贯通
huorankailang 豁然开朗
huoshanbaofa 火山爆发
huoshandizhen 火山地震
huowumaoyi 货物贸易
huowuyunshu 货物运输
huoxingbuwei 活性部位
huozaixianchang 火灾现场
huoziyinshua 活字印刷
hushanhushan 忽闪忽闪
hutongxinxi 互通信息
hutongyouwu 互通有无
huwaihuodong 户外活动
huweibuchong 互为补充
huweiyinguo 互为因果
huxiangaihu 互相爱护
huxiangbangzhu 互相帮助
huxiangcansha 互相残杀
huxiangcujin 互相促进
huxiangguanxin 互相关心
huxianghezuo 互相合作
huxiangjiandu 互相监督
huxianglianxi 互相联系
huxianglijie 互相理解
huxiangmaodun 互相矛盾
huxiangpeihe 互相配合
huxiangxuexi 互相学习
huxiangzhichi 互相支持
huxiangzhiyue 互相制约
huxiangzhuanhua 互相转化
huxiaoerguo 呼啸而过
huxiaoshanzhuang 呼啸山庄
huxikunnan 呼吸困难
huxiqiguan 呼吸器官
huxixitong 呼吸系统
huxizhijian 呼吸之间
huxizuoyong 呼吸作用
huzhuhezuo 互助合作
huzhuyouai 互助友爱
jiabanjiadian 加班加点
jiachangbianfan 家常便饭
jiachengfanying 加成反应
jiadalidu 加大力度
jiadaohuanying 夹道欢迎
jiadianchanpin 家电产品
jiadianhangye 家电行业
jiageanggui 价格昂贵
jiagedilian 价格低廉
jiagepianyi 价格便宜
jiageshangzhang 价格上涨
jiageshuiping 价格水平
jiageyoushi 价格优势
jiagongchengben 加工成本
jiagonggongye 加工工业
jiagongguocheng 加工过程
jiagongnengli 加工能力
jiagongshuiping 加工水平
jiagongyuliang 加工余量
jiajianchengchu 加减乘除
jiajingpinhan 家境贫寒
jiajusheji 家居设计
jiajushenghuo 家居生活
jiajushipin 家居饰品
jiakuaijindu 加快进度
jiakuaisudu 加快速度
jiamianwuhui 假面舞会
jiamichuanshu 加密传输
jiamijishu 加密技术
jiamisuanfa 加密算法
jiamixieyi 加密协议
jianbianyixue 简便易学
jianbiefangfa 鉴别方法
jianbiexinxi 鉴别信息
jianceshuju 监测数据
jianchabumen 监察部门
jianchachengxu 检查程序
jianchajiguan 检察机关
jianchajiguan 监察机关
jiancharenyuan 检察人员
jianchengtouchan 建成投产
jianchibuxie 坚持不懈
jianchixiaqu 坚持下去
jianchiyuanze 坚持原则
jianchizhenli 坚持真理
jiandanjixie 简单机械
jiandiehuodong 间谍活动
jiandingbuyi 坚定不移
jiandingxinnian 坚定信念
jiandingxinxin 坚定信心
jiandingzhongxin 鉴定中心
jianduanfangdian 尖端放电
jianduanjishu 尖端技术
jianduankeji 尖端科技
jianduguanli 监督管理
jiandujigou 监督机构
jiandujizhi 监督机制
jianduzhidu 监督制度
jiangchengtiaoli 奖惩条例
jiangdichengben 降低成本
jiangeshijian 间隔时间
jianghanpingyuan 江汉平原
jianghehuhai 江河湖海
jianghehupo 江河湖泊
jiangjiesuliao 降解塑料
jianglizhidu 奖励制度
jiangnandiqu 江南地区
jiangnanshuixiang 江南水乡
jiangongliye 建功立业
jianguanbumen 监管部门
jianguoshimian 见过世面
jianguoyilai 建国以来
jianjiexuanju 间接选举
jianjipeidui 碱基配对
jianjixingshi 见机行事
jianjizucheng 碱基组成
jianjueguanche 坚决贯彻
jianjueyonghu 坚决拥护
jianjuezhixing 坚决执行
jiankangchangshou 健康长寿
jiankangchengzhang 健康成长
jiankangzhuangkuang 健康状况
jiankuchuangye 艰苦创业
jiankufendou 艰苦奋斗
jiankupusu 艰苦朴素
jianlilianxi 建立联系
jianmingeyao 简明扼要
jiannanduri 艰难度日
jiannankunku 艰难困苦
jiannanquzhe 艰难曲折
jiannanxianzu 艰难险阻
jianpanshuru 键盘输入
jianpanyueqi 键盘乐器
jianqiangbuqu 坚强不屈
jianqiangyizhi 坚强意志
jianqiangyouli 坚强有力
jianqiaodaxue 剑桥大学
jianqingfudan 减轻负担
jianquanrenge 健全人格
jianquanzhidu 健全制度
jianruiduili 尖锐对立
jianruipiping 尖锐批评
jianshangnengli 鉴赏能力
jianshechengjiu 建设成就
jianshegongcheng 建设工程
jianshenhuodong 健身活动
jianshenqicai 健身器材
jianshenyundong 健身运动
jianshexiangmu 建设项目
jianshezuguo 建设祖国
jianshijichu 坚实基础
jianshiyixia 见识一下
jianshougangwei 坚守岗位
jianshufenlie 减数分裂
jiansuofuwu 检索服务
jiansuoxitong 检索系统
jiansuyundong 减速运动
jianzhenbuqu 坚贞不屈
jianzhucailiao 建筑材料
jianzhufengge 建筑风格
jianzhugongcheng 建筑工程
jianzhugongdi 建筑工地
jianzhugongneng 建筑功能
jianzhugongren 建筑工人
jianzhugouzao 建筑构造
jianzhumianji 建筑面积
jianzhusheji 建筑设计
jianzhusheshi 建筑设施
jianzhushigong 建筑施工
jianzhuxuejia 建筑学家
jiaoaozida 骄傲自大
jiaobiandianchang 交变电场
jiaocaineirong 教材内容
jiaochaganran 交叉感染
jiaochakexue 交叉科学
jiaochalukou 交叉路口
jiaochangshijian 较长时间
jiaochaxueke 交叉学科
jiaodairenwu 交代任务
jiaodongbandao 胶东半岛
jiaoerdinglv 焦耳定律
jiaohuangtongzhi 教皇统治
jiaohuanjiazhi 交换价值
jiaohuantiaojian 交换条件
jiaohuanyijian 交换意见
jiaohufangshi 交互方式
jiaohuifagui 教会法规
jiaohuixuexiao 教会学校
jiaohuzuoyong 交互作用
jiaojieyishi 交接仪式
jiaokouchengzan 交口称赞
jiaoliudianlu 交流电路
jiaoliudianyuan 交流电源
jiaoliuhuodong 交流活动
jiaoliupingtai 交流平台
jiaoliusixiang 交流思想
jiaoliuxinxi 交流信息
jiaoliuzhongxin 交流中心
jiaolumeiqi 焦炉煤气
jiaorenchengji 骄人成绩
jiaoshiduiwu 教师队伍
jiaoshizhiye 教师职业
jiaoshuyuren 教书育人
jiaotashidi 脚踏实地
jiaotiaozhuyi 教条主义
jiaotonganquan 交通安全
jiaotongbiaozhi 交通标志
jiaotongbubian 交通不便
jiaotongbumen 交通部门
jiaotongduse 交通堵塞
jiaotongfagui 交通法规
jiaotonggongju 交通工具
jiaotongguanli 交通管理
jiaotongguanzhi 交通管制
jiaotongguize 交通规则
jiaotongjingcha 交通警察
jiaotongliuliang 交通流量
jiaotongluxian 交通路线
jiaotongsheshi 交通设施
jiaotongshigu 交通事故
jiaotongshuniu 交通枢纽
jiaotongxianlu 交通线路
jiaotongxinhao 交通信号
jiaotongxitong 交通系统
jiaotongyinhang 交通银行
jiaotongyunshu 交通运输
jiaotongzhixu 交通秩序
jiaotongzhuangkuang 交通状况
jiaoxianghuiying 交相辉映
jiaoxiangyuedui 交响乐队
jiaoxiangyuetuan 交响乐团
jiaoxingxinli 侥幸心理
jiaoxuedagang 教学大纲
jiaoxuedalou 教学大楼
jiaoxuefangfa 教学方法
jiaoxuehuodong 教学活动
