暗线	anxian
正面铺垫	zhengmianpudian
正面人物	zhengmianrenwu
证明	zhengming
征实	zhengshi
正题	zhengti
正叙	zhengxu
正引	zhengyin
正主题	zhengzhuti
旨	zhi
制表说明	zhibiaoshuoming
直接夸张	zhijiekuazhang
直接论证	zhijielunzheng
直接描写	zhijiemiaoxie
直接抒情	zhijieshuqing
直接推理	zhijietuili
指量词组	zhiliangcizu
直起	zhiqi
直抒胸臆	zhishuxiongyi
直叙	zhixu
直言判断	zhiyanpanduan
旨意	zhiyi
直喻	zhiyu
置之死地而后生	zhizhisidierhousheng
种差	zhongcha
钟鼎文	zhongdingwen
种概念	zhonggainian
中间人物	zhongjianrenwu
终结	zhongjie
终篇	zhongpian
中心论点	zhongxinlundian
中心思想	zhongxinsixiang
中心语	zhongxinyu
中性词	zhongxingci
籀文	zhouwen
周折格	zhouzhege
助词	zhuci
主从	zhucong
主动句	zhudongju
主客	zhuke
主脑	zhunao
主人公	zhurengong
主题	zhuti
主题表现式议论	zhutibiaoxianshiyilun
主题的表现	zhutidebiaoxian
主题的多义性	zhutideduoyixing
主题的揭示	zhutidejieshi
主题的开拓	zhutidekaituo
主题的深化	zhutideshenhua
主题的提炼	zhutidetilian
主题思想	zhutisixiang
主题性人物	zhutixingrenwu
主题义界	zhutiyijie
主谓词组	zhuweicizu
主谓倒装句	zhuweidaozhuangju
主谓句	zhuweiju
主谓谓语句	zhuweiweiyuju
主线	zhuxian
主向信息素材	zhuxiangxinxisucai
主要人物	zhuyaorenwu
主语	zhuyu
主旨	zhuzhi
转变人物	zhuanbianrenwu
转换生成语法	zhuanhuanshengchengyufa
转类格	zhuanleige
转品格	zhuanpinge
篆书	zhuanshu
转义	zhuanyi
转折复句	zhuanzhefuju
状物	zhuangwu
状语	zhuangyu
状语后置句	zhuangyuhouzhiju
庄与谐	zhuangyuxie
追叙	zhuixu
拙与巧	zhuoyuqiao
着重号	zhuozhonghao
自动词	zidongci
自发的表象活动	zifadebiaoxianghuodong
自觉的表象变异	zijuedebiaoxiangbianyi
自觉的表象分化	zijuedebiaoxiangfenhua
自觉的表象联想	zijuedebiaoxianglianxiang
自觉的表象深化	zijuedebiaoxiangshenhua
自觉的表象运动	zijuedebiaoxiangyundong
自然段	ziranduan
自然风景描写	ziranfengjingmiaoxie
自然环境	ziranhuanjing
自然环境描写	ziranhuanjingmiaoxie
自然景物描写	ziranjingwumiaoxie
自由词组	ziyoucizu
总分式	zongfenshi
综合	zonghe
综合法	zonghefa
纵横交错式结构	zonghengjiaocuoshijiegou
总解复句	zongjiefuju
综括式结构	zongkuoshijiegou
总论点	zonglundian
纵式结构	zongshijiegou
总提分述式	zongtifenshushi
作品的内部形式	zuopindeneibuxingshi
