阿曼米黄	amanmihuang
顶板	dingban
顶部驱动	dingbuqudong
定测	dingce
定常系统	dingchangxitong
定喘	dingchuan
定电流放电	dingdianliufangdian
定电阻放电	dingdianzufangdian
定额	dinge
定额水平	dingeshuiping
定额支票	dingezhipiao
定稿	dinggao
顶管测量	dingguanceliang
顶尖	dingjian
顶交	dingjiao
顶空盲区	dingkongmangqu
顶宽	dingkuan
定量秤	dingliangcheng
丁培龙	dingpeilong
顶棚	dingpeng
定片真空泵	dingpianzhenkongbeng
定票热线	dingpiaorexian
丁砌	dingqi
定期养护	dingqiyanghu
顶入法	dingrufa
丁绍峰	dingshaofeng
定时恢复	dingshihuifu
定时鉴别器	dingshijianbieqi
顶推	dingtui
定位	dingwei
定位槽	dingweicao
定向	dingxiang
定向传声器	dingxiangchuanshengqi
丁香米黄	dingxiangmihuang
定向投影	dingxiangtouying
定向误差	dingxiangwucha
定型产品	dingxingchanpin
定型设计	dingxingsheji
定型图	dingxingtu
定型详图	dingxingxiangtu
定性信息	dingxingxinxi
定影	dingying
鼎峙铝板	dingzhilvban
定值指令	dingzhizhiling
丁字管	dingziguan
冻拔	dongba
东北扁核木	dongbeibianhemu
东北段	dongbeiduan
东北接骨木	dongbeijiegumu
东北雷公藤	dongbeileigongteng
东北连翘	dongbeilianqiao
东北山梅花	dongbeishanmeihua
东北鼠李	dongbeishuli
东北溲疏	dongbeisoushu
东北杏	dongbeixing
洞边加筋	dongbianjiajin
东部宽	dongbukuan
董承利	dongchengli
动床	dongchuang
洞底	dongdi
东端向东倾覆	dongduanxiangdongqingfu
东方军事网	dongfangjunshiwang
东方莱茵	dongfanglaiyin
东风	dongfeng
动感	donggan
洞高	donggao
东湖新村	donghuxincun
冬化	donghua
冻结壁交圈图	dongjiebijiaoquantu
冻结深度	dongjieshendu
冻结指数	dongjiezhishu
洞口尺寸	dongkouchicun
动力变质作用	donglibianzhizuoyong
东立电机	donglidianji
动力工程系	dongligongchengxi
动力剪	donglijian
动力时程	donglishicheng
动力时程分析	donglishichengfenxi
动力因素	dongliyinsu
动力钻	donglizuan
冬炼	donglian
动量传输泵	dongliangchuanshubeng
董良省	dongliangsheng
栋楼房	dongloufang
动漫帅哥	dongmanshuaige
氡气仪	dongqiyi
动圈传声器	dongquanchuanshengqi
冻融侵蚀	dongrongqinshi
冻融试验	dongrongshiyan
冬珊瑚	dongshanhu
冻深	dongshen
冬湿寒冷气候	dongshihanlengqihou
冻死	dongsi
动态	dongtai
动态复用	dongtaifuyong
动态监测	dongtaijiance
动态散射模式	dongtaisanshemoshi
动态实时	dongtaishishi
动态数列	dongtaishulie
动态特征	dongtaitezheng
动态投资	dongtaitouzi
洞探	dongtan
冻土	dongtu
洞隙	dongxi
东亚飞蝗	dongyafeihuang
冬油菜	dongyoucai
冻雨	dongyu
冻子椰子	dongziyezi
动作次数	dongzuocishu
动作电位	dongzuodianwei
豆瓣菜	doubancai
豆瓣儿	doubaner
都伯斯金	doubosijin
斗齿	douchi
斗底	doudi
抖动	doudong
斗耳	douer
斗富	doufu
豆腐花米黄	doufuhuamihuang
豆花米黄	douhuamihuang
抖晃	douhuang
斗架	doujia
兜兰	doulan
豆类蔬菜	douleishucai
豆梨	douli
斗门供电局	doumengongdianju
窦明宗	doumingzong
陡坡	doupo
斗渠	douqu
豆牙菜	douyacai
斗腰	douyao
犊鼻	dubi
镀镉	duge
镀铬龙头	dugelongtou
堵管事故	duguanshigu
独基	duji
镀金	dujin
杜鹃花科	dujuanhuake
镀克罗米	dukeluomi
渡口	dukou
毒力	duli
独丽花	dulihua
独立基线	dulijixian
独立经营	dulijingying
独立性测验	dulixingceyan
堵漏剂	dulouji
堵漏灵	dulouling
毒气柜	duqigui
镀铅铁板	duqiantieban
赌誓	dushi
毒素	dusu
独蒜兰	dusuanlan
镀锌波型瓦	duxinboxingwa
镀锌垫铁	duxindiantie
镀锌钢筋网	duxingangjinwang
镀锌台架	duxintaijia
镀锌瓦	duxinwa
毒性	duxing
独阴	duyin
督俞	duyu|dushu
渡越时间	duyueshijian
杜仲科	duzhongke
都柱	duzhu
堵转励磁电流	duzhuanlicidianliu
堵转励磁功率	duzhuanlicigonglv
堵转特性	duzhuantexing
堵转转矩	duzhuanzhuanju
端泵浦	duanbengpu
短波	duanbo
段泊岚	duanbolan
段泊岚镇	duanbolanzhen
断层	duanceng
断层地震	duancengdizhen
断层构造	duancenggouzao
断层谷	duancenggu
断层角砾岩	duancengjiaoliyan
断层泥	duancengni
断层崖	duancengya
端承桩	duanchengzhuang
端盖式轴承	duangaishizhoucheng
断股	duangu
短管	duanguan
短管甲	duanguanjia
短管乙	duanguanyi
断接卡	duanjieka
短斤欠两	duanjinqianliang
短跨	duankua
断块	duankuai
断块构造说	duankuaigouzaoshuo
锻炼	duanlian
断裂	duanlie
短路	duanlu
短路保护	duanlubaohu
断面	duanmian
短期刚度	duanqigangdu
短腔选模	duanqiangxuanmo
短时高温加工	duanshigaowenjiagong
椴树科	duanshuke
短穗鱼尾葵	duansuiyuweikui
断续河	duanxuhe
断续指令	duanxuzhiling
锻造模	duanzaomo
短肢	duanzhi
短肢剪力墙	duanzhijianliqiang
短肢墙	duanzhiqiang
端柱	duanzhu
锻铸件	duanzhujian
端阻力	duanzuli
对半儿	duibaner
对比资料	duibiziliao
对采矿	duicaikuang
堆草机	duicaoji
对称布载	duichenbuzai
对称信道	duichenxindao
对称信源	duichenxinyuan
对地距离	duidijuli
兑端	duiduan
对耳轮	duierlun
对耳屏	duierping
堆放	duifang
堆积层下	duijicengxia
堆积层中	duijicengzhong
堆积阶地	duijijiedi
对讲机	duijiangji
对角目镜	duijiaomujing
对接	duijie
对接扣件	duijiekoujian
对客下菜	duikexiacai
对流	duiliu
对流性雨	duiliuxingyu
对流再生	duiliuzaisheng
对上述资料	duishangshuziliao
对数率表	duishulvbiao
对为	duiwei
对武汉市	duiwuhanshi
堆心菊	duixinju
盾构法	dungoufa
盾构挖掘机	dungouwajueji
钝化	dunhua
墩帽	dunmao
墩墙	dunqiang
蹲式大便器	dunshidabianqi
墩台	duntai
盾形火山	dunxinghuoshan
钝滞	dunzhi
多边谈判	duobiantanpan
多波群信号	duoboqunxinhao
多波束雷达	duoboshuleida
多步雪崩室	duobuxuebengshi
多次抽样	duocichouyang
多词库	duociku
多带生长	duodaishengzhang
剁斧石	duofushi
剁斧石做法	duofushizuofa
多功能健身椅	duogongnengjianshenyi
多功能起子	duogongnengqizi
多功能日历	duogongnengrili
多光谱相机	duoguangpuxiangji
多花胡枝子	duohuahuzhizi
多基地雷达	duojidileida
多极化	duojihua
多碱光阴极	duojianguangyinji
多角高程导线	duojiaogaochengdaoxian
多接入信道	duojieruxindao
多结太阳电池	duojietaiyangdianchi
多径效应	duojingxiaoying
多孔玻璃	duokongboli
多孔陶瓷	duokongtaoci
多粒型花生	duolixinghuasheng
多利羊	duoliyang
多裂麻疯树	duoliemafengshu
多路定标器	duoludingbiaoqi
多路驱动	duoluqudong
多路遥测	duoluyaoce
多瑙蓝	duonaolan
多年冻土	duoniandongtu
多普勒导航	duopuledaohang
多普勒伏尔	duopulefuer
多普勒跟踪	duopulegenzong
多普勒展宽	duopulezhankuan
多腔磁控管	duoqiangcikongguan
多色穿透屏	duosechuantouping
多色色散	duosesesan
多丝正比室	duosizhengbishi
多同人交流	duotongrenjiaoliu
多位于	duoweiyu
多系杂交	duoxizajiao
多项式回归	duoxiangshihuigui
多义度	duoyidu
多音指令	duoyinzhiling
多用表	duoyongbiao
多用户信息论	duoyonghuxinxilun
多元线性回归	duoyuanxianxinghuigui
多云	duoyun
多找几本书	duozhaojibenshu
多帧照相机	duozhenzhaoxiangji
额垫板	edianban
蛾蝶花	ediehua
额定	eding
额定频率	edingpinlv
鹅耳枥	eerli
厄尔尼诺	eerninuo
鹅颈椅	ejingyi
厄兰	elan
俄罗斯网球	eluosiwangqiu
峨嵋蔷薇	emeiqiangwei
恶性码	exingma
恶性生产事故	exingshengchanshigu
二层平面	ercengpingmian
二沉污泥	erchenwuni
二重接	erchongjie
二次沉淀池	ercichendianchi
二次抽样	ercichouyang
二次雷达	ercileida
二次污染物	erciwuranwu
二次相位因数	ercixiangweiyinshu
二次原理图	erciyuanlitu
二端对网络	erduanduiwangluo
耳和髎	erheliao
二花六道木	erhualiudaomu
二灰土	erhuitu
耳机	erji
二级处理	erjichuli
二级负荷	erjifuhe
二级钢	erjigang
二级工程	erjigongcheng
二极管泵浦	erjiguanbengpu
二极管电子枪	erjiguandianziqiang
铒激光器	erjiguangqi
二级氧化处理	erjiyanghuachuli
耳甲腔	erjiaqiang
耳甲艇	erjiating
二阶系统	erjiexitong
二阶效应	erjiexiaoying
二类场地	erleichangdi
二类调查	erleidiaocha
二类环境	erleihuanjing
耳聋	erlong
二楼后座	erlouhouzuo
二年生作物	ernianshengzuowu
二期混凝土	erqihunningtu
二色补血草	ersebuxuecao
而是使用	ershishiyong
二熟	ershu
二四墙	ersiqiang
耳听是虚	ertingshixu
儿童秤	ertongcheng
耳蜗电描记术	erwodianmiaojishu
二线制	erxianzhi
二言	eryan
二氧化碳	eryanghuatan
二氧化碳焊机	eryanghuatanhanji
二元材积表	eryuancaijibiao
二元结构	eryuanjiegou
二月里来	eryuelilai
儿枕痛	erzhentong
耳舟	erzhou
儿子故	erzigu
发表几篇	fabiaojipian
发病指数	fabingzhishu
发电机端	fadianjiduan
发电机容量	fadianjirongliang
发堵	fadu
发光顶棚	faguangdingpeng
发光开关	faguangkaiguan
法国红	faguohong
法国红砂石	faguohongshashi
法国洛马金	faguoluomajin
法国米黄	faguomihuang
法国木纹石	faguomuwenshi
法国枇杷	faguopipa
发汗	fahan
发酵	fajiao
罚老补新	falaobuxin
法令法规	falingfagui
法律保障	falvbaozhang
砝码	fama
阀门	famen
阀门安装	famenanzhuang
发泡	fapao
发泡剂	fapaoji
发情探测	faqingtance
发射	fashe
发生发展	fashengfazhan
发生过岩溶	fashengguoyanrong
发生期预测	fashengqiyuce
发现概率	faxiangailv
发现土洞	faxiantudong
法向拉应力	faxianglayingli
筏形	faxing
筏形基础	faxingjichu
发行基金	faxingjijin
发行库	faxingku
发芽势	fayashi
发芽试验	fayashiyan
法则	faze
发展林业	fazhanlinye
发展旅游	fazhanlvyou
发展循环经济	fazhanxunhuanjingji
范阿塔反射器	fanatafansheqi
凡爱国	fanaiguo
翻白叶	fanbaiye
返波	fanbo
返波管	fanboguan
翻肠倒肚	fanchangdaodu
翻窗	fanchuang
泛大陆	fandalu
泛大洋	fandayang
饭豆	fandou
反堆积	fanduiji
凡尔赛金	fanersaijin
贩非	fanfei
反峰电压	fanfengdianya
反光器材	fanguangqicai
泛黄发花	fanhuangfahua
犯急	fanji
钒矿	fankuang
反馈	fankui
反馈补偿	fankuibuchang
反馈校验	fankuijiaoyan
反馈校正	fankuijiaozheng
反扩散	fankuosan
泛滥	fanlan
反兰姆凹陷	fanlanmuaoxian
反雷达	fanleida
反雷达伪装	fanleidaweizhuang
范立础	fanlichu
反梁	fanliang
反滤层	fanlvceng
反滤料	fanlvliao
反迫击炮雷达	fanpaijipaoleida
反喷洗清洗	fanpenxiqingxi
翻晒	fanshai
反射	fanshe
反射电桥	fanshedianqiao
反射计	fansheji
反射空间	fanshekongjian
反射裂缝	fansheliefeng
反射率	fanshelv
泛射式电子枪	fansheshidianziqiang
反射式跟踪	fansheshigenzong
反射速调管	fanshesudiaoguan
反射形貌法	fanshexingmaofa
反渗透器	fanshentouqi
反水弯	fanshuiwan
反铁磁性	fantiecixing
反铁电陶瓷	fantiediantaoci
反同轴磁控管	fantongzhoucikongguan
反弯点	fanwandian
反向损耗	fanxiangsunhao
番杏	fanxing
返修品	fanxiupin
反压填土	fanyatiantu
犯颜直谏	fanyanzhijian
翻样	fanyang
反隐形技术	fanyinxingjishu
反应堆周期仪	fanyingduizhouqiyi
反应速率模型	fanyingsulvmoxing
反应性仪	fanyingxingyi
泛语虚辞	fanyuxuci
烦躁	fanzao
翻转	fanzhuan
反转时间	fanzhuanshijian
反作用力	fanzuoyongli
方案	fangan
防办	fangban
防爆系统	fangbaoxitong
枋材	fangcai
防潮	fangchao
防潮坝	fangchaoba
防潮地下室	fangchaodixiashi
防潮基础	fangchaojichu
方撑木	fangchengmu
防臭地漏	fangchoudilou
防磁柜	fangcigui
放大器箱	fangdaqixiang
防盗加重型	fangdaojiazhongxing
防盗警报系统	fangdaojingbaoxitong
防盗警铃	fangdaojingling
防盗设备	fangdaoshebei
放电	fangdian
放电率	fangdianlv
放电特性曲线	fangdiantexingquxian
防冻	fangdong
方法误差	fangfawucha
防风固沙林	fangfenggushalin
防风林	fangfenglin
防腐	fangfu
防腐剂	fangfuji
防腐油	fangfuyou
防高电位引入	fanggaodianweiyinru
方格法	fanggefa
方格网点	fanggewangdian
防洪法	fanghongfa
防洪墙	fanghongqiang
防洪效益	fanghongxiaoyi
防护林	fanghulin
防护密闭门	fanghumibimen
防护式开关	fanghushikaiguan
防护式照明	fanghushizhaoming
防滑处理	fanghuachuli
防滑托盘	fanghuatuopan
防火	fanghuo
放火标准	fanghuobiaozhun
防火材料	fanghuocailiao
防火等级	fanghuodengji
防火隔断	fanghuogeduan
防火建筑	fanghuojianzhu
防火卷帘门	fanghuojuanlianmen
防火漆	fanghuoqi
房间吊顶	fangjiandiaoding
防溅型	fangjianxing
防静电袋	fangjingdiandai
防静电地面	fangjingdiandimian
方块电阻	fangkuaidianzu
方块石	fangkuaishi
防浪墙	fanglangqiang
放浪墙	fanglangqiang
防雷	fanglei
防雷措施	fangleicuoshi
防雷电感应	fangleidianganying
防雷类别	fangleileibie
防排水系统图	fangpaishuixitongtu
防潜返	fangqianfan
放射免疫仪器	fangshemianyiyiqi
放射式	fangsheshi
放射性测量	fangshexingceliang
放射性物品	fangshexingwupin
放射性污染	fangshexingwuran
防渗墙	fangshenqiang
防身用品	fangshenyongpin
房世勤	fangshiqin
防水层	fangshuiceng
防水插座	fangshuichazuo
防水电气设备	fangshuidianqishebei
放水洞	fangshuidong
防水涂层	fangshuituceng
防水液	fangshuiye
防水做法	fangshuizuofa
防松螺栓	fangsongluoshuan
方位	fangwei
方位标志	fangweibiaozhi
方位显示器	fangweixianshiqi
方位引导单元	fangweiyindaodanyuan
防雾车边境	fangwuchebianjing
房屋高度	fangwugaodu
房屋受损	fangwushousun
放线	fangxian
放象头	fangxiangtou
方向性	fangxiangxing
防斜插连接器	fangxiechalianjieqi
防胁迫	fangxiepo
方形蓄电池	fangxingxudianchi
防锈处理	fangxiuchuli
防汛	fangxun
防烟楼梯	fangyanlouti
防烟门	fangyanmen
防雨	fangyu
防雨开关	fangyukaiguan
方园磨刀棒	fangyuanmodaobang
仿真	fangzhen
防震锤	fangzhenchui
方整石	fangzhengshi
防止风沙	fangzhifengsha
纺织姑娘	fangzhiguniang
防治规划	fangzhiguihua
防直击雷	fangzhijilei
防止沙化	fangzhishahua
防止水土流失	fangzhishuituliushi
方桩	fangzhuang
防撞雷达	fangzhuangleida
啡白根	feibaigen
飞镖	feibiao
非标注构件	feibiaozhugoujian
飞播造林	feibozaolin
非不利季节	feibulijijie
非参数方法	feicanshufangfa
非常可惜	feichangkexi
非常苦难	feichangkunan
废词	feici
肺磁描记术	feicimiaojishu
飞点扫描仪	feidiansaomiaoyi
非典型肺炎	feidianxingfeiyan
非点源	feidianyuan
费掉	feidiao
非共格晶界	feigonggejingjie
啡红根	feihonggen
啡皇	feihuang
飞机场测量	feijichangceliang
飞机洞库测量	feijidongkuceliang
非加密区	feijiamiqu
飞溅	feijian
非晶磁性材料	feijingcixingcailiao
非晶硅	feijinggui
非均匀展宽	feijunyunzhankuan
非抗震	feikangzhen
非可溶岩	feikerongyan
非可视	feikeshi
匪里匪气	feilifeiqi
肥料效率	feiliaoxiaolv
啡窿石	feilongshi
飞轮鞋	feilunxie
啡梦幻	feimenghuan
菲涅耳数	feinieershu
非平衡载流子	feipinghengzailiuzi
非平稳信道	feipingwenxindao
废弃危险物品	feiqiweixianwupin
废弃物	feiqiwu
非侵染性病害	feiqinranxingbinghai
啡珊瑚	feishanhu
肺肾两虚	feishenliangxu
沸石	feishi
废水	feishui
啡水晶	feishuijing
啡网	feiwang
非稳定谐振腔	feiwendingxiezhenqiang
非卧床监护	feiwochuangjianhu
非线绕电位器	feixianraodianweiqi
非线性光混频	feixianxingguanghunpin
非线性回归	feixianxinghuigui
非相干检测	feixiangganjiance
飞扬	feiyang
费用	feiyong
费用定额	feiyongdinge
费用类别	feiyongleibie
肺俞	feiyu|feishu
非匀相成核	feiyunxiangchenghe
肥皂架	feizaojia
啡珍珠	feizhenzhu
非终结符	feizhongjiefu
非洲红	feizhouhong
非洲柚	feizhouyou
非洲柚木	feizhouyoumu
肺主气	feizhuqi
啡钻麻	feizuanma
粉柏	fenbai
分贝	fenbei
分辨带宽	fenbiandaikuan
分布	fenbu
分布范围	fenbufanwei
分布范围内	fenbufanweinei
分布钢筋	fenbugangjin
分布筋	fenbujin
分布面积	fenbumianji
分布目标	fenbumubiao
分布特征	fenbutezheng
分布有	fenbuyou
分步再生	fenbuzaisheng
分层	fenceng
分层夯实	fencenghangshi
分词库	fenciku
分次施肥	fencishifei
纷刺煜卟庀蚱	fenciyubupizha
分带	fendai
粉单竹	fendanzhu
粉蝶米黄	fendiemihuang
分段计费	fenduanjifei
分格条	fengetiao
分行辖内往来	fenhangxianeiwanglai
粉红金刚	fenhongjingang
粉红晶	fenhongjing
粉红麻	fenhongma
粉红钻	fenhongzuan
分季节	fenjijie
分类标引	fenleibiaoyin
分类目录	fenleimulu
分离多径接收	fenliduojingjieshou
分离力	fenlili
分离连接器	fenlilianjieqi
分离折叠波导	fenlizhediebodao
分两步走	fenliangbuzou
粉领丽人	fenlingliren
分流	fenliu
分流计	fenliuji
分米波通信	fenmibotongxin
粉末电致发光	fenmodianzhifaguang
分蘖力	fennieli
分凝系数	fenningxishu
分配器	fenpeiqi
分配曲线	fenpeiquxian
分配数列	fenpeishulie
粉喷桩	fenpenzhuang
酚醛保温板材	fenquanbaowenbancai
酚醛磁化漆	fenquancihuaqi
酚醛地板漆	fenquandibanqi
酚醛防锈漆	fenquanfangxiuqi
酚醛耐酸漆	fenquannaisuanqi
酚醛清漆	fenquanqingqi
酚醛调和漆	fenquantiaoheqi
粉砂	fensha
分述如下	fenshuruxia
粉刷	fenshua
粉刷涂料	fenshuatuliao
分水尖	fenshuijian
分水岭	fenshuiling
分水线	fenshuixian
分台阶	fentaijie
分体门禁	fentimenjin
坟头组	fentouzu
粉土	fentu
粉细砂	fenxisha
分析样	fenxiyang
分析资料	fenxiziliao
粉线包	fenxianbao
分相操作箱	fenxiangcaozuoxiang
分项系数	fenxiangxishu
分乡组	fenxiangzu
分心槽	fenxincao
粉性土	fenxingtu
分选作用	fenxuanzuoyong
分压分析器	fenyafenxiqi
分压真空计	fenyazhenkongji
粉叶金花	fenyejinhua
分用器	fenyongqi
分闸线圈	fenzhaxianquan
分支分配器箱	fenzhifenpeiqixiang
分支光缆	fenzhiguanglan
分支局	fenzhiju
粉枝柳	fenzhiliu
粉质土	fenzhitu
分子筛阱	fenzishaijing
分子泻流	fenzixieliu
分组交换	fenzujiaohuan
分组装拆	fenzuzhuangchai
风扳手	fengbanshou
峰包功率	fengbaogonglv
封闭膏	fengbigao
封闭湖泊	fengbihupo
封闭楼梯	fengbilouti
封层	fengceng
风池	fengchi
风吹不动	fengchuibudong
风吹损失	fengchuisunshi
风倒	fengdao
峰顶水位	fengdingshuiwei
风动螺丝起子	fengdongluosiqizi
风动磨光机	fengdongmoguangji
风府	fengfu
风干	fenggan
风关	fengguan
风荷载	fenghezai
风化程度	fenghuachengdu
烽火村监测	fenghuocunjiance
风机盘管安装	fengjipanguananzhuang
峰均比	fengjunbi
封口	fengkou
缝宽	fengkuan
风浪	fenglang
风力侵蚀	fengliqinshi
凤铃木	fenglingmu
风流岁月	fengliusuiyue
封锚	fengmao
封面	fengmian
枫木复合地板	fengmufuhediban
枫木贴面板	fengmutiemianban
风炮	fengpao
风偏	fengpian
封墙底漆	fengqiangdiqi
缝纫器具	fengrenqiju
风沙流	fengshaliu
枫山红	fengshanhong
风市	fengshi
风湿	fengshi
丰水年	fengshuinian
峰特力工具	fengteligongju
风筒式冷却塔	fengtongshilengqueta
凤尾兰	fengweilan
蜂窝	fengwo
风险	fengxian
风险因素	fengxianyinsu
风向	fengxiang
蜂腰榕	fengyaorong
凤羽花	fengyuhua
丰镇黑	fengzhenhei
峰值堵转电流	fengzhiduzhuandianliu
峰值功率计	fengzhigonglvji
峰值均值比	fengzhijunzhibi
封装	fengzhuang
封装因子	fengzhuangyinzi
浮白	fubai
副本	fuben
扶臂式挡土墙	fubishidangtuqiang
扶壁式挡土墙	fubishidangtuqiang
扶壁式桥台	fubishiqiaotai
副比特码	fubitema
浮标	fubiao
覆箔板	fuboban
富产	fuchan
浮尘	fuchen
俯冲断层	fuchongduanceng
付村	fucun
赋存条件	fucuntiaojian
富达玛金	fudamajin
傅大勇	fudayong
负电子亲和势	fudianziqinheshi
福鼎黑	fudinghei
浮动床	fudongchuang
幅度变换器	fudubianhuanqi
幅度分析器	fudufenxiqi
幅度鉴别器	fudujianbieqi
幅度噪声	fuduzaosheng
富而好礼	fuerhaoli
附分	fufen
敷粉阴极	fufenyinji
复耕	fugeng
腹拱	fugong
符号	fuhao
复合窗	fuhechuang
负荷分类	fuhefenlei
复合箍	fuhegu
复合绝缘子	fuhejueyuanzi
复合目标	fuhemubiao
负荷容量	fuherongliang
复合式路面	fuheshilumian
复合永磁体	fuheyongciti
复合早强剂	fuhezaoqiangji
负极	fuji
附加吊筋	fujiadiaojin
附加箍筋	fujiagujin
附加系	fujiaxi
附加信道广播	fujiaxindaoguangbo
附加业务	fujiayewu
复检	fujian
福建白麻	fujianbaima
副教授	fujiaoshou
腹结	fujie
复垦后	fukenhou
复垦率	fukenlv
复拉丁方设计	fuladingfangsheji
弗拉索夫方程	fulasuofufangcheng
腐烂	fulan
傅里叶分析仪	fuliyefenxiyi
伏流	fuliu
复溜	fuliu
浮笼	fulong
福禄考	fulukao
浮脉	fumai
富民兴邦	fuminxingbang
福木	fumu
妇女界	funvjie
负片	fupian
扶贫工程	fupingongcheng
浮萍开花后	fupingkaihuahou
浮桥	fuqiao
负趋性	fuquxing
芙蓉	furong
芙蓉葵	furongkui
浮栅雪崩注入	fushanxuebengzhuru
府舍	fushe
敷设	fushe
辐射保藏	fushebaocang
辐射报警装置	fushebaojingzhuangzhi
辐射测井装置	fushecejingzhuangzhi
辐射传感器	fushechuanganqi
辐射管道	fusheguandao
辐射含量计	fushehanliangji
辐射能谱仪	fushenengpuyi
辐射试验	fusheshiyan
腐蚀	fushi
复数磁导率	fushucidaolv
伏塔克	futake
伏特表	futebiao
腹通谷	futonggu
覆土	futu
附图	futu
伏兔	futu
扶突	futu
浮脱工艺	futuogongyi
复位	fuwei
复位触发器	fuweichufaqi
负微分迁移率	fuweifenqianyilv
复位力	fuweili
服务等级	fuwudengji
服务业	fuwuye
浮郄	fuxi|fuqie
负吸收	fuxishou
幅相图	fuxiangtu
付新建	fuxinjian
跗阳	fuyang
复印效应	fuyinxiaoying
富营养湖	fuyingyanghu
富营养化	fuyingyanghua
复用水系统	fuyongshuixitong
复用转换	fuyongzhuanhuan
浮游生物	fuyoushengwu
复羽叶栾树	fuyuyeluanshu
抚育幼苗	fuyuyoumiao
浮运架桥	fuyunjiaqiao
负载比	fuzaibi
负债	fuzhai
辐照量	fuzhaoliang
辐照率	fuzhaolv
辐照室	fuzhaoshi
复帧	fuzhen
扶正固本	fuzhengguben
附值	fuzhi
幅值控制	fuzhikongzhi
附注	fuzhu
辅助参考脉冲	fuzhucankaomaichong
辅助光源	fuzhuguangyuan
辅助腔	fuzhuqiang
辅助生产	fuzhushengchan
辅助照明	fuzhuzhaoming
盖板	gaiban
盖层	gaiceng
改建	gaijian
改建成	gaijiancheng
改扩建矿山	gaikuojiankuangshan
改良系谱法	gailiangxipufa
改善环境	gaishanhuanjing
改善气候	gaishanqihou
改算	gaisuan
概算	gaisuan
概算表	gaisuanbiao
概算依据	gaisuanyiju
概算指标	gaisuanzhibiao
改性聚乙烯	gaixingjuyixi
改性乳化沥青	gaixingruhualiqing
改正性维护	gaizhengxingweihu
杆插销	ganchaxiao
干充电电池	ganchongdiandianchi
干电池	gandianchi
干放电电池	ganfangdiandianchi
干粉腻子	ganfennizi
干粉型	ganfenxing
干粉型胶粘剂	ganfenxingjiaozhanji
干封真空泵	ganfengzhenkongbeng
甘服	ganfu
杆高	gangao
干挂大理石	ganguadalishi
感光	ganguang
干果	ganguo
干旱	ganhan
干旱的气候	ganhandeqihou
干旱气候	ganhanqihou
秆黑粉病	ganheifenbing
干湖	ganhu
干灰化	ganhuihua
肝火上炎	ganhuoshangyan
干脚气	ganjiaoqi
柑桔大实蝇	ganjudashiying
柑桔锈螨	ganjuxiuman
橄榄	ganlan
橄榄树	ganlanshu
甘蓝型油菜	ganlanxingyoucai
肝脾不和	ganpibuhe
干砌石	ganqishi
干渠	ganqu
干扰测量仪	ganraoceliangyi
干扰方程	ganraofangcheng
干热风	ganrefeng
干热期	ganreqi
干容重	ganrongzhong
肝肾阴虚	ganshenyinxu
干式冷却塔	ganshilengqueta
干式通气管	ganshitongqiguan
干式消防立管	ganshixiaofangliguan
甘薯	ganshu
甘肃山楂	gansushanzha
甘遂	gansui
杆塔号	gantahao
杆塔型式	gantaxingshi
干溪	ganxi
干线	ganxian
干形	ganxing
秆锈病	ganxiubing
干哑	ganya
干盐湖	ganyanhu
肝阳上亢	ganyangshangkang
干硬性混凝土	ganyingxinghunningtu
感应移相器	ganyingyixiangqi
肝俞	ganyu|ganshu
干燥	ganzao
甘蔗	ganzhe
干砧	ganzhen
干支	ganzhi
干枝梅	ganzhimei
肝主筋	ganzhujin
钢板	gangban
钢板网吊顶	gangbanwangdiaoding
钢板网顶棚	gangbanwangdingpeng
钢板网隔断	gangbanwanggeduan
钢板网抹灰	gangbanwangmohui
钢板闸门	gangbanzhamen
钢并沟线夹	gangbinggouxianjia
钢材表	gangcaibiao
钢防火卷帘门	gangfanghuojuanlianmen
杠杆弯沉义	gangganwanchenyi
钢骨钢筋	ganggugangjin
钢管	gangguan
钢管脚手架	gangguanjiaoshoujia
钢管栏杆	gangguanlangan
钢管套袖	gangguantaoxiu
刚管调制器	gangguantiaozhiqi
杠横	gangheng
刚架	gangjia
钢筋	gangjin
钢筋翻样	gangjinfanyang
钢筋混凝土	gangjinhunningtu
钢筋混凝土管	gangjinhunningtuguan
钢筋混凝土桥	gangjinhunningtuqiao
钢筋拉伸机	gangjinlashenji
钢筋冷镦机	gangjinlengdunji
钢筋笼	gangjinlong
钢筋切断机	gangjinqieduanji
钢筋弯曲机	gangjinwanquji
钢筋网片	gangjinwangpian
钢筋制安	gangjinzhian
钢筋砖过梁	gangjinzhuanguoliang
钢筋砖砌体	gangjinzhuanqiti
港口监视雷达	gangkoujianshileida
杠柳	gangliu
钢龙骨	ganglonggu
钢驴	ganglv
钢驴防盗门	ganglvfangdaomen
肛门	gangmen
钢模板	gangmuban
港人治港	gangrenzhigang
钢丝	gangsi
钢丝网隔断	gangsiwanggeduan
钢砼	gangtong
钢筒管	gangtongguan
钢筒混凝土管	gangtonghunningtuguan
钢瓦下水道	gangwaxiashuidao
港湾图	gangwantu
岗位职责明确	gangweizhizemingque
钢线卡子	gangxianqiazi
钢纤维混凝土	gangxianweihunningtu
钢芯铝线	gangxinlvxian
钢芯铜线	gangxintongxian
刚性板块	gangxingbankuai
刚性角	gangxingjiao
刚性就业	gangxingjiuye
刚性路基	gangxingluji
刚性路面	gangxinglumian
纲要图	gangyaotu
