吖啶橙	adingcheng
高氯酸铵	gaolvsuanan
高氯酸钡	gaolvsuanbei
高氯酸钾	gaolvsuanjia
高氯酸锂	gaolvsuanli
高氯酸镁	gaolvsuanmei
高氯酸钠	gaolvsuanna
高氯酸盐	gaolvsuanyan
高氯酸银	gaolvsuanyin
高锰酸	gaomengsuan
高锰酸钾	gaomengsuanjia
高锰酸钠	gaomengsuanna
高频放电	gaopinfangdian
高速离心泵	gaosulixinbeng
高压泵	gaoyabeng
高压洗氨泵	gaoyaxianbeng
锆英粉	gaoyingfen
锆英砂	gaoyingsha
锆英石	gaoyingshi
革兰氏染液	gelanshiranye
格列吡嗪	geliebiqin
格列喹酮	geliekuitong
格列美脲	geliemeiniao
铬酸铵	gesuanan
铬酸钡	gesuanbei
铬酸钙	gesuangai
铬酸钾	gesuanjia
铬酸锰	gesuanmeng
铬酸钠	gesuanna
铬酸铅	gesuanqian
铬酸锶	gesuansi
铬酸盐	gesuanyan
给电子体	geidianziti
给水调节阀	jishuitiaojiefa|geishuitiaojiefa
茛菪碱	gendangjian
庚醇	gengchun
庚酸乙酯	gengsuanyizhi
公称通径	gongchengtongjing
共轭	gonge
共沸物	gongfeiwu
汞合金	gonghejin
共价化合物	gongjiahuahewu
共价键	gongjiajian
共聚甲醛	gongjujiaquan
共聚物	gongjuwu
汞溴红	gongxiuhong
工业水	gongyeshui
工业水泵	gongyeshuibeng
工业水箱	gongyeshuixiang
工业盐	gongyeyan
工艺空气	gongyikongqi
工艺冷凝液	gongyilengningye
工艺冷凝液泵	gongyilengningyebeng
工艺冷凝液气提塔	gongyilengningyeqitita
工艺天然气	gongyitianranqi
工艺氧气	gongyiyangqi
谷氨酸	guansuan
谷氨酸钙	guansuangai
谷氨酸钾	guansuanjia
谷氨酸钠	guansuanna
谷氨酰胺	guanxianan
固氮酶	gudanmei
固定相	gudingxiang
固定液	gudingye
钴粒	guli
古洛糖酸	guluotangsuan
固绿	gulv
钴酸锂	gusuanli
固体甲醛	gutijiaquan
谷甾醇	guzaichun
胍基乙酸	guajiyisuan
寡霉素	guameisu
广度性质	guangduxingzhi
广泛试纸	guangfanshizhi
光化学	guanghuaxue
光化学反应	guanghuaxuefanying
光化学烟雾	guanghuaxueyanwu
光辉霉素	guanghuimeisu
广口瓶	guangkouping
光稳定剂	guangwendingji
癸二酸	guiersuan
桂利嗪	guiliqin
硅酸二钙	guisuanergai
硅酸钙	guisuangai
硅酸锆	guisuangao
硅酸钾	guisuanjia
硅酸钾钠	guisuanjiana
硅酸锂	guisuanli
硅酸铝	guisuanlv
硅酸铝镁	guisuanlvmei
硅酸镁	guisuanmei
硅酸钠	guisuanna
硅酸铅	guisuanqian
硅酸三钙	guisuansangai
硅酸盐	guisuanyan
硅酸盐矿物	guisuanyankuangwu
癸酸乙酯	guisuanyizhi
硅酸乙酯	guisuanyizhi
硅烷	guiwan
硅锌矿	guixinkuang
硅油	guiyou
硅藻土	guizaotu
辊棒	gunbang
过渡态	guodutai
过铼酸	guolaisuan
过铼酸铵	guolaisuanan
过铼酸钾	guolaisuanjia
过磷酸钙	guolinsuangai
过硫酸钾	guoliusuanjia
过硫酸钠	guoliusuanna
锅炉上水	guolushangshui
锅炉循环水泵	guoluxunhuanshuibeng
过滤瓶	guolvping
过滤器	guolvqi
过氯酸	guolvsuan
过氯酸铵	guolvsuanan
过氯酸钾	guolvsuanjia
过氯酸镁	guolvsuanmei
过氯酸钠	guolvsuanna
过滤装置	guolvzhuangzhi
过硼酸钾	guopengsuanjia
过硼酸钠	guopengsuanna
过碳酸	guotansuan
过碳酸钠	guotansuanna
过碳酰胺	guotanxianan
果糖二磷酸酶	guotangerlinsuanmei
过氧苯甲酰	guoyangbenjiaxian
过氧化钡	guoyanghuabei
过氧化苯甲酰	guoyanghuabenjiaxian
过氧化苯酰	guoyanghuabenxian
过氧化钙	guoyanghuagai
过氧化钾	guoyanghuajia
过氧化锂	guoyanghuali
过氧化钠	guoyanghuana
过氧化铅	guoyanghuaqian
过氧化氢	guoyanghuaqing
过氧化锶	guoyanghuasi
过氧化物	guoyanghuawu
过氧化锌	guoyanghuaxin
过氧乙酸	guoyangyisuan
过乙酸	guoyisuan
海藻酸	haizaosuan
海藻酸钙	haizaosuangai
海藻酸钾	haizaosuanjia
海藻酸钠	haizaosuanna
海藻糖	haizaotang
汉防己碱	hanfangjijian
焊工班	hangongban
汉生胶	hanshengjiao
含氧酸	hanyangsuan
和邦防腐队	hebangfangfudui
和邦化工公司	hebanghuagonggongsi
和邦集团	hebangjituan
荷包牡丹碱	hebaomudanjian
合成氨	hechengan
合成材料	hechengcailiao
合成废锅	hechengfeiguo
合成分厂	hechengfenchang
合成界区	hechengjiequ
合成开工加热炉	hechengkaigongjiarelu
合成配电班	hechengpeidianban
合成配电房	hechengpeidianfang
合成片区	hechengpianqu
合成气	hechengqi
合成气给水预热器	hechengqijishuiyureqi
合成树脂	hechengshuzhi
合成水冷器	hechengshuilengqi
合成纤维	hechengxianwei
合成橡胶	hechengxiangjiao
核磁共振	hecigongzhen
核磁共振波谱法	hecigongzhenbopufa
荷尔蒙	heermeng
核苷酸	hegansuan
合金钢	hejingang
核裂变	heliebian
褐煤蜡	hemeila
核素	hesu
核糖核酸	hetanghesuan
褐铁矿	hetiekuang
核酮糖	hetongtang
河豚毒	hetundu
核外电子	hewaidianzi
核医学	heyixue
核子秤	hezicheng
痕量分析	henliangfenxi
横河川仪	henghechuanyi
恒温蒸发	hengwenzhengfa
红外分光光度计	hongwaifenguangguangduji
鲎试剂	houshiji
互变异构	hubianyigou
胡椒醛	hujiaoquan
琥珀酸	huposuan
琥珀酸二钠	huposuanerna
护色剂	huseji
糊树脂	hushuzhi
化合反应	huahefanying
化合水	huaheshui
化合水冷却器	huaheshuilengqueqi
化合物	huahewu
滑环风机	huahuanfengji
花生四烯酸	huashengsixisuan
花生酸	huashengsuan
滑石	huashi
滑石粉	huashifen
化水站	huashuizhan
化学电池	huaxuedianchi
化学电源	huaxuedianyuan
化学反应	huaxuefanying
化学方程式	huaxuefangchengshi
化学腐蚀	huaxuefushi
化学能	huaxueneng
化学平衡	huaxuepingheng
化学势	huaxueshi
化学试剂	huaxueshiji
化学通式	huaxuetongshi
化学用语	huaxueyongyu
化盐池	huayanchi
环安部	huananbu
环保安全部	huanbaoanquanbu
环吡酮胺	huanbitongan
环丙磺酰氯	huanbinghuangxianlv
环丙烷	huanbingwan
缓冲罐	huanchongguan
缓冲物	huanchongwu
环丁砜	huandingfeng
环糊精	huanhujing
环己胺	huanjian
环己醇	huanjichun
环己二酮	huanjiertong
环己二酮二肟	huanjiertongerwo
环己酮	huanjitong
环己酮肟	huanjitongwo
环己烷	huanjiwan
环己烷羧酸	huanjiwansuosuan
环己烯	huanjixi
环丝氨酸	huansiansuan
环烷酸	huanwansuan
环烷酸钙	huanwansuangai
环烷酸钴	huanwansuangu
环烷酸锰	huanwansuanmeng
环烷酸镍	huanwansuannie
环烷酸铜	huanwansuantong
环烷酸锌	huanwansuanxin
环烷烃	huanwanting
环戊二烯	huanwuerxi
环戊酮	huanwutong
环戊烷羧酸	huanwuwansuosuan
环氧丙醇	huanyangbingchun
环氧丙烷	huanyangbingwan
环氧大豆油	huanyangdadouyou
环氧化合物	huanyanghuahewu
环氧基	huanyangji
环氧氯丙烷	huanyanglvbingwan
环氧树脂	huanyangshuzhi
环氧乙烷	huanyangyiwan
环氧酯	huanyangzhi
还原反应	huanyuanfanying
还原剂	huanyuanji
还原蓝	huanyuanlan
还原铁	huanyuantie
还原铁粉	huanyuantiefen
还原型辅酶	haiyuanxingfumei
磺胺氯吡嗪钠	huanganlvbiqinna
磺胺嘧啶	huanganmiding
黄河制氧	huanghezhiyang
磺化反应	huanghuafanying
黄磷	huanglin
黄尿酸	huangniaosuan
黄色氧化汞	huangseyanghuagong
磺酸	huangsuan
黄铁矿	huangtiekuang
黄铜矿	huangtongkuang
磺酰氯	huangxianlv
磺溴酞钠	huangxiutaina
黄血盐	huangxueyan
黄血盐钾	huangxueyanjia
黄樟素	huangzhangsu
挥发性	huifaxing
挥发性酸	huifaxingsuan
回归方程	huiguifangcheng
回收桶	huishoutong
灰锁	huisuo
辉锑矿	huitikuang
辉铜矿	huitongkuang
茴香醚	huixiangmi
混合器二段	hunheqierduan
混合气三段	hunheqisanduan
混合气四段	hunheqisiduan
混合气一段	hunheqiyiduan
混合酸	hunhesuan
混合物	hunhewu
混炼	hunlian
混酸	hunsuan
活化能	huohuaneng
火棉胶	huomianjiao
活性白土	huoxingbaitu
活性剂	huoxingji
活性聚合	huoxingjuhe
活性炭	huoxingtan
活性氧	huoxingyang
活性氧化铝	huoxingyanghualv
活性氧化锌	huoxingyanghuaxin
肌氨酸	jiansuan
吉布斯杜安方程	jibusiduanfangcheng
肌醇六磷酸	jichunliulinsuan
己雌酚	jicifen
己二胺	jieran
基尔霍夫定律	jierhuofudinglv
己二腈	jierjing
己二酸	jiersuan
己二烯雌酚	jierxicifen
吉非罗齐	jifeiluoqi
基峰	jifeng
肌钙蛋白	jigaidanbai
肌苷	jigan
肌苷酸钠	jigansuanna
集合槽	jihecao
几何异构体	jiheyigouti
极化曲线	jihuaquxian
集灰罐	jihuiguan
己基间苯二酚	jijijianbenerfen
基林	jilin
己内酰胺	jineixianan
己内酯	jineizhi
极谱极大	jipujida
集气瓶	jiqiping
己醛	jiquan
己酸烯丙酯	jisuanxibingzhi
己酸乙酯	jisuanyizhi
肌肽	jitai
基态	jitai
基体	jiti
基体效应	jitixiaoying
己酮可可碱	jitongkekejian
季戊四醇	jiwusichun
己烯	jixi
己烯雌酚	jixicifen
机械过滤器	jixieguolvqi
机械手	jixieshou
极性键	jixingjian
极性聚合物	jixingjuhewu
挤压造粒	jiyazaoli
甲胺	jiaan
甲氨基	jiaanji
加巴喷丁	jiabapending
甲苯	jiaben
甲苯胺	jiabenan
甲苯胺蓝	jiabenanlan
甲苯二胺	jiabeneran
甲苯二硫酚	jiabenerliufen
加成反应	jiachengfanying
加成聚合	jiachengjuhe
甲醇	jiachun
甲醇钠	jiachunna
价带	jiadai
甲二换	jiaerhuan
甲二换热器	jiaerhuanreqi
甲泛影钠	jiafanyingna
甲基苯	jiajiben
甲基苯胺	jiajibenan
甲基苯巴比妥	jiajibenbabituo
甲基苯并咪唑	jiajibenbingmizuo
甲基苯乙酮	jiajibenyitong
甲基苯乙烯	jiajibenyixi
甲基吡啶	jiajibiding
甲基吡咯烷酮	jiajibiluowantong
甲基吡嗪	jiajibiqin
甲基吡唑	jiajibizuo
甲基丙二酸	jiajibingersuan
甲基丙烯酸	jiajibingxisuan
甲基丙烯酸甲酯	jiajibingxisuanjiazhi
甲基丙烯酸乙酯	jiajibingxisuanyizhi
甲基丙烯酰胺	jiajibingxixianan
甲基丁醇	jiajidingchun
甲基丁酸	jiajidingsuan
甲基丁香酚	jiajidingxiangfen
甲基对酪氨酸	jiajiduilaoansuan
甲基蒽醌	jiajienkun
甲基睾丸素	jiajigaowansu
甲基硅橡胶	jiajiguixiangjiao
甲基甲酰胺	jiajijiaxianan
甲基间酪氨酸	jiajijianlaoansuan
甲基蓝	jiajilan
甲基硫尿嘧啶	jiajiliuniaomiding
甲基氯	jiajilv
甲基绿	jiajilv
甲基氯化镁	jiajilvhuamei
甲基麻黄碱	jiajimahuangjian
甲基咪唑	jiajimizuo
甲基咪唑啉	jiajimizuolin
甲基尿嘧啶	jiajiniaomiding
甲基鸟嘌呤	jiajiniaopiaoling
甲基哌啶	jiajipaiding
甲基哌嗪	jiajipaiqin
甲基葡萄糖胺	jiajiputaotangan
甲基羟基萘醌	jiajiqiangjinaikun
甲基噻唑	jiajisaizuo
甲基叔丁基醚	jiajishudingjimi
甲基戊基酮	jiajiwujitong
甲基戊酮	jiajiwutong
甲基戊烯酸	jiajiwuxisuan
甲基香豆素	jiajixiangdousu
甲基乙酰苯胺	jiajiyixianbenan
甲基吲哚	jiajiyinduo
甲基紫	jiajizi
加料斗	jialiaodou
甲硫氨酸	jialiuansuan
甲硫醇	jialiuchun
甲萘酚	jianaifen
甲羟戊酸	jiaqiangwusuan
甲氰菊酯	jiaqingjuzhi
甲醛	jiaquan
甲醛溶液	jiaquanrongye
甲酸	jiasuan
甲酸钙	jiasuangai
甲酸甲酯	jiasuanjiazhi
甲酸钠	jiasuanna
甲酸哌啶	jiasuanpaiding
甲酸乙酯	jiasuanyizhi
夹套水	jiataoshui
甲烷化	jiawanhua
甲烷化分离器	jiawanhuafenliqi
甲烷化换热器	jiawanhuahuanreqi
甲烷化炉	jiawanhualu
甲烷气分离器	jiawanqifenliqi
甲酰胺	jiaxianan
甲酰基	jiaxianji
甲酰基吗啉	jiaxianjimalin
甲酰吗啉	jiaxianmalin
甲氧基	jiayangji
甲氧基苯胺	jiayangjibenan
甲氧基苯硼酸	jiayangjibenpengsuan
甲氧基吡啶	jiayangjibiding
甲氧基水杨醛	jiayangjishuiyangquan
甲氧基乙腈	jiayangjiyijing
甲氧基吲哚	jiayangjiyinduo
加液管	jiayeguan
加液器	jiayeqi
甲一换	jiayihuan
甲一换热器	jiayihuanreqi
甲乙酮	jiayitong
加脂剂	jiazhiji
间苯二胺	jianbeneran
间苯二酚	jianbenerfen
间苯二酚品红	jianbenerfenpinhong
间苯二甲酸	jianbenerjiasuan
间苯三酚	jianbensanfen
碱仓	jiancang
碱车	jianche
碱尘	jianchen
箭毒	jiandu
间断排污罐	jianduanpaiwuguan
间二甲苯	jianerjiaben
间甲苯酚	jianjiabenfen
间甲酚	jianjiafen
键价键长关联	jianjiajianchangguanlian
碱金属	jianjinshu
尖晶石	jianjingshi
碱库	jianku
碱皮带	jianpidai
剪切应力	jianqieyingli
碱筛	jianshai
碱式醋酸铝	jianshicusuanlv
碱式醋酸铅	jianshicusuanqian
碱式滴定管	jianshididingguan
碱石灰	jianshihui
碱式碳酸铋	jianshitansuanbi
碱式碳酸钴	jianshitansuangu
碱式碳酸镁	jianshitansuanmei
碱式碳酸镍	jianshitansuannie
碱式碳酸铅	jianshitansuanqian
碱式碳酸铜	jianshitansuantong
碱式碳酸锌	jianshitansuanxin
碱式盐	jianshiyan
间硝基甲苯	jianxiaojijiaben
碱性嫩黄	jianxingnenhuang
碱性品红	jianxingpinhong
碱性蓄电池	jianxingxudianchi
碱性氧化物	jianxingyanghuawu
间溴苯甲醚	jianxiubenjiami
间溴碘苯	jianxiudianben
降冰片烯	jiangbingpianxi
降低温度	jiangdiwendu
降温结晶	jiangwenjiejing
搅拌棒	jiaobanbang
焦谷氨酸	jiaoguansuan
交换电流	jiaohuandianliu
交换能	jiaohuanneng
交联密度	jiaolianmidu
焦磷酸	jiaolinsuan
焦磷酸钙	jiaolinsuangai
焦磷酸钾	jiaolinsuanjia
焦磷酸锰	jiaolinsuanmeng
焦磷酸钠	jiaolinsuanna
焦磷酸铁钠	jiaolinsuantiena
焦磷酸铜	jiaolinsuantong
焦磷酰氯	jiaolinxianlv
焦硫酸	jiaoliusuan
焦硫酸钾	jiaoliusuanjia
酵母聚糖	jiaomujutang
胶乳	jiaoru
角鲨烷	jiaoshawan
角鲨烯	jiaoshaxi
焦烧	jiaoshao
胶束	jiaoshu
焦炭称	jiaotancheng
焦炭加料器	jiaotanjialiaoqi
胶体化学	jiaotihuaxue
胶体磨	jiaotimo
胶体溶液	jiaotirongye
胶头滴管	jiaotoudiguan
焦亚硫酸钾	jiaoyaliusuanjia
胶衣树脂	jiaoyishuzhi
解除联锁	jiechuliansuo
结晶池	jiejingchi
结晶水合物	jiejingshuihewu
解聚酶	jiejumei
界区	jiequ
接枝聚合物	jiezhijuhewu
芥子气	jieziqi
进出塔预热器	jinchutayureqi
金刚石	jingangshi
金刚烷胺	jingangwanan
金刚烷醇	jingangwanchun
金红石	jinhongshi
浸灰剂	jinhuiji
进料阀	jinliaofa
进料蛟龙	jinliaojiaolong
金雀花碱	jinquehuajian
金属粉	jinshufen
金属钴	jinshugu
金属化	jinshuhua
金属锂	jinshuli
金属离子	jinshulizi
金属氧化物	jinshuyanghuawu
浸酸剂	jinsuanji
精胺	jingan
精氨酸	jingansuan
静电除尘	jingdianchuchen
晶格能	jinggeneng
净化气	jinghuaqi
净化器分离器	jinghuaqifenliqi
净化气分离器	jinghuaqifenliqi
净化气冷却器	jinghuaqilengqueqi
净化装置	jinghuazhuangzhi
肼基吡啶	jingjibiding
竞聚率	jingjulv
精萘	jingnai
静水站	jingshuizhan
精锑	jingti
晶体缺陷	jingtiquexian
晶体生长	jingtishengzhang
径向触媒层	jingxiangchumeiceng
晶形	jingxing
井型计数器	jingxingjishuqi
酒精灯	jiujingdeng
酒精喷灯	jiujingpendeng
酒石酸	jiushisuan
酒石酸钾钠	jiushisuanjiana
酒石酸麦角胺	jiushisuanmaijiaoan
酒石酸氢钾	jiushisuanqingjia
酒石酸锑钾	jiushisuantijia
酒石酸锑钠	jiushisuantina
聚氨基甲酸酯	juanjijiasuanzhi
聚氨酯	juanzhi
聚苯胺	jubenan
聚苯醚	jubenmi
聚苯乙烯	jubenyixi
聚丙二醇	jubingerchun
聚丙烯	jubingxi
聚丙烯腈	jubingxijing
聚丙烯酸	jubingxisuan
聚丙烯酸钠	jubingxisuanna
聚丙烯酸树脂	jubingxisuanshuzhi
聚丙烯酰胺	jubingxixianan
局部优化	jubuyouhua
聚丁烯	judingxi
聚谷氨酸	juguansuan
聚合反应	juhefanying
聚合硫酸铁	juheliusuantie
聚合氯化铝	juhelvhualv
聚合氯化铝铁	juhelvhualvtie
聚合物	juhewu
聚己内酰胺	jujineixianan
聚甲基丙烯酸甲酯	jujiajibingxisuanjiazhi
聚甲醛	jujiaquan
居里夫人	julifuren
聚氯丁二烯	julvdingerxi
聚氯化铝	julvhualv
聚氯乙烯	julvyixi
聚醚多元醇	jumiduoyuanchun
聚醚醚酮	jumimitong
聚全氟乙丙烯	juquanfuyibingxi
聚乳酸	jurusuan
聚三氟氯乙烯	jusanfulvyixi
聚四氟乙烯	jusifuyixi
聚碳酸酯	jutansuanzhi
聚维酮碘	juweitongdian
聚烯烃	juxiting
聚酰胺	juxianan
聚酰胺树脂	juxiananshuzhi
聚腺苷酸	juxiangansuan
聚酰亚胺	juxianyaan
聚异丁烯	juyidingxi
聚乙二醇	juyierchun
聚乙炔	juyique
聚乙酸乙烯酯	juyisuanyixizhi
聚乙烯	juyixi
聚乙烯醇	juyixichun
聚乙烯醇缩甲醛	juyixichunsuojiaquan
聚乙烯蜡	juyixila
桔子香精	juzixiangjing
绝对反应速率理论	jueduifanyingsulvlilun
均苯三甲酸	junbensanjiasuan
均相聚合	junxiangjuhe
均匀分布	junyunfenbu
卡波姆	kabomu
卡尔费休法	kaerfeixiufa
咖啡酸	kafeisuan
卡件	kajian
开封压缩机	kaifengyasuoji
开工加热炉	kaigongjiarelu
开工烧嘴	kaigongshaozui
开环聚合	kaihuanjuhe
莰烯	kanxi
抗坏血酸钙	kanghuaixuesuangai
抗坏血酸钠	kanghuaixuesuanna
抗霉素	kangmeisu
抗生物素蛋白	kangshengwusudanbai
抗微生物剂	kangweishengwuji
抗氧化剂	kangyanghuaji
抗氧剂	kangyangji
壳聚糖	kejutang
可可碱	kekejian
克霉唑	kemeizuo
可逆反应	kenifanying
苛性钾	kexingjia
苛性碱	kexingjian
苛性钠	kexingna
空二段	kongerduan
空分岗位	kongfengangwei
空分塔	kongfenta
空气分馏塔	kongqifenliuta
空气缓冲器	kongqihuanchongqi
孔雀石	kongqueshi
空三段	kongsanduan
空四段	kongsiduan
空速	kongsu
空压机	kongyaji
空压机放空	kongyajifangkong
空压机后冷却器	kongyajihoulengqueqi
空一段	kongyiduan
矿烷	kuangwan
喹啉黄	kuilinhuang
昆布多糖	kunbuduotang
扩散过程	kuosanguocheng
拉钩螺栓	lagouluoshuan
赖氨酸盐酸盐	laiansuanyansuanyan
来苏儿	laisuer
来苏糖	laisutang
镧系元素	lanxiyuansu
榄香烯	lanxiangxi
朗伯比尔定律	langbobierdinglv
酪氨酸	laoansuan
铑粉	laofen
乐山和邦集团	leshanhebangjituan
乐山五通	leshanwutong
雷达液位计	leidayeweiji
雷琐辛	leisuoxin
冷氨泵	lenganbeng
冷冻机	lengdongji
冷交	lengjiao
冷交换器	lengjiaohuanqi
冷凝管	lengningguan
冷凝液桶	lengningyetong
冷凝液贮槽	lengningyezhucao
冷却水	lengqueshui
冷却塔	lengqueta
冷析	lengxi
冷析稠厚器	lengxichouhouqi
冷析结晶器	lengxijiejingqi
冷析桶	lengxitong
冷析轴流泵	lengxizhouliubeng
立德粉	lidefen
锂电池	lidianchi
利福霉素	lifumeisu
离解	lijie
离心滤铵机	lixinlvanji
离心滤液泵	lixinlvyebeng
离心滤液桶	lixinlvyetong
离子符号	lizifuhao
离子浮选	lizifuxuan
离子键	lizijian
离子晶体	lizijingti
离子聚合	lizijuhe
离子迁移率	liziqianyilv
离子溶剂化	lizirongjihua
离子色谱仪	lizisepuyi
离子束	lizishu
离子载体	lizizaiti
联苯	lianben
联苯胺	lianbenan
联苯醚	lianbenmi
联苯硼酸	lianbenpengsuan
连苯三酚	lianbensanfen
联苯双酯	lianbenshuangzhi
联苯乙酸	lianbenyisuan
连二亚硫酸钠	lianeryaliusuanna
联合压缩机	lianheyasuoji
链激酶	lianjimei
联碱	lianjian
联碱分厂	lianjianfenchang
联碱配电班	lianjianpeidianban
连续排污罐	lianxupaiwuguan
链引发	lianyinfa
链终止	lianzhongzhi
链转移	lianzhuanyi
链转移反应	lianzhuanyifanying
凉碱机	liangjianji
两性氧化物	liangxingyanghuawu
量子数	liangzishu
邻氨基苯甲醚	linanjibenjiami
邻氨基苯甲酸	linanjibenjiasuan
邻苯二胺	linbeneran
邻苯二酚	linbenerfen
邻苯二甲醛	linbenerjiaquan
邻苯二甲酸	linbenerjiasuan
邻苯二甲酸二甲酯	linbenerjiasuanerjiazhi
邻苯二甲酸二乙酯	linbenerjiasuaneryizhi
邻苯二甲酸酐	linbenerjiasuangan
邻苯二甲酸盐	linbenerjiasuanyan
邻苯二甲酸酯	linbenerjiasuanzhi
邻碘马尿酸钠	lindianmaniaosuanna
邻二甲苯	linerjiaben
磷化钙	linhuagai
磷化铝	linhualv
磷化氢	linhuaqing
磷化锌	linhuaxin
邻甲苯胺	linjiabenan
邻甲苯酚	linjiabenfen
邻甲酚	linjiafen
膦甲酸钠	linjiasuanna
临界值	linjiezhi
邻氯苯甲醛	linlvbenjiaquan
邻氯苯甲酸	linlvbenjiasuan
磷霉素钙	linmeisugai
磷钼酸	linmusuan
鳞石英	linshiying
磷酸	linsuan
磷酸铵	linsuanan
磷酸铵镁	linsuananmei
磷酸钡	linsuanbei
磷酸二丁酯	linsuanerdingzhi
磷酸二氢铵	linsuanerqingan
磷酸二氢钙	linsuanerqinggai
磷酸二氢钾	linsuanerqingjia
磷酸二氢铝	linsuanerqinglv
磷酸二氢镁	linsuanerqingmei
磷酸二氢锰	linsuanerqingmeng
磷酸二氢钠	linsuanerqingna
磷酸二氢锌	linsuanerqingxin
磷酸二酯键	linsuanerzhijian
磷酸锆	linsuangao
磷酸铬	linsuange
磷酸钾	linsuanjia
磷酸铝	linsuanlv
磷酸氯喹	linsuanlvkui
磷酸镁	linsuanmei
磷酸镍	linsuannie
磷酸氢钡	linsuanqingbei
磷酸氢二铵	linsuanqingeran
磷酸氢二钾	linsuanqingerjia
磷酸氢二钠	linsuanqingerna
磷酸氢钙	linsuanqinggai
磷酸三苯酯	linsuansanbenzhi
磷酸三丁酯	linsuansandingzhi
磷酸三钙	linsuansangai
磷酸三钾	linsuansanjia
磷酸三甲苯酯	linsuansanjiabenzhi
磷酸三甲酚酯	linsuansanjiafenzhi
磷酸三甲酯	linsuansanjiazhi
磷酸三钠	linsuansanna
磷酸三乙酯	linsuansanyizhi
磷酸铁	linsuantie
磷酸铁锂	linsuantieli
磷酸锌	linsuanxin
磷酸盐	linsuanyan
磷酸盐泵	linsuanyanbeng
磷酸一钙	linsuanyigai
磷钨酸	linwusuan
邻硝基苯甲醚	linxiaojibenjiami
邻硝基苯甲醛	linxiaojibenjiaquan
邻硝基甲苯	linxiaojijiaben
磷脂	linzhi
磷脂酰胆碱	linzhixiandanjian
磷脂酰丝氨酸	linzhixiansiansuan
铃兰毒苷	linglandugan
菱镁矿	lingmeikuang
菱锰矿	lingmengkuang
灵敏度	lingmindu
菱铁矿	lingtiekuang
硫铵	liuan
流程气相色谱仪	liuchengqixiangsepuyi
硫代硫酸钠	liudailiusuanna
硫代鸟嘌呤	liudainiaopiaoling
硫代葡萄糖	liudaiputaotang
六方晶系	liufangjingxi
六氟丙烯	liufubingxi
六氟化硫	liufuhualiu
六氟化钨	liufuhuawu
六氟化铀	liufuhuayou
六氟磷酸铵	liufulinsuanan
六氟磷酸钾	liufulinsuanjia
六氟磷酸锂	liufulinsuanli
硫化钡	liuhuabei
硫化钙	liuhuagai
硫化汞	liuhuagong
硫化钴	liuhuagu
硫化剂	liuhuaji
硫化钾	liuhuajia
硫化钠	liuhuana
硫化钠高位槽	liuhuanagaoweicao
硫化钠溶解槽	liuhuanarongjiecao
硫化铅	liuhuaqian
硫化氢	liuhuaqing
硫化橡胶	liuhuaxiangjiao
硫化亚铁	liuhuayatie
硫化亚铜	liuhuayatong
硫化延迟剂	liuhuayanchiji
硫化银	liuhuayin
硫堇	liujin
硫利达嗪	liulidaqin
流量变送器	liuliangbiansongqi
六磷胺	liulinan
六氯酚	liulvfen
六氯乙烷	liulvyiwan
六偏磷酸钠	liupianlinsuanna
硫氰化钾	liuqinghuajia
硫氢化钠	liuqinghuana
硫氰化钠	liuqinghuana
硫氰酸	liuqingsuan
硫氰酸铵	liuqingsuanan
硫氰酸钙	liuqingsuangai
硫氰酸汞	liuqingsuangong
硫氰酸汞铵	liuqingsuangongan
硫氰酸钾	liuqingsuanjia
硫氰酸钠	liuqingsuanna
硫氰酸铅	liuqingsuanqian
硫双二氯酚	liushuangerlvfen
硫酸	liusuan
硫酸阿托品	liusuanatuopin
硫酸铵	liusuanan
硫酸钡	liusuanbei
硫酸铋	liusuanbi
硫酸长春新碱	liusuanchangchunxinjian
硫酸多粘菌素	liusuanduonianjunsu
硫酸二甲酯	liusuanerjiazhi
硫酸钙	liusuangai
硫酸锆	liusuangao
硫酸铬	liusuange
硫酸镉	liusuange
硫酸铬钾	liusuangejia
硫酸汞	liusuangong
硫酸钴	liusuangu
硫酸钾	liusuanjia
硫酸钾镁	liusuanjiamei
硫酸奎尼丁	liusuankuiniding
硫酸奎宁	liusuankuining
硫酸锂	liusuanli
硫酸铝	liusuanlv
硫酸铝钾	liusuanlvjia
硫酸镁	liusuanmei
硫酸锰	liusuanmeng
硫酸锰铵	liusuanmengan
硫酸钠	liusuanna
硫酸镍	liusuannie
硫酸镍铵	liusuanniean
硫酸铍	liusuanpi
硫酸铅	liusuanqian
硫酸氢钾	liusuanqingjia
硫酸氢钠	liusuanqingna
硫酸氢小檗碱	liusuanqingxiaobojian
硫酸软骨素	liusuanruangusu
硫酸铈	liusuanshi
硫酸锶	liusuansi
硫酸钛	liusuantai
硫酸铁	liusuantie
硫酸铁铵	liusuantiean
硫酸铜	liusuantong
硫酸锌	liusuanxin
硫酸新霉素	liusuanxinmeisu
硫酸亚汞	liusuanyagong
硫酸亚锰	liusuanyameng
硫酸亚铊	liusuanyata
硫酸亚铁	liusuanyatie
硫酸亚铁铵	liusuanyatiean
硫酸亚铜	liusuanyatong
硫酸亚锡	liusuanyaxi
硫酸盐	liusuanyan
硫酸氧钒	liusuanyangfan
硫酸氧钛	liusuanyangtai
硫酸银	liusuanyin
硫酸铀酰	liusuanyouxian
硫酸紫霉素	liusuanzimeisu
硫铁矿	liutiekuang
硫酰氟	liuxianfu
