赫梯王国	hetiwangguo
斑鸠寺	banjiusi
金阁寺	jingesi
银阁寺	yingesi
法隆寺	falongsi
大德寺	dadesi
西芳寺	xifangsi
龙安寺	longansi
二条城	ertiaocheng
桂离宫	guiligong
嵯峨野	cuoeye
加茂川	jiamaochuan
姬路城	jilucheng
遣隋使	qiansuishi
太平军	taipingjun
诸匠营	zhujiangying
百工衙	baigongya
苏福省	sufusheng
洋枪队	yangqiangdui
常捷军	changjiejun
税务司	shuiwusi
同文馆	tongwenguan
时务报	shiwubao
谘议局	ziyiju
资政院	zizhengyuan
德先生	dexiansheng
赛先生	saixiansheng
占田制	zhantianzhi
输籍法	shujifa
永业田	yongyetian
口分田	koufentian
租庸调	zuyongdiao
司礼监	silijian
察举制	chajuzhi
互助论	huzhulun
醒狮派	xingshipai
张荩忱	zhangjinchen
豫湘桂	yuxianggui
李之龙	lizhilong
狄克西	dikexi
俞鸿钧	yuhongjun
古埃及是	guaijishi
阿蒙神庙	amengshenmiao
婆罗门教	poluomenjiao
爱琴文化	aiqinwenhua
伊索寓言	yisuoyuyan
三级会议	sanjihuiyi
经院哲学	jingyuanzhexue
骑士文学	qishiwenxue
黄金诏书	huangjinzhaoshu
世袭领地	shixilingdi
伊斯兰教	yisilanjiao
贝杜因人	beiduyinren
路德教派	ludejiaopai
工联主义	gonglianzhuyi
巴士底狱	bashidiyu
吉伦特派	jiluntepai
人权宣言	renquanxuanyan
神圣同盟	shenshengtongmeng
第一国际	diyiguoji
第二国际	dierguoji
五月花号	wuyuehuahao
美利坚人	meilijianren
俄美公司	emeigongsi
门罗宣言	menluoxuanyan
日本军部	ribenjunbu
三井财阀	sanjingcaifa
三菱财阀	sanlingcaifa
四月提纲	siyuetigang
委任统治	weirentongzhi
盖世太保	gaishitaibao
第三国际	disanguoji
第四国际	disiguoji
国际联盟	guojilianmeng
杨格计划	yanggejihua
绥靖政策	suijingzhengce
国际纵队	guojizongdui
第五纵队	diwuzongdui
第二战场	dierzhanchang
开罗宣言	kailuoxuanyan
汉穆拉比	hanmulabi
释迦牟尼	shijiamouni
列奥尼达	lieaonida
伯利克里	bolikeli
希罗多德	xiluoduode
苏格拉底	sugeladi
修昔底德	xiuxidide
查士丁尼	chashidingni
孝德天皇	xiaodetianhuang
穆罕默德	muhanmode
阿维森纳	aweisenna
马丁路德	madinglude
塞万提斯	saiwantisi
莎士比亚	shashibiya
马可波罗	makeboluo
拉吉舍夫	lajishefu
富兰克林	fulankelin
玻利瓦尔	boliwaer
马尔萨斯	maersasi
费尔巴哈	feierbaha
卡芬雅克	kafenyake
亚当斯密	yadangsimi
道格拉斯	daogelasi
维多利亚	weiduoliya
加里波第	jialibodi
西乡隆盛	xixianglongsheng
路易勃朗	luyibolang
伊藤博文	yitengbowen
幸德秋水	xingdeqiushui
章西女王	zhangxinvwang
伯恩施坦	boenshitan
马尔托夫	maertuofu
威廉二世	weilianershi
鲁登道夫	ludengdaofu
马克吐温	maketuwen
加米涅夫	jiaminiefu
卡德纳斯	kadenasi
贝拉库恩	beilakuen
劳合乔治	laoheqiaozhi
克里孟梭	kelimengsuo
墨索里尼	mosuolini
东条英机	dongtiaoyingji
居里夫妇	julifufu
冯诺伊曼	fengnuoyiman
笈多王朝	jiduowangchao
贵霜帝国	guishuangdiguo
梭伦改革	suolungaige
希波战争	xibozhanzheng
提洛同盟	tiluotongmeng
诺曼征服	nuomanzhengfu
拉丁帝国	ladingdiguo
玫瑰战争	meiguizhanzheng
邪马台国	xiemataiguo
大和国家	daheguojia
大化革新	dahuagexin
吴哥王朝	wugewangchao
蒲甘王朝	puganwangchao
钦察汗国	qinchahanguo
文艺复兴	wenyifuxing
胡司战争	husizhanzheng
圈地运动	quandiyundong
血腥立法	xuexinglifa
短期国会	duanqiguohui
长期国会	changqiguohui
卢德运动	ludeyundong
北方战争	beifangzhanzheng
谢斯起义	xiesiqiyi
波旁王朝	bopangwangchao
热月政变	reyuezhengbian
海地革命	haidigeming
宪章运动	xianzhangyundong
七月王朝	qiyuewangchao
安政条约	anzhengtiaoyue
色当投降	sedangtouxiang
巴黎公社	baligongshe
英国工党	yingguogongdang
英布战争	yingbuzhanzheng
日俄战争	riezhanzheng
六三政变	liusanzhengbian
三国协约	sanguoxieyue
洛桑条约	luosangtiaoyue
华夫脱党	huafutuodang
巴黎和会	balihehui
小协约国	xiaoxieyueguo
法西斯党	faxisidang
田中奏折	tianzhongzouzhe
意埃战争	yiaizhanzheng
德奥合并	deaohebing
苏芬战争	sufenzhanzheng
维希政府	weixizhengfu
北非战争	beifeizhanzheng
柏林战役	bolinzhanyi
东京审判	dongjingshenpan
瓜分波兰	guafenbolan
二月革命	eryuegeming
六月起义	liuyueqiyi
废奴运动	feinuyundong
大陆会议	daluhuiyi
雾月政变	wuyuezhengbian
卫国战争	weiguozhanzheng
加尔文教	jiaerwenjiao
容克地主	rongkedizhu
权力法案	quanlifaan
斯拉夫派	silafupai
冈比西斯	gangbixisi
李奥尼达	liaonida
伯里克利	bolikeli
君士坦丁	junshitanding
占西女王	zhanxinvwang
克里蒙梭	kelimengsuo
陶片放逐	taopianfangzhu
新月沃地	xinyuewodi
唐律疏议	tanglvshuyi
人文初祖	renwenchuzu
喜克索斯	xikesuosi
神庙经济	shenmiaojingji
线形文字	xianxingwenzi
米底王国	midiwangguo
罗摩衍那	luomoyanna
佛本生经	fobenshengjing
寡头政治	guatouzhengzhi
迦腻色迦	jianisejia
马斯塔巴	masitaba
最终税册	zuizhongshuice
牛津条例	niujintiaoli
卡廷森林	katingsenlin
舒曼计划	shumanjihua
七年战争	qinianzhanzheng
亚琛条约	yachentiaoyue
人民宪章	renminxianzhang
兰斯受洗	lansishouxi
三角航程	sanjiaohangcheng
白衣大食	baiyidashi
绿衣大食	lvyidashi
幕藩体制	mufantizhi
室町幕府	shidingmufu
三体石经	santishijing
黄肠题凑	huangchangticou
仰韶文化	yangshaowenhua
喇家遗址	lajiayizhi
埃赫那吞	aihenatun
伊本西拿	yibenxina
四季捺钵	sijinabo
田里不鬻	tianlibuyu
卡普暴动	kapubaodong
丁村文化	dingcunwenhua
祺祥政变	qixiangzhengbian
府院之争	fuyuanzhizheng
望厦条约	wangxiatiaoyue
莽牯朱蛤	mangguzhuge|mangguzhuha
穆阿维叶	muaweiye
若昂大帝	ruoangdadi
萨珊王朝	sashanwangchao
戴克里先	daikelixian
矮子丕平	aizipiping
希拉克略	xilakelue
朱拉隆功	zhulalonggong
东山文化	dongshanwenhua
桃山文化	taoshanwenhua
丰臣秀吉	fengchenxiuji
版籍奉还	banjifenghuan
鸟羽伏见	niaoyufujian
西本愿寺	xibenyuansi
应仁之乱	yingrenzhiluan
细川胜元	xichuanshengyuan
山名宗全	shanmingzongquan
足利义政	zuliyizheng
保元之乱	baoyuanzhiluan
和同开弥	hetongkaimi
大宝律令	dabaolvling
飞鸟文化	feiniaowenhua
小野妹子	xiaoyemeizi
苏我稻目	suwodaomu
沙井文化	shajingwenhua
绳纹文化	shengwenwenhua
绳文文化	shengwenwenhua
平安神宫	pinganshengong
京都御所	jingduyusuo
西阵丝绸	xizhensichou
友禅印染	youchanyinran
京都偶人	jingduouren
清水陶瓷	qingshuitaoci
竹取物语	zhuquwuyu
团关政策	tuanguanzhengce
协定关税	xiedingguanshui
拜上帝教	baishangdijiao
拜上帝会	baishangdihui
劝世良言	quanshiliangyan
守土乡官	shoutuxiangguan
圣库制度	shengkuzhidu
资政新篇	zizhengxinpian
江北大营	jiangbeidaying
江南大营	jiangnandaying
总理衙门	zongliyamen
南洋大臣	nanyangdachen
北洋大臣	beiyangdachen
北洋海军	beiyanghaijun
中东铁路	zhongdongtielu
新民丛报	xinmincongbao
临时约法	linshiyuefa
每周评论	meizhoupinglun
东方杂志	dongfangzazhi
建州女真	jianzhounvzhen
晋作爰田	jinzuoyuantian
鲁初税亩	luchushuimu
编户齐民	bianhuqimin
府兵制度	fubingzhidu
猛安谋克	menganmouke
一条鞭法	yitiaobianfa
摊丁入亩	tandingrumu
八旗制度	baqizhidu
同平章事	tongpingzhangshi
经济特科	jingjiteke
司母戊鼎	simuwuding
云梦秦简	yunmengqinjian
居延汉简	juyanhanjian
竹书纪年	zhushujinian
春秋三传	chunqiusanchuan
孙子兵法	sunzibingfa
孙膑兵法	sunbinbingfa
甘石星经	ganshixingjing
黄帝内经	huangdineijing
周髀算经	zhoubisuanjing
九章算术	jiuzhangsuanshu
齐民要术	qiminyaoshu
梦溪笔谈	mengxibitan
农桑辑要	nongsangjiyao
本草纲目	bencaogangmu
农政全书	nongzhengquanshu
文献通考	wenxiantongkao
永乐大典	yongledadian
读通鉴论	dutongjianlun
文史通义	wenshitongyi
八旗通志	baqitongzhi
九国公约	jiuguogongyue
新村主义	xincunzhuyi
通道会议	tongdaohuiyi
齐卢战争	qiluzhanzheng
张勋复辟	zhangxunfubi
好人政府	haorenzhengfu
二七惨案	erqicanan
行宪国大	xingxianguoda
长沙会战	changshahuizhan
西山会议	xishanhuiyi
广田弘毅	guangtianhongyi
查田运动	chatianyundong
焦土抗战	jiaotukangzhan
守土抗战	shoutukangzhan
狮身人面像	shishenrenmianxiang
哈拉帕文化	halapawenhua
希腊化时代	xilahuashidai
早期基督教	zaoqijidujiao
萨利克法典	salikefadian
宗教裁判所	zongjiaocaipansuo
班田收授法	bantianshoushoufa
阿拉伯文化	alabowenhua
一千零一夜	yiqianlingyiye
格利哥里历	geligelili
加尔文教派	jiaerwenjiaopai
英格兰银行	yinggelanyinhang
百科全书派	baikequanshupai
斐扬俱乐部	feiyangjulebu
列霞白利法	liexiabailifa
法国共和历	faguogongheli
拿破仑法典	napolunfadian
正义者同盟	zhengyizhetongmeng
爱森那赫派	aisennahepai
史里芬计划	shilifenjihua
西门子公司	ximenzigongsi
布尔什维克	buershiweike
死亡集中营	siwangjizhongying
伯尔尼国际	boerniguoji
第二半国际	dierbanguoji
道威斯计划	daoweisijihua
大政翼赞会	dazhengyizanhui
祖国光复会	zuguoguangfuhui
史汀生主义	shitingshengzhuyi
李顿调查团	lidundiaochatuan
美国中立法	meiguozhonglifa
奇怪的战争	qiguaidezhanzheng
马其诺防线	maqinuofangxian
大西洋宪章	daxiyangxianzhang
大流士一世	daliushiyishi
亚里斯多德	yalisiduode
阿倍仲麻吕	abeizhongmalv
马基雅弗利	majiyafuli
伊本拔图塔	yibenbatuta
罗伯斯庇尔	luobosibier
普列汉诺夫	puliehannuofu
大卫李嘉图	daweilijiatu
路易波拿巴	luyibonaba
罗蒙诺索夫	luomengnuosuofu
季诺维也夫	jinuoweiyefu
季米特洛夫	jimiteluofu
板垣征四郎	banyuanzhengsilang
希伯来王国	xibolaiwangguo
马拉松战役	malasongzhanyi
罗马共和国	luomagongheguo
巴高达运动	bagaodayundong
民族大迁徙	minzudaqianxi
查理曼帝国	chalimandiguo
凡尔登条约	fanerdengtiaoyue
十字军东侵	shizijundongqin
英国大宪章	yingguodaxianzhang
扎克雷起义	zhakeleiqiyi
阿拉伯帝国	alabodiguo
蒙古人西征	menggurenxizheng
莫斯科公国	mosikegongguo
葡萄牙殖民	putaoyazhimin
西班牙殖民	xibanyazhimin
胡格诺战争	hugenuozhanzheng
尼德兰革命	nidelangeming
三十年战争	sanshinianzhanzheng
掘土派运动	juetupaiyundong
瓦尔密战役	waermizhanyi
雅各宾专政	yagebinzhuanzheng
滑铁卢战役	huatieluzhanyi
克里木战争	kelimuzhanzheng
美国民主党	meiguominzhudang
美国共和党	meiguogonghedang
爱姆斯急电	aimusijidian
巴拿马丑闻	banamachouwen
印度国大党	yinduguodadang
流血星期日	liuxuexingqiri
东学道起义	dongxuedaoqiyi
马恩河会战	maenhehuizhan
凡尔登战役	fanerdengzhanyi
索姆河战役	suomuhezhanyi
巴多利决议	baduolijueyi
基马尔革命	jimaergeming
色佛尔和约	sefoerheyue
里夫共和国	lifugongheguo
凡尔赛和约	fanersaiheyue
华盛顿会议	huashengdunhuiyi
洛迦诺公约	luojianuogongyue
罗斯福新政	luosifuxinzheng
国会纵火案	guohuizonghuoan
五一五事件	wuyiwushijian
二二六事件	ererliushijian
西班牙内战	xibanyaneizhan
苏台德事件	sutaideshijian
慕尼黑协定	muniheixieding
莫斯科会战	mosikehuizhan
珍珠港事件	zhenzhugangshijian
太平洋战争	taipingyangzhanzheng
西西里登陆	xixilidenglu
诺曼底登陆	nuomandidenglu
德黑兰会议	deheilanhuiyi
雅尔塔会议	yaertahuiyi
波茨坦会议	bocitanhuiyi
纽伦堡审判	niulunbaoshenpan
马赫迪起义	mahediqiyi
哈拉巴文化	halabawenhua
战争策源地	zhanzhengceyuandi
马基雅维利	majiyaweili
伊本巴图塔	yibenbatuta
伯罗奔尼撒	boluobennisa
波斯鱼鳞阵	bosiyulinzhen
本尼迪克特	bennidikete
十一抽杀令	shiyichoushaling
铁列平改革	tieliepinggaige
卡叠石之战	kadieshizhizhan
高墨达暴动	gaomodabaodong
食菜事魔教	shicaishimojiao
摩诃婆罗多	mohepoluoduo
来库古改革	laikugugaige
温泉关战役	wenquanguanzhanyi
血战温泉关	xuezhanwenquanguan
萨拉米海战	salamihaizhan
马其顿方阵	maqidunfangzhen
斯多葛学派	siduogexuepai
科林斯会议	kelinsihuiyi
玫瑰园敕令	meiguiyuanchiling
伊姆荷太普	yimuhetaipu
伊姆霍特普	yimuhuotepu
羽蛇金字塔	yushejinzita
阿维农之囚	aweinongzhiqiu
巴比伦之囚	babilunzhiqiu
卡诺萨觐见	kanuosajinjian
末日审判书	morishenpanshu
自由大宪章	ziyoudaxianzhang
第四点计划	disidianjihua
珍宝岛事件	zhenbaodaoshijian
海兰泡惨案	hailanpaocanan
波兹南事件	bozinanshijian
蒙巴顿方案	mengbadunfangan
奠边府战役	dianbianfuzhanyi
旧金山体制	jiujinshantizhi
希波克拉底	xibokeladi
雅尔塔体制	yaertatizhi
哈德良长城	hadeliangchangcheng
克孜尔石窟	keziershiku
海兽葡萄镜	haishouputaojing
武官村大墓	wuguancundamu
马王堆汉墓	mawangduihanmu
塞尔维乌斯	saierweiwusi
十二铜表法	shiertongbiaofa
埃帕米农达	aipaminongda
摩亨佐达罗	mohengzuodaluo
欧麦尔一世	oumaieryishi
乌尔班二世	wuerbanershi
苏莱曼大帝	sulaimandadi
腓特烈大帝	feiteliedadi
沙普尔二世	shapuerershi
加洛林王朝	jialuolinwangchao
梅什科一世	meishenkeyishi
阿拔斯一世	abasiyishi
克努特大帝	kenutedadi
关之原会战	guanzhiyuanhuizhan
本能寺之变	bennengsizhibian
蛤御门之变	geyumenzhibian
弥生式陶器	mishengshitaoqi
东西本愿寺	dongxibenyuansi
领事裁判权	lingshicaipanquan
京师大学堂	jingshidaxuetang
督办政务处	dubanzhengwuchu
点石斋画报	dianshizhaihuabao
相地而衰征	xiangdiershuaizheng
限田限奴议	xiantianxiannuyi
博学鸿词科	boxuehongcike
十七史商榷	shiqishishangque
戡乱总动员	kanluanzongdongyuan
省港大罢工	shenggangdabagong
豫湘桂战役	yuxiangguizhanyi
整理党务案	zhenglidangwuan
缅甸远征军	miandianyuanzhengjun
仁安羌战役	renanqiangzhanyi
仁安羌大捷	renanqiangdajie
狄克西使团	dikexishituan
包瑞德上校	baoruideshangxiao
戴季陶主义	daijitaozhuyi
广田三原则	guangtiansanyuanze
麦卡瑟船长	maikasechuanzhang
汉穆拉比法典	hanmulabifadian
琐罗亚斯特教	suoluoyasitejiao
罗马古城庞贝	luomaguchengpangbei
西欧封建庄园	xioufengjianzhuangyuan
英国权力法案	yingguoquanlifaan
英国皇家学会	yingguohuangjiaxuehui
雅各宾俱乐部	yagebinjulebu
大陆封锁政策	dalufengsuozhengce
苏黎世三人团	sulishisanrentuan
爱尔福特纲领	aierfutegangling
解放黑奴宣言	jiefangheinuxuanyan
美孚石油公司	meifushiyougongsi
俄国斯拉夫派	eguosilafupai
战时共产主义	zhanshigongchanzhuyi
托洛茨基主义	tuoluocijizhuyi
犹太复国主义	youtaifuguozhuyi
莱茵非武装区	laiyinfeiwuzhuangqu
法国人民阵线	faguorenminzhenxian
美国八大财团	meiguobadacaituan
大东亚共荣圈	dadongyagongrongquan
联合国家宣言	lianheguojiaxuanyan
奥得尼斯河线	aodenisihexian
图特摩斯三世	tutemosisanshi
伊丽莎白女王	yilishabainvwang
托马斯闵采尔	tuomasimincaier
弗朗西斯培根	fulangxisipeigen
托马斯阿奎那	tuomasiakuina
列夫托尔斯泰	liefutuoersitai
拿破仑波拿巴	napolunbonaba
杜桑卢维杜尔	dusangluweiduer
穆罕默德阿里	muhanmodeali
斯维尔德洛夫	siweierdeluofu
伍德罗威尔逊	wudeluoweierxun
古巴比伦王国	gubabilunwangguo
马其顿的兴起	maqidundexingqi
亚历山大东征	yalishandadongzheng
斯巴达克起义	sibadakeqiyi
恺撒军事独裁	kaisajunshiducai
神圣罗马帝国	shenshengluomadiguo
威尼斯共和国	weinisigongheguo
英法百年战争	yingfabainianzhanzheng
朝鲜三国时代	chaoxiansanguoshidai
新罗统一朝鲜	xinluotongyichaoxian
德国宗教改革	deguozongjiaogaige
壬辰卫国战争	renchenweiguozhanzheng
罗曼诺夫王朝	luomannuofuwangchao
新航路的开辟	xinhangludekaipi
德国农民战争	deguonongminzhanzheng
瓦特泰勒起义	watetaileqiyi
斯图亚特王朝	situyatewangchao
普加乔夫起义	pujiaqiaofuqiyi
三次瓜分波兰	sanciguafenbolan
美国独立战争	meiguodulizhanzheng
法国三级会议	faguosanjihuiyi
里昂工人起义	lianggongrenqiyi
法国二月革命	faguoeryuegeming
巴黎六月起义	baliliuyueqiyi
美国废奴运动	meiguofeinuyundong
巴布教徒起义	babujiaotuqiyi
德雷福斯案件	deleifusianjian
澳大利亚联邦	aodaliyalianbang
萨拉热窝事件	salarewoshijian
俄国二月革命	eguoeryuegeming
斯巴达克同盟	sibadaketongmeng
汉堡工人起义	hanbaogongrenqiyi
朝鲜三一运动	chaoxiansanyiyundong
英埃同盟条约	yingaitongmengtiaoyue
国际裁军会议	guojicaijunhuiyi
英德海军协定	yingdehaijunxieding
政友会民政党	zhengyouhuiminzhengdang
敦刻尔克撤退	dunkeerkechetui
日苏中立条约	risuzhonglitiaoyue
苏联卫国战争	sulianweiguozhanzheng
法国抵抗运动	faguodikangyundong
甘地欧文协定	gandiouwenxieding
琐罗亚斯德教	suoluoyasidejiao
四百人议事会	sibairenyishihui
莫洛托夫计划	moluotuofujihua
华沙条约组织	huashatiaoyuezuzhi
七十七国集团	qishiqiguojituan
萨拉托加大捷	salatuojiadajie
阿亚库巧战役	ayakuqiaozhanyi
百年翻译运动	bainianfanyiyundong
三角缘神兽镜	sanjiaoyuanshenshoujing
利奥波德二世	liaobodeershi
鸟羽伏见之战	niaoyufujianzhizhan
天朝田亩制度	tianchaotianmuzhidu
华俄道胜银行	huaedaoshengyinhang
筹办夷务始末	choubanyiwushimo
清季外交史料	qingjiwaijiaoshiliao
光绪朝东华录	guangxuchaodonghualu
提刑按察使司	tixinganchashisi
承宣布政使司	chengxuanbuzhengshisi
资本主义萌芽	zibenzhuyimengya
老种经略相公	laozhongjingluexianggong
小种经略相公	xiaozhongjingluexianggong
英国东印度公司	yingguodongyindugongsi
共产主义者同盟	gongchanzhuyizhetongmeng
五一国际劳动节	wuyiguojilaodongjie
大日本帝国宪法	daribendiguoxianfa
欧洲战争策源地	ouzhouzhanzhengceyuandi
远东战争策源地	yuandongzhanzhengceyuandi
朝鲜人民革命军	chaoxianrenmingemingjun
尼布甲尼撒二世	nibujianisaershi
叶卡特琳娜二世	yekatelinnaershi
车尔尼雪夫斯基	cheernixuefusiji
威廉李卜克内西	weilianlibukeneixi
卡尔李卜克内西	kaerlibukeneixi
富兰克林罗斯福	fulankelinluosifu
波斯帝国的兴起	bosidiguodexingqi
希腊大殖民运动	xiladazhiminyundong
雅典国家的形成	yadianguojiadexingcheng
伯罗奔尼撒战争	boluobennisazhanzheng
西西里奴隶起义	xixilinuliqiyi
格拉古兄弟改革	gelaguxiongdigaige
屋大维元首政治	wudaweiyuanshouzhengzhi
阿哥尼斯特运动	agenisiteyundong
罗马帝国的分裂	luomadiguodefenlie
东西教会的分裂	dongxijiaohuidefenlie
佛罗伦萨共和国	foluolunsagongheguo
俄国吞并乌克兰	eguotunbingwukelan
麦哲伦环球航行	maizhelunhuanqiuhangxing
无敌舰队的覆灭	wudijianduidefumie
波士顿倾茶事件	boshidunqingchashijian
第一届大陆会议	diyijiedaluhuiyi
雾月十八日政变	wuyueshibarizhengbian
阿根廷独立运动	agentingduliyundong
法兰西第二帝国	falanxidierdiguo
普鲁士三月革命	pulushisanyuegeming
十二月党人起义	shieryuedangrenqiyi
俄国废除农奴制	eguofeichunongnuzhi
印度民族大起义	yinduminzudaqiyi
德国社会民主党	deguoshehuiminzhudang
俄国立宪民主党	eguolixianminzhudang
马赫迪反英起义	mahedifanyingqiyi
爱尔兰独立运动	aierlanduliyundong
俄国社会革命党	eguoshehuigemingdang
斯达汉诺夫运动	sidahannuofuyundong
德国十一月革命	deguoshiyiyuegeming
德意志第三帝国	deyizhidisandiguo
英法苏三国谈判	yingfasusanguotanpan
斯大林格勒会战	sidalingelehuizhan
白里安凯洛公约	bailiankailuogongyue
伯罗奔尼撒同盟	boluobennisatongmeng
沃姆斯宗教协定	womusizongjiaoxieding
君士坦丁的赠与	junshitandingdezengyu
塞尔维乌斯改革	saierweiwusigaige
片面最惠国待遇	pianmianzuihuiguodaiyu
同中书门下三品	tongzhongshumenxiasanpin
马王堆汉墓帛书	mawangduihanmuboshu
问题与主义之争	wentiyuzhuyizhizheng
俄国帝国主义特点	eguodiguozhuyitedian
阿芙乐尔号巡洋舰	afuleerhaoxunyangjian
农产品义务交售制	nongchanpinyiwujiaoshouzhi
社会主义工人国际	shehuizhuyigongrenguoji
国际反法西斯同盟	guojifanfaxisitongmeng
凡尔赛华盛顿体系	fanersaihuashengduntixi
四个亚非文明古国	sigeyafeiwenmingguguo
西罗马帝国的灭亡	xiluomadiguodemiewang
法兰克王国的兴起	falankewangguodexingqi
英吉利王国的建立	yingjiliwangguodejianli
君士坦丁堡的陷落	junshitandingbaodexianluo
西里西亚织工起义	xilixiyazhigongqiyi
法兰西第二共和国	falanxidiergongheguo
法兰西第三共和国	falanxidisangongheguo
美国社会主义工党	meiguoshehuizhuyigongdang
斯托雷平土地改革	situoleipingtudigaige
匈牙利社会主义党	xiongyalishehuizhuyidang
非暴力不合作运动	feibaolibuhezuoyundong
苏德互不侵犯条约	sudehubuqinfantiaoyue
谢尔曼反托拉斯法	xieermanfantuolasifa
大明宫含元殿遗址	daminggonghanyuandianyizhi
四一二反革命政变	siyierfangemingzhengbian
七一五反革命政变	qiyiwufangemingzhengbian
俄罗斯帝国法令全集	eluosidiguofalingquanji
共产主义义务星期六	gongchanzhuyiyiwuxingqiliu
苏美尔人的城市国家	sumeierrendechengshiguojia
亚历山大帝国的分裂	yalishandadiguodefenlie
日耳曼诸王国的建立	riermanzhuwangguodejianli
科伦共产党人审判案	kelungongchandangrenshenpanan
美国第二次独立战争	meiguodiercidulizhanzheng
巴基斯坦穆斯林联盟	bajisitanmusilinlianmeng
十月全俄政治总罢工	shiyuequanezhengzhizongbagong
俄国十二月武装起义	eguoshieryuewuzhuangqiyi
墨西哥资产阶级革命	moxigezichanjiejigeming
德国独立社会民主党	deguodulishehuiminzhudang
匈牙利苏维埃共和国	xiongyalisuweiaigongheguo
意大利占领工厂运动	yidalizhanlinggongchangyundong
义安河静苏维埃运动	yianhejingsuweiaiyundong
解放黑人奴隶的宣言	jiefangheirennulidexuanyan
爱因斯坦	aiyinsitan
巴伐利亚苏维埃共和国	bafaliyasuweiaigongheguo
彼得格勒十月武装起义	bidegeleshiyuewuzhuangqiyi
独立国家联合体协议议定书	duliguojialianhetixieyiyidingshu
多研究些问题少谈些主义	duoyanjiuxiewentishaotanxiezhuyi
遏制战略	ezhizhanlue
法兰西第三共和国宪法	falanxidisangongheguoxianfa
反法西斯人民阵线运动	fanfaxisirenminzhenxianyundong
甘蒲闍	ganpudu
工人阶级解放斗争协会	gongrenjiejijiefangdouzhengxiehui
古埃及统一王国的建立	guaijitongyiwangguodejianli
健驮罗	jiantuoluo
近卫文麿	jinweiwenmi
农业发展的美国式道路	nongyefazhandemeiguoshidaolu
农业发展的普鲁士式道路	nongyefazhandepulushishidaolu
苏联农业全盘集体化运动	suliannongyequanpanjitihuayundong
苏联社会主义工业化方针	sulianshehuizhuyigongyehuafangzhen
苏联最高苏维埃共和国院	sulianzuigaosuweiaigongheguoyuan
苏维埃社会主义共和国联盟	suweiaishehuizhuyigongheguolianmeng
印第安人三大文化中心	yindianrensandawenhuazhongxin
战略地位	zhanluediwei
中美友好通商航海条约	zhongmeiyouhaotongshanghanghaitiaoyue
