阿巴斯港	abasigang
多星定位	duoxingdingwei
惰性化	duoxinghua
惰性气体系统	duoxingqitixitong
惰性增压	duoxingzengya
惰性状态	duoxingzhuangtai
舵压力	duoyali
舵压力中心	duoyalizhongxin
舵叶	duoye
多叶舵	duoyeduo
舵叶尾材	duoyeweicai
多用途货船	duoyongtuhuochuan
舵展弦比	duozhanxianbi
多支承舵	duozhichengduo
舵轴	duozhou
舵轴舵	duozhouduo
多轴系	duozhouxi
舵柱	duozhu
惰走曲线	duozouquxian
舵作用	duozuoyong
轭架	ejia
恩塞纳达	ensainada
二次配电系统	ercipeidianxitong
二副	erfu
二副室	erfushi
二管轮	erguanlun
二管轮室	erguanlunshi
饵料柜	erliaogui
二氧化碳室	eryanghuatanshi
发电机屏	fadianjiping
法定检验	fadingjianyan
发动机加速	fadongjijiasu
法兰西堡	falanxibao
阀面研磨	famianyanmo
发射换能器	fashehuannengqi
反馈	fankui
反馈装置	fankuizhuangzhi
反射舵	fansheduo
反向横距	fanxianghengju
反应堆舱	fanyingduicang
反应舵	fanyingduo
反应推进器	fanyingtuijinqi
反转试验	fanzhuanshiyan
方便旗	fangbianqi
方便旗船	fangbianqichuan
防冰系统	fangbingxitong
防沉板	fangchenban
防喘系统	fangchuanxitong
方窗	fangchuang
防火舱壁	fanghuocangbi
防火分隔	fanghuofenge
防火风门	fanghuofengmen
防火风闸	fanghuofengzha
防浪阀	fanglangfa
方龙骨	fanglonggu
放弃货载	fangqihuozai
放气系统	fangqixitong
防倾肘板	fangqingzhouban
防蚀	fangshi
防蚀设计	fangshisheji
防鼠档	fangshudang
防水盖布	fangshuigaibu
放艇安全索	fangtinganquansuo
方艉	fangwei
方艉端面	fangweiduanmian
方艉浸宽	fangweijinkuan
方艉浸深	fangweijinshen
防污	fangwu
防污涂料	fangwutuliao
防险救生船	fangxianjiushengchuan
方向谱	fangxiangpu
方向稳定性	fangxiangwendingxing
方形系数	fangxingxishu
防锈涂料	fangxiutuliao
防震耳罩	fangzhenerzhao
防撞舱壁	fangzhuangcangbi
防撞装置	fangzhuangzhuangzhi
飞车	feiche
费尔索夫图谱	feiersuofutupu
非法排放	feifapaifang
非机动船	feijidongchuan
飞溅区	feijianqu
飞溅区腐蚀	feijianqufushi
飞溅阻力	feijianzuli
费拉德国尔菲亚	feiladeguoerfeiya
费利克斯托	feilikesituo
菲利普斯岛	feilipusidao
非水密舱壁	feishuimicangbi
非水密门	feishuimimen
腓特烈斯塔	feiteliesita
腓特烈西亚	feiteliexiya
非危险区域	feiweixianquyu
非约束管道	feiyueshuguandao
飞重	feizhong
粪便泵	fenbianbeng
粪便管	fenbianguan
分舱吃水	fencangchishui
分舱因数	fencangyinshu
分舱载重线	fencangzaizhongxian
分段建造法	fenduanjianzaofa
分段拼模试验	fenduanpinmoshiyan
分段装配	fenduanzhuangpei
分级卸载	fenjixiezai
分励脱扣	fenlituokou
分罗经	fenluojing
分泥板	fenniban
分水机	fenshuiji
分体式浮船坞	fentishifuchuanwu
分油工况	fenyougongkuang
分油机	fenyouji
分杂机	fenzaji
风暴扶手	fengbaofushou
风暴钩	fengbaogou
封舱胶布	fengcangjiaobu
封舱锁条	fengcangsuotiao
封舱楔	fengcangxie
封舱楔耳	fengcangxieer
封舱压条	fengcangyatiao
封舱装置	fengcangzhuangzhi
风帆助航推进	fengfanzhuhangtuijin
风加速度	fengjiasudu
风力增强	fenglizengqiang
丰桥	fengqiao
封水环	fengshuihuan
封水块	fengshuikuai
风速风向仪	fengsufengxiangyi
峰隙	fengxi
缝隙腐蚀	fengxifushi
风向灯	fengxiangdeng
风压倾斜力矩	fengyaqingxieliju
风雨密门	fengyumimen
风雨密性	fengyumixing
风载荷	fengzaihe
佛纳	fona
覆板	fuban
浮标系统绞车	fubiaoxitongjiaoche
覆材甲板	fucaijiaban
辅柴油机	fuchaiyouji
浮船坞	fuchuanwu
浮船坞飞桥	fuchuanwufeiqiao
浮船坞举力	fuchuanwujuli
浮船坞挠度	fuchuanwunaodu
浮船坞配载	fuchuanwupeizai
浮船坞试验	fuchuanwushiyan
浮船坞支墩	fuchuanwuzhidun
浮船坞总长	fuchuanwuzongchang
辅给水系统	fugeishuixitong
副钩起重量	fugouqizhongliang
辅机	fuji
副机	fuji
付机海水泵	fujihaishuibeng
辅机基座	fujijizuo
负加速度	fujiasudu
附加质量	fujiazhiliang
辅空气瓶	fukongqiping
符拉迪沃斯托克	fuladiwosituoke
弗里波特	fulibote
浮力舱	fulicang
弗里敦	fulidun
弗里曼特尔	fulimanteer
浮力曲线	fuliquxian
浮力升船机	fulishengchuanji
浮力调节系统	fulitiaojiexitong
浮锚	fumao
辅汽轮机	fuqilunji
辅汽轮机组	fuqilunjizu
辅燃气轮机	furanqilunji
辅燃气轮机组	furanqilunjizu
釜山	fushan
辐射发射	fushefashe
辐射干扰	fusheganrao
辐射敏感度	fushemingandu
辐射危害	fusheweihai
辐射吸收	fushexishou
腐蚀	fushi
腐蚀电池	fushidianchi
腐蚀电流	fushidianliu
腐蚀电位	fushidianwei
腐蚀疲劳	fushipilao
腐蚀深度	fushishendu
浮式生产系统	fushishengchanxitong
腐蚀裕量	fushiyuliang
福斯	fusi
福塔莱萨	futalaisa
副台	futai
浮态	futai
浮体	futi
附体阻力	futizuli
浮筒绞车	futongjiaoche
复位	fuwei
复位动作	fuweidongzuo
浮坞	fuwu
服务航速	fuwuhangsu
浮坞起重机	fuwuqizhongji
浮箱	fuxiang
复向期	fuxiangqi
浮箱式浮船坞	fuxiangshifuchuanwu
浮箱式坞门	fuxiangshiwumen
浮心	fuxin
浮性	fuxing
浮油回收船	fuyouhuishouchuan
浮油回收装置	fuyouhuishouzhuangzhi
浮游生物吊杆	fuyoushengwudiaogan
复原力臂	fuyuanlibi
复原力矩	fuyuanliju
扶正分析	fuzhengfenxi
扶正能力	fuzhengnengli
辅蒸汽系统	fuzhengqixitong
扶正注水	fuzhengzhushui
辅助操舵装置	fuzhucaoduozhuangzhi
辅助舰船	fuzhujianchuan
辅助水柜	fuzhushuigui
辅助阳极	fuzhuyangji
辅助阳极材料	fuzhuyangjicailiao
改变航向到	gaibianhangxiangdao
盖布泽	gaibuze
盖面焊	gaimianhan
盖姆利克	gaimulike
干舱	gancang
干船坞	ganchuanwu
干货船	ganhuochuan
干罗经	ganluojing
干扰力	ganraoli
干湿温度计	ganshiwenduji
感温探头	ganwentantou
干舷	ganxian
干线导管	ganxiandaoguan
干线放线机	ganxianfangxianji
干舷甲板	ganxianjiaban
干线理线机	ganxianlixianji
干线起线机	ganxianqixianji
感烟探头	ganyantantou
赶油工况	ganyougongkuang
钢材预处理	gangcaiyuchuli
钢船	gangchuan
港口惯例	gangkouguanli
港口航道与海岸工程	gangkouhangdaoyuhaiangongcheng
港口容纳量	gangkourongnaliang
港口设备	gangkoushebei
钢丝夹	gangsijia
钢丝紧索夹	gangsijinsuojia
钢丝切断	gangsiqieduan
钢丝网门	gangsiwangmen
钢丝油	gangsiyou
缸套水系统	gangtaoshuixitong
港调	gangtiao
港务船	gangwuchuan
刚性构件	gangxinggoujian
刚性救生筏	gangxingjiushengfa
刚性轴系	gangxingzhouxi
钢质工程	gangzhigongcheng
高度差法	gaoduchafa
高度视差	gaodushicha
高级船员舱	gaojichuanyuancang
高肋板	gaoleiban
高速喷头	gaosupentou
高位通海阀	gaoweitonghaifa
高性能船	gaoxingnengchuan
高压空气瓶	gaoyakongqiping
高压空气系统	gaoyakongqixitong
高压水冲洗	gaoyashuichongxi
高压水清洗	gaoyashuiqingxi
高压无气喷涂	gaoyawuqipentu
隔爆篷顶灯	gebaopengdingdeng
哥本哈根	gebenhagen
隔舱填料函	gecangtianliaohan
格但斯克	gedansike
哥德堡	gedebao
格丁尼亚	gedingniya
搁墩负荷	gedunfuhe
格拉斯哥	gelasige
格兰粉	gelanfen
隔离管	geliguan
哥伦布	gelunbu
格栅滤器	geshanlvqi
隔水管张力器	geshuiguanzhangliqi
隔水套管	geshuitaoguan
隔水套管构架	geshuitaoguangoujia
铬酸盐处理	gesuanyanchuli
戈特霍布	getehuobu
格网北	gewangbei
格网航向	gewanghangxiang
格网艏向	gewangshouxiang
格子线	gezixian
给水加热器	geishuijiareqi
给水软化装置	geishuiruanhuazhuangzhi
根厚	genhou
根涡	genwo
更换水泥	genghuanshuini
工程船	gongchengchuan
共电式电话机	gongdianshidianhuaji
功率电源	gonglvdianyuan
功率换算	gonglvhuansuan
功率载荷系数	gonglvzaihexishu
供应船	gongyingchuan
工作艇	gongzuoting
毂长	guchang
固定锚	gudingmao
固定式平台	gudingshipingtai
固定载荷	gudingzaihe
骨架	gujia
古晋	gujin
毂径	gujing
毂径比	gujingbi
固井船	gujingchuan
鼓轮式布缆机	gulunshibulanji
毂帽	gumao
固体浮力材料	gutifulicailiao
固艇索具	gutingsuoju
故障	guzhang
故障安全	guzhanganquan
瓜达拉哈拉	guadalahala
挂舵臂	guaduobi
瓜亚基尔	guayajier
瓜伊马斯	guayimasi
冠板	guanban
关闭	guanbi
关丹	guandan
管道标志	guandaobiaozhi
管道封头	guandaofengtou
管道接岸段	guandaojieanduan
管道末端管汇	guandaomoduanguanhui
管道疏通机	guandaoshutongji
管段连接	guanduanlianjie
管结点	guanjiedian
贯通肘板	guantongzhouban
管系放样	guanxifangyang
惯性导航	guanxingdaohang
惯性导航系统	guanxingdaohangxitong
惯性空间	guanxingkongjian
管形支柱	guanxingzhizhu
管子预装	guanziyuzhuang
广船国际	guangchuanguoji
广岛	guangdao
光化性	guanghuaxing
光能测定仪	guangnengcedingyi
光线强度计	guangxianqiangduji
光学测距仪	guangxuecejuyi
光学方位仪	guangxuefangweiyi
光学天文导航	guangxuetianwendaohang
光阳	guangyang
广州黄埔	guangzhouhuangpu
柜床	guichuang
规则波	guizebo
规则波中试验	guizebozhongshiyan
滚动式舱口盖	gundongshicangkougai
滚翻式舱口盖	gunfanshicangkougai
滚卷式舱口盖	gunjuanshicangkougai
滚轮导缆器	gunlundaolanqi
滚轮绞机	gunlunjiaoji
滚轮装置	gunlunzhuangzhi
滚筒柄	guntongbing
滚筒漆刷芯	guntongqishuaxin
滚筒芯	guntongxin
滚柱导缆器	gunzhudaolanqi
滚装船	gunzhuangchuan
滚装通道设备	gunzhuangtongdaoshebei
过渡舱	guoducang
过荷传感器	guohechuanganqi
国际吨位证书	guojidunweizhengshu
国际海上拖航	guojihaishangtuohang
国际海事委员会	guojihaishiweiyuanhui
国际海事组织	guojihaishizuzhi
国际海运危险货物规则	guojihaiyunweixianhuowuguize
国际航运业务管理	guojihangyunyewuguanli
国际通岸接头	guojitonganjietou
锅炉安全阀	guoluanquanfa
锅炉舱	guolucang
锅炉底座定位	guoludizuodingwei
锅炉管孔堵焊	guoluguankongduhan
锅炉排污系统	guolupaiwuxitong
锅炉燃油泵	guoluranyoubeng
锅炉燃油系统	guoluranyouxitong
锅炉日用油柜	guoluriyongyougui
锅炉水舱	guolushuicang
锅炉水酸性	guolushuisuanxing
锅炉水压试验	guolushuiyashiyan
锅炉座	guoluzuo
锅筒定位	guotongdingwei
哈尔姆斯塔德	haermusitade
哈科特港	haketegang
哈瓦那	hawana
海船	haichuan
海底冲刷	haidichongshua
海底阀箱	haidifaxiang
海底格栅	haidigeshan
海底管道	haidiguandao
海底管道系统	haidiguandaoxitong
海底爬行机	haidipaxingji
海东造船厂	haidongzaochuanchang
海法	haifa
海防	haifang
海军系数	haijunxishu
海流载荷	hailiuzaihe
海泥区腐蚀	hainiqufushi
海事局	haishiju
海水泵	haishuibeng
海水淡化装置	haishuidanhuazhuangzhi
海水滤器	haishuilvqi
海水系统	haishuixitong
海水压力柜	haishuiyaligui
海水蒸馏装置	haishuizhengliuzhuangzhi
海损载荷	haisunzaihe
海图灯	haitudeng
海图室	haitushi
海图桌	haituzhuo
海峡渡船	haixiaduchuan
海洋大气腐蚀	haiyangdaqifushi
海洋调查船	haiyangdiaochachuan
海洋腐蚀	haiyangfushi
海洋平台	haiyangpingtai
氦氧潜水电话	haiyangqianshuidianhua
海运单	haiyundan
汉堡	hanbao
汉堡规则	hanbaoguize
汉堡海关灯	hanbaohaiguandeng
焊缝成形	hanfengchengxing
焊缝余高	hanfengyugao
焊缝正面	hanfengzhengmian
焊合线	hanhexian
焊剂漏斗	hanjiloudou
焊脚	hanjiao
焊脚长度	hanjiaochangdu
焊接变位机	hanjiebianweiji
焊接操作	hanjiecaozuo
焊接衬垫	hanjiechendian
焊接船体结构	hanjiechuantijiegou
焊接窗	hanjiechuang
焊接工艺	hanjiegongyi
焊接工作台	hanjiegongzuotai
焊接锚链钢	hanjiemaoliangang
焊接速度	hanjiesudu
焊接性试验	hanjiexingshiyan
焊区腐蚀	hanqufushi
焊丝间距	hansijianju
焊丝盘	hansipan
焊趾裂纹	hanzhiliewen
航标舱	hangbiaocang
航标船	hangbiaochuan
航标起重机	hangbiaoqizhongji
航标失常	hangbiaoshichang
航次期租	hangciqizu
航次租船	hangcizuchuan
航道	hangdao
航海技术	hanghaijishu
航海性能	hanghaixingneng
航迹	hangji
航迹角	hangjijiao
航速	hangsu
航速试验	hangsushiyan
航位推算法	hangweituisuanfa
航向	hangxiang
航向保持性	hangxiangbaochixing
航向改变试验	hangxianggaibianshiyan
航行补给船	hangxingbujichuan
航行灯	hangxingdeng
航行灯控制器	hangxingdengkongzhiqi
航行监控台	hangxingjiankongtai
航行距离	hangxingjuli
航行试验	hangxingshiyan
航行信号设备	hangxingxinhaoshebei
航运管理	hangyunguanli
杭州东风	hangzhoudongfeng
号灯	haodeng
号笛控制装置	haodikongzhizhuangzhi
号笛信号灯	haodixinhaodeng
豪尔费坎	haoerfeikan
号旗	haoqi
浩友船厂	haoyouchuanchang
号钟	haozhong
核动力船	hedonglichuan
核动力装置	hedonglizhuangzhi
赫尔辛基	heerxinji
核潜艇	heqianting
荷台达	hetaida
合象式测距仪	hexiangshicejuyi
黑德兰港	heidelangang
黑角	heijiao
横滨	hengbin
桁材	hengcai
横舱壁	hengcangbi
横荡	hengdang
横电磁波室	hengdianciboshi
恒电流	hengdianliu
恒电位仪	hengdianweiyi
横舵柄	hengduobing
横骨架式	henggujiashi
横焊	henghan
横桁	hengheng
桁架桅	hengjiawei
横距	hengju
横框架肋骨	hengkuangjialeigu
横浪	henglang
横裂纹	hengliewen
横漂	hengpiao
横剖面	hengpoumian
横剖线	hengpouxian
横倾	hengqing
横倾角	hengqingjiao
横倾力矩	hengqingliju
横倾平衡泵	hengqingpinghengbeng
横甩	hengshuai
恒温计	hengwenji
横稳心	hengwenxin
横稳性	hengwenxing
横向堆列	hengxiangduilie
横向滑道	hengxianghuadao
横向拉伸	hengxianglashen
横向强度	hengxiangqiangdu
横向梳式滑道	hengxiangshushihuadao
横向下水	hengxiangxiashui
横摇	hengyao
横摇角	hengyaojiao
横摇扭矩	hengyaoniuju
横摇衰减曲线	hengyaoshuaijianquxian
横摇阻尼	hengyaozuni
横移车	hengyiche
横移绞车	hengyijiaoche
横移坑	hengyikeng
横移区	hengyiqu
恒张力系统	hengzhanglixitong
横张索	hengzhangsuo
鸿寇船厂	hongkouchuanchang
后备断路器	houbeiduanluqi
后端壁	houduanbi
后热温度	hourewendu
后体	houti
后桅	houwei
后转式尾门	houzhuanshiweimen
沪东中华	hudongzhonghua
弧焊变压器	huhanbianyaqi
弧焊整流器	huhanzhengliuqi
护卫舰	huweijian
护卫艇	huweiting
护舷材	huxiancai
胡志明新港	huzhimingxingang
滑板	huaban
滑参数起动	huacanshuqidong
滑车	huache
滑道间距	huadaojianju
滑道门	huadaomen
滑道末端凹口	huadaomoduanaokou
滑道末端水深	huadaomoduanshuishen
滑道末端压力	huadaomoduanyali
滑道坡度	huadaopodu
滑道摇架	huadaoyaojia
滑道转盘	huadaozhuanpan
划桨救生艇	huajiangjiushengting
花蓝螺丝	hualanluosi
滑轮机构	hualunjigou
花铁板	huatieban
话筒	huatong
滑行艇	huaxingting
滑行艇底面积	huaxingtingdimianji
化学品船	huaxuepinchuan
滑油泵	huayoubeng
滑油舱	huayoucang
滑油沉淀柜	huayouchendiangui
滑油澄清舱	huayoudengqingcang|huayouchengqingcang
滑油储藏舱	huayouchucangcang
滑油分油机	huayoufenyouji
滑油加热器	huayoujiareqi
滑油间歇净化	huayoujianxiejinghua
滑油净化系统	huayoujinghuaxitong
滑油冷却器	huayoulengqueqi
滑油连续净化	huayoulianxujinghua
滑油输送泵	huayoushusongbeng
滑油污油舱	huayouwuyoucang
滑油系统	huayouxitong
滑油消耗率	huayouxiaohaolv
滑油泄放柜	huayouxiefanggui
滑油泄放系统	huayouxiefangxitong
滑油循环舱	huayouxunhuancang
滑油循环柜	huayouxunhuangui
滑油溢油舱	huayouyiyoucang
滑油油渣柜	huayouyouzhagui
滑油贮存柜	huayouzhucungui
化装台	huazhuangtai
环境设计衡准	huanjingshejihengzhun
环境载荷	huanjingzaihe
环境资料	huanjingziliao
环流加速度	huanliujiasudu
换向机构	huanxiangjigou
换向时间	huanxiangshijian
环形吸收体	huanxingxishouti
环照灯	huanzhaodeng
晃荡	huangdang
黄海船厂	huanghaichuanchang
回舵试验	huiduoshiyan
回声测深仪	huishengceshenyi
灰水	huishui
回油柜	huiyougui
回转横倾角	huizhuanhengqingjiao
回转迹线	huizhuanjixian
回转绞车	huizhuanjiaoche
回转区域	huizhuanquyu
回转区域半径	huizhuanquyubanjing
回转试验	huizhuanshiyan
回转速降	huizhuansujiang
回转突倾	huizhuantuqing
回转性	huizhuanxing
回转中心	huizhuanzhongxin
回转周期	huizhuanzhouqi
混合骨架式	hunhegujiashi
货舱	huocang
货舱盖	huocanggai
货舱工作灯	huocanggongzuodeng
货舱甲板	huocangjiaban
货舱口	huocangkou
货舱容积	huocangrongji
货船	huochuan
货船安全证书	huochuananquanzhengshu
活动板手	huodongbanshou
活动梯步	huodongtibu
霍尔迪亚	huoerdiya
火工矫正	huogongjiaozheng
火警复显器	huojingfuxianqi
火警检测箱	huojingjiancexiang
火炬平台	huojupingtai
活络钣	huoluoban
霍梅尼港	huomeinigang
火奴鲁鲁	huonululu
活塞裙	huosaiqun
活塞头	huosaitou
货物扭矩	huowuniuju
火星熄灭器	huoxingximieqi
火焰探头	huoyantantou
货油泵	huoyoubeng
货油舱	huoyoucang
货油阀	huoyoufa
货油控制室	huoyoukongzhishi
货油压载舱	huoyouyazaicang
吉布提	jibuti
机舱	jicang
机舱报警	jicangbaojing
机舱部分	jicangbufen
机舱布置	jicangbuzhi
机舱辅机	jicangfuji
机舱辅机组	jicangfujizu
机舱集控室	jicangjikongshi
机舱集控台	jicangjikongtai
机舱监测报警	jicangjiancebaojing
机舱棚	jicangpeng
机舱平台	jicangpingtai
机舱通风机	jicangtongfengji
机舱涂料	jicangtuliao
机舱自动化	jicangzidonghua
计程仪	jichengyi
计程仪舱	jichengyicang
基础台架	jichutaijia
吉达	jida
吉大港	jidagang
机电式报警器	jidianshibaojingqi
机动船	jidongchuan
机动救生艇	jidongjiushengting
吉恩吉恩	jienjien
基尔	jier
机帆船	jifanchuan
级分隔	jifenge
激光测速仪	jiguangcesuyi
机架定位	jijiadingwei
系紧螺栓	jijinluoshuan
机控室	jikongshi
集控台	jikongtai
吉朗	jilang
激流装置	jiliuzhuangzhi
基隆	jilong
基面	jimian
基盘式平台	jipanshipingtai
机器处所	jiqichusuo
极区船	jiquchuan
集输管道	jishuguandao
集输系统	jishuxitong
集输中心	jishuzhongxin
基斯马尤	jisimayou
计算剖面	jisuanpoumian
计算水头	jisuanshuitou
计算图式	jisuantushi
计算载荷	jisuanzaihe
计算状态	jisuanzhuangtai
机械除锈	jixiechuxiu
机械开沟法	jixiekaigoufa
机械调速器	jixietiaosuqi
机械噪声	jixiezaosheng
机械轴封	jixiezhoufeng
机修间	jixiujian
积载	jizai
积载因数	jizaiyinshu
激振机	jizhenji
激振试验	jizhenshiyan
机装	jizhuang
集装箱驳船	jizhuangxiangbochuan
集装箱舱	jizhuangxiangcang
集装箱船	jizhuangxiangchuan
基准方向	jizhunfangxiang
基准分段	jizhunfenduan
机座找平	jizuozhaoping
机座纵桁	jizuozongheng
甲板	jiaban
甲板板	jiabanban
甲板板架	jiabanbanjia
甲板边板	jiabanbianban
甲板边线	jiabanbianxian
甲板窗	jiabanchuang
甲板防滑涂料	jiabanfanghuatuliao
甲板敷料	jiabanfuliao
甲板高度	jiabangaodu
甲板横桁	jiabanhengheng
甲板货提单	jiabanhuotidan
甲板加压舱	jiabanjiayacang
甲板间舱	jiabanjiancang
甲板间舱壁	jiabanjiancangbi
甲板间肋骨	jiabanjianleigu
甲板克令吊	jiabankelingdiao
甲板剖面模数	jiabanpoumianmoshu
甲板设计载荷	jiabanshejizaihe
甲板室	jiabanshi
甲板水封	jiabanshuifeng
甲板梯	jiabanti
甲板通岸接头	jiabantonganjietou
甲板涂料	jiabantuliao
甲板下住舱	jiabanxiazhucang
甲板下纵桁	jiabanxiazongheng
甲板线	jiabanxian
甲板淹湿	jiabanyanshi
甲板中线	jiabanzhongxian
甲板纵骨	jiabanzonggu
甲板纵桁	jiabanzongheng
假舱壁	jiacangbi
加大链环	jiadalianhuan
加的夫	jiadefu
甲电池	jiadianchi
加尔各答	jiaergeda
假毂	jiagu
驾控台	jiakongtai
加莱角	jialaijiao
假模	jiamo
加拿大北美	jianadabeimei
加热作用	jiarezuoyong
驾驶甲板	jiashijiaban
驾驶室遥控	jiashishiyaokong
加速度表	jiasudubiao
加速度计	jiasuduji
加速段	jiasuduan
加速腐蚀试验	jiasufushishiyan
加速性能	jiasuxingneng
加速性能试验	jiasuxingnengshiyan
迦哇内卢	jiawaneilu
加重电路	jiazhongdianlu
尖舱肋骨	jiancangleigu
检测清管器	jianceqingguanqi
检测阈	jianceyu
检查	jiancha
坚持顶浪	jianchidinglang
间断构件	jianduangoujian
间隔斗链	jiangedoulian
减功系数	jiangongxishu
减机运转试验	jianjiyunzhuanshiyan
渐近稳定性	jianjinwendingxing
监控圈	jiankongquan
减扭震器	jianniuzhenqi
键盘	jianpan
减轻孔	jianqingkong
减压试验水池	jianyashiyanshuichi
减摇泵	jianyaobeng
减音材料	jianyincailiao
鲣鱼竿钓机	jianyugandiaoji
减震阀	jianzhenfa
减轴运转试验	jianzhouyunzhuanshiyan
江都船厂	jiangduchuanchang
桨毂	jianggu
桨毂空化	jianggukonghua
降落装置	jiangluozhuangzhi
江面坡度推力	jiangmianpodutuili
江面坡度阻力	jiangmianpoduzuli
桨叶	jiangye
交叉加速度	jiaochajiasudu
绞车	jiaoche
胶衬泥泵	jiaochennibeng
铰刀吊架	jiaodaodiaojia
铰刀架	jiaodaojia
铰刀修理平台	jiaodaoxiulipingtai
绞纲机组	jiaogangjizu
胶管张力器	jiaoguanzhangliqi
交换机	jiaohuanji
角接接头	jiaojiejietou
铰接柱	jiaojiezhu
绞缆绞车	jiaolanjiaoche
绞缆筒	jiaolantong
交流成份	jiaoliuchengfen
角磨机磨片	jiaomojimopian
绞盘	jiaopan
胶丝绳	jiaosisheng
交验项目	jiaoyanxiangmu
校正时	jiaozhengshi
绞制螺栓	jiaozhiluoshuan
杰贝阿里	jiebeiali
接触调整孔	jiechutiaozhengkong
接地	jiedi
节点温差	jiedianwencha
结构吃水	jiegouchishui
结构试验平台	jiegoushiyanpingtai
结构噪声	jiegouzaosheng
桀克逊维尔	jiekexunweier
接口界面	jiekoujiemian
接收换能器	jieshouhuannengqi
解算能力	jiesuannengli
接头根部	jietougenbu
近底拖法	jindituofa
襟舵角	jinduojiao
进风道	jinfengdao
紧急停车装置	jinjitingchezhuangzhi
紧急停船试验	jinjitingchuanshiyan
进角	jinjiao
进流段	jinliuduan
进气装置	jinqizhuangzhi
浸深	jinshen
浸深比	jinshenbi
金属覆盖层	jinshufugaiceng
金属扣合	jinshukouhe
金属喷镀	jinshupendu
金属热浸镀	jinshurejindu
金属吸收	jinshuxishou
浸水保温服	jinshuibaowenfu
进水角	jinshuijiao
金斯顿	jinsidun
金斯敦	jinsidun
进速	jinsu
进速比	jinsubi
进速系数	jinsuxishu
进坞	jinwu
进坞重量	jinwuzhongliang
近洋航区	jinyanghangqu
襟翼舵	jinyiduo
今治	jinzhi
静波浪剪力	jingbolangjianli
静波浪弯矩	jingbolangwanju
精度管理	jingduguanli
净吨	jingdun
净吨位	jingdunwei
境港	jinggang
静合成剪力	jinghechengjianli
静合成弯矩	jinghechengwanju
净化滑油柜	jinghuahuayougui
晶间裂纹	jingjianliewen
井口基盘	jingkoujipan
井口平台	jingkoupingtai
静水剪力	jingshuijianli
静水力曲线	jingshuiliquxian
静水弯矩	jingshuiwanju
鲸湾岛	jingwandao
静稳定性	jingwendingxing
静稳性	jingwenxing
静稳性曲线	jingwenxingquxian
净吸收	jingxishou
镜向灯	jingxiangdeng
纠航能力	jiuhangnengli
纠偏期	jiupianqi
救生凳	jiushengdeng
救生登乘梯	jiushengdengchengti
救生电台	jiushengdiantai
救生筏	jiushengfa
救生筏架	jiushengfajia
救生服	jiushengfu
救生浮	jiushengfu
救生甲板	jiushengjiaban
救生抛绳设备	jiushengpaoshengshebei
救生气瓶	jiushengqiping
救生圈	jiushengquan
救生裙	jiushengqun
救生设备	jiushengshebei
救生属具	jiushengshuju
救生索	jiushengsuo
救生艇	jiushengting
救生艇滑架	jiushengtinghuajia
救生衣	jiushengyi
救生衣灯	jiushengyideng
救生衣柜	jiushengyigui
救生钟	jiushengzhong
酒田	jiutian
救助泵	jiuzhubeng
救助艇	jiuzhuting
局部舱壁	jubucangbi
局部腐蚀	jubufushi
局部空泡	jubukongpao
局部强度	jubuqiangdu
局部强度试验	jubuqiangdushiyan
局部弯曲	jubuwanqu
局部振动	jubuzhendong
巨港	jugang
举升能力	jushengnengli
拘束船模试验	jushuchuanmushiyan
居住舱	juzhucang
居住舱室	juzhucangshi
卷纲机	juangangji
卷筒铺管驳	juantongpuguanbo
卷网机	juanwangji
绝对计程仪	jueduijichengyi
卡贝略	kabeilue
卡贝略港	kabeiluegang
卡宾达	kabinda
卡尔德拉港	kaerdelagang
卡基纳达	kajinada
卡拉奇	kalaqi
喀呖声	kalisheng
卡利亚里	kaliyali
卡姆登	kamudeng
卡萨布兰卡	kasabulanka
卡塔赫萨	katahesa
卡亚俄	kayae
开敞式救生艇	kaichangshijiushengting
开沟犁法	kaigoulifa
开环操纵性	kaihuancaozongxing
开口钣	kaikouban
开阔场地	kaikuochangdi
开普敦	kaipudun
开式给水系统	kaishigeishuixitong
开式炉舱通风	kaishilucangtongfeng
坎德拉	kandela
堪萨斯城	kansasicheng
抗滑稳定性	kanghuawendingxing
抗扭箱	kangniuxiang
抗倾稳定性	kangqingwendingxing
康斯坦察	kangsitancha
康斯坦萨	kangsitansa
抗谐鸣边	kangxiemingbian
拷铲	kaochan
靠舷	kaoxian
可变压载	kebianyazai
可变载荷	kebianzaihe
客舱	kecang
可操纵域	kecaozongyu
客船	kechuan
客船安全证书	kechuananquanzhengshu
可倒桅	kedaowei
科尔特斯港	keertesigang
可翻转救生筏	kefanzhuanjiushengfa
可浮救生索	kefujiushengsuo
客货船	kehuochuan
可浸长度	kejinchangdu
科克都	kekedou
科林托	kelintuo
克令吊筒体	kelingdiaotongti
科隆	kelong
科伦坡	kelunpo
可逆压载系统	keniyazaixitong
可逆转柴油机	kenizhuanchaiyouji
可抛固体压载	kepaogutiyazai
科佩尔	kepeier
可弃压载	keqiyazai
可潜泥管	keqianniguan
科钦	keqin
可伸缩桅	keshensuowei
可调压载水舱	ketiaoyazaishuicang
科托努	ketuonu
科威特	keweite
可移式风机	keyishifengji
控测器	kongceqi
空船重量	kongchuanzhongliang
空船重量分布	kongchuanzhongliangfenbu
空负荷试验	kongfuheshiyan
空隔舱	konggecang
空化斗	konghuadou
