阿代尔	adaier
连通性	liantongxing
连通域	liantongyu
连心线	lianxinxian
连续	lianxu
连续变量	lianxubianliang
连续法	lianxufa
连续方程	lianxufangcheng
连续分布	lianxufenbu
连续分析器	lianxufenxiqi
连续谱	lianxupu
连续曲线	lianxuquxian
连续算子	lianxusuanzi
连续信号	lianxuxinhao
连续性	lianxuxing
连续性条件	lianxuxingtiaojian
量词	liangci
量化	lianghua
两脚规	liangjiaogui
两阶段抽样法	liangjieduanchouyangfa
良序	liangxu
量子	liangzi
量子力学	liangzilixue
量子噪声	liangzizaosheng
列表	liebiao
列联表	lielianbiao
列维	liewei
列线图	liexiantu
列阵	liezhen
临界	linjie
临界点	linjiedian
临界角	linjiejiao
邻接矩阵	linjiejuzhen
临界区域	linjiequyu
临界值	linjiezhi
邻域	linyu
零变换	lingbianhuan
零点	lingdian
铃动力学	lingdonglixue
零级	lingji
零假设	lingjiashe
菱角线	lingjiaoxian
领口	lingkou
铃力学	linglixue
菱面体	lingmianti
零线	lingxian
菱形	lingxing
流程图	liuchengtu
流函数	liuhanshu
六面体	liumianti
留数	liushu
六四面体	liusimianti
流线	liuxian
流形	liuxing
鲁棒控制	lubangkongzhi
鲁棒性	lubangxing
论题	lunti
论域	lunyu
论证	lunzheng
逻辑比较	luojibijiao
逻辑表达式	luojibiaodashi
逻辑代数	luojidaishu
逻辑符号	luojifuhao
逻辑图	luojitu
逻辑推理	luojituili
逻辑性	luojixing
逻辑学	luojixue
逻辑演算	luojiyansuan
逻辑移位	luojiyiwei
逻辑元件	luojiyuanjian
逻辑蕴涵	luojiyunhan
逻辑运算	luojiyunsuan
螺面	luomian
螺线	luoxian
螺旋规	luoxuangui
螺旋面	luoxuanmian
螺旋体	luoxuanti
螺旋线	luoxuanxian
滤波	lvbo
履历	lvli
旅行商问题	lvxingshangwenti
码长	machang
马尔可夫链	maerkefulian
马赫数	maheshu
马力	mali
码率	malv
码树	mashu
马蹄	mati
码元	mayuan
码字	mazi
脉冲	maichong
脉冲响应	maichongxiangying
脉动	maidong
麦克斯韦方程	maikesiweifangcheng
麦克斯韦方程组	maikesiweifangchengzu
满秩矩阵	manzhijuzhen
矛盾	maodun
枚举	meiju
媒体	meiti
蒙特卡罗法	mengtekaluofa
蒙特卡罗方法	mengtekaluofangfa
密度	midu
密度估计	miduguji
密度函数	miduhanshu
迷宫	migong
密码	mima
密码学	mimaxue
密切平面	miqiepingmian
密文	miwen
幂指数	mizhishu
面积	mianji
描述	miaoshu
命令	mingling
命题	mingti
命题逻辑	mingtiluoji
命题演算	mingtiyansuan
明文	mingwen
摩擦	moca
莫德尔	modeer
莫尔斯	moersi
莫尔斯理论	moersililun
模糊	mohu
模糊集	mohuji
模糊数学	mohushuxue
模拟	moni
模式	moshi
模数	moshu
模态逻辑	motailuoji
模图	motu
模型	moxing
模型辨识	moxingbianshi
模型理论	moxinglilun
模型论	moxinglun
模型试验	moxingshiyan
目标规划	mubiaoguihua
目标函数	mubiaohanshu
目标值	mubiaozhi
母函数	muhanshu
母曲线	muquxian
母线	muxian
母锥	muzhui
纳维	nawei
内摆线	neibaixian
内部	neibu
内插	neicha
内涵	neihan
内角	neijiao
内接	neijie
内径	neijing
内面	neimian
内模	neimo|neimu
内切	neiqie
内心	neixin
能级	nengji
能控性	nengkongxing
能量	nengliang
能量法	nengliangfa
能稳性	nengwenxing
能行性	nengxingxing
逆否命题	nifoumingti
拟合	nihe
拟合优度	niheyoudu
拟合优度检验	niheyoudujianyan
拟合值	nihezhi
逆矩阵	nijuzhen
拟牛顿法	niniudunfa
逆元	niyuan
拟阵	nizhen
粘性	nianxing
粘性系数	nianxingxishu
凝聚	ningju
牛顿	niudun
牛顿法	niudunfa
牛顿公式	niudungongshi
纽结	niujie
浓度	nongdu
弄平	nongping
偶函数	ouhanshu
耦合	ouhe
耦合系统	ouhexitong
欧几里德	oujilide
欧几里得距离	oujilidejuli
欧拉定理	ouladingli
欧拉公式	oulagongshi
欧拉角	oulajiao
欧拉数	oulashu
欧拉图	oulatu
偶然事故	ouranshigu
偶然误差	ouranwucha
偶然性	ouranxing
偶数	oushu
爬山法	pashanfa
排队	paidui
排队规则	paiduiguize
排队论	paiduilun
排队模型	paiduimoxing
排队时间	paiduishijian
排列	pailie
排序	paixu
排中律	paizhonglv
判别分析	panbiefenxi
判别函数	panbiehanshu
判定	panding
判断	panduan
抛物	paowu
抛物曲线	paowuquxian
抛物线	paowuxian
抛物柱面	paowuzhumian
配对	peidui
配方	peifang
配置	peizhi
配置问题	peizhiwenti
膨胀	pengzhang
批量	piliang
匹配	pipei
偏差	piancha
偏格	piange
偏回归	pianhuigui
偏离	pianli
偏态分布	piantaifenbu
偏微分	pianweifen
偏微分方程	pianweifenfangcheng
偏微分方程数值解	pianweifenfangchengshuzhijie
偏相关系数	pianxiangguanxishu
偏序	pianxu
偏倚	pianyi
漂移	piaoyi
频率	pinlv
频率分布	pinlvfenbu
频率曲线	pinlvquxian
频率响应	pinlvxiangying
频数	pinshuo
频域	pinyu
平凡	pingfan
平方	pingfang
平方根	pingfanggen
平分线	pingfenxian
平衡	pingheng
平衡常数	pinghengchangshu
平衡点	pinghengdian
平衡法	pinghengfa
平衡方程	pinghengfangcheng
平衡分布	pinghengfenbu
平衡条件	pinghengtiaojian
平衡图	pinghengtu
平衡状态	pinghengzhuangtai
平滑	pinghua
平滑曲线	pinghuaquxian
平截头棱锥体	pingjietoulengzhuiti
平均	pingjun
平均法	pingjunfa
平均密度	pingjunmidu
平均偏差	pingjunpiancha
平均寿命	pingjunshouming
平均数	pingjunshu
平均数指数	pingjunshuzhishu
平均速度	pingjunsudu
平均误差	pingjunwucha
平均增长速度	pingjunzengzhangsudu
平均值	pingjunzhi
平面	pingmian
平面设计	pingmiansheji
平面束	pingmianshu
平面图	pingmiantu
平面性	pingmianxing
平面族	pingmianzu
平面坐标	pingmianzuobiao
平曲面	pingqumian
平稳信道	pingwenxindao
平行	pingxing
平行四边形	pingxingsibianxing
平行线	pingxingxian
平移	pingyi
平移对称	pingyiduichen
破译	poyi
剖分	poufen
普查	pucha
谱分析	pufenxi
谱估计	puguji
谱线	puxian
脐点	qidian
奇点	qidian|jidian
启发式方法	qifashifangfa
期望	qiwang
期望值	qiwangzhi
奇异值分解	qiyizhifenjie
前导	qiandao
前件	qianjian
前馈控制	qiankuikongzhi
嵌入	qianru
前束范式	qianshufanshi
前提	qianti
前项	qianxiang
潜在	qianzai
前缀码	qianzhuima
强度	qiangdu
强连通图	qiangliantongtu
强迫振动	qiangpozhendong
壳层	qiaoceng
切比雪夫	qiebixuefu
切超平面	qiechaopingmian
切除	qiechu
切点	qiedian
切断	qieduan
切割	qiege
切线	qiexian
切线方程	qiexianfangcheng
切线角	qiexianjiao
切向应力	qiexiangyingli
切圆	qieyuan
情报	qingbao
情况	qingkuang
倾向	qingxiang
倾斜	qingxie
倾斜线	qingxiexian
球冠	qiuguan
球函数	qiuhanshu
求积仪	qiujiyi
球壳	qiuke
球面	qiumian
球面坐标	qiumianzuobiao
丘奇论题	qiuqilunti
球体	qiuti
区间	qujian
区间套	qujiantao
曲率	qulv
曲率半径	qulvbanjing
曲率中心	qulvzhongxin
曲面	qumian
曲面拟合	qumiannihe
趋势	qushi
曲线	quxian
曲线拟合	quxiannihe
曲线网格	quxianwangge
曲线运动	quxianyundong
取样	quyang
区域	quyu
全变差	quanbiancha
全称量词	quanchengliangci
全等三角形	quandengsanjiaoxing
全等图形	quandengtuxing
权函数	quanhanshu
权衡	quanheng
全集	quanji
全阶观测器	quanjieguanceqi
全距	quanju
圈数	quanshu
全图	quantu
权系数	quanxishu
全相关系数	quanxiangguanxishu
全域	quanyu
确定性	quedingxing
群论	qunlun
群速度	qunsudu
扰动	raodong
热传导	rechuandao
热力学	relixue
热力学第三定律	relixuedisandinglv
任意常数	renyichangshu
任意抽样	renyichouyang
容量	rongliang
容量分布	rongliangfenbu
容量区域	rongliangquyu
容许	rongxu
容许误差	rongxuwucha
容许限	rongxuxian
容许值	rongxuzhi
冗余位	rongyuwei
入度	rudu
入射角	rushejiao
入射面	rushemian
锐度	ruidu
锐角	ruijiao
瑞特	ruite
散布	sanbu
散布图	sanbutu
三乘	sancheng
三垂线定理	sanchuixiandingli
三次元	sanciyuan
三等分	sandengfen
散点图	sandiantu
散度	sandu
三段论	sanduanlun
三分法	sanfenfa
三角	sanjiao
三角函数	sanjiaohanshu
三角剖分	sanjiaopoufen
三角型	sanjiaoxing
三角形	sanjiaoxing
三角学	sanjiaoxue
散粒噪声	sanlizaosheng
散射层	sansheceng
三维空间	sanweikongjian
三线坐标	sanxianzuobiao
三项式	sanxiangshi
三叶形	sanyexing
散逸	sanyi
三元系	sanyuanxi
三元组	sanyuanzu
扫除	saochu
森林	senlin
筛法	shaifa
删除	shanchu
删去	shanqu
扇形	shanxing
熵编码	shangbianma
上根	shanggen
上界	shangjie
上确界	shangquejie
摄动函数	shedonghanshu
社会经济统计	shehuijingjitongji
舍入	sheru
舍入误差	sheruwucha
射线	shexian
射影	sheying
深度线	shenduxian
神经网络	shenjingwangluo
渗流	shenliu
生成	shengcheng
生成程序	shengchengchengxu
生成函数	shengchenghanshu
生成树	shengchengshu
生存时间	shengcunshijian
剩余法	shengyufa
剩余集	shengyuji
剩余误差	shengyuwucha
剩余项	shengyuxiang
生长曲线	shengzhangquxian
时变	shibian
实变函数	shibianhanshu
时变系统	shibianxitong
实部	shibu
时程	shicheng
始端	shiduan
十二进制	shierjinzhi
十个	shige
施工项目	shigongxiangmu
势函数	shihanshu
事件	shijian
时间	shijian
时间尺度	shijianchidu
时间序列	shijianxulie
十进制	shijinzhi
试卷	shijuan
矢量	shiliang
矢列式	shilieshi
十六进制	shiliujinzhi
十六进制数字	shiliujinzhishuzi
势能	shineng
实数	shishu
时态逻辑	shitailuoji
视图	shitu
施瓦兹	shiwazi
实线	shixian
失效率	shixiaolv
时序分析	shixufenxi
试验	shiyan
实验	shiyan
实验计划	shiyanjihua
试验设计	shiyansheji
实验设计	shiyansheji
十一边形	shiyibianxing
适应	shiying
适应控制	shiyingkongzhi
适应性	shiyingxing
实用单位	shiyongdanwei
适用性	shiyongxing
时域	shiyu
时域分析	shiyufenxi
时域响应	shiyuxiangying
失真	shizhen
实值	shizhi
收点	shoudian
收集	shouji
受控系统	shoukongxitong
收敛	shoulian
收敛区间	shoulianqujian
寿命	shouming
寿命试验	shoumingshiyan
受迫振动	shoupozhendong
收缩	shousuo
收缩性	shousuoxing
树表示	shubiaoshi
输出	shuchu
输出函数	shuchuhanshu
输出量	shuchuliang
输出设备	shuchushebei
输出向量	shuchuxiangliang
输出信号	shuchuxinhao
输出状态	shuchuzhuangtai
输出字母表	shuchuzimubiao
数据	shuju
数据处理	shujuchuli
数据加密	shujujiami
数据结构	shujujiegou
数据压缩	shujuyasuo
数理逻辑	shuliluoji
数理统计	shulitongji
数理统计学派	shulitongjixuepai
数量关系	shuliangguanxi
数量指标	shuliangzhibiao
数论	shulun
树码	shuma
输入	shuru
输入流	shuruliu
输入信号	shuruxinhao
输入装置	shuruzhuangzhi
疏失误差	shushiwucha
属性	shuxing
数学	shuxue
数学分析	shuxuefenxi
数学公式	shuxuegongshi
数学规划	shuxueguihua
数学归纳法	shuxueguinafa
数学家	shuxuejia
数学模型	shuxuemoxing
属于	shuyu
数值	shuzhi
数值法	shuzhifa
数值方法	shuzhifangfa
数值分析	shuzhifenxi
数值积分	shuzhijifen
数值计算	shuzhijisuan
数值解	shuzhijie
数值模拟	shuzhimoni
数值数据	shuzhishuju
数轴	shuzhou
数字	shuzi
数字编码	shuzibianma
数字控制	shuzikongzhi
衰减	shuaijian
衰减常数	shuaijianchangshu
衰减器	shuaijianqi
双侧检验	shuangcejianyan
双层	shuangceng
双峰分布	shuangfengfenbu
双格	shuangge
双纽线	shuangniuxian
双切线	shuangqiexian
双曲对合	shuangquduihe
双曲面	shuangqumian
双曲线	shuangquxian
双态元件	shuangtaiyuanjian
双线性变换	shuangxianxingbianhuan
双线性系统	shuangxianxingxitong
双向通信	shuangxiangtongxin
双向信道	shuangxiangxindao
双叶线	shuangyexian
水平	shuiping
水平结构	shuipingjiegou
水平面	shuipingmian
水平线	shuipingxian
水平轴	shuipingzhou
水平坐标	shuipingzuobiao
水准	shuizhun
水准面	shuizhunmian
瞬时描述	shunshimiaoshu
顺时针方向	shunshizhenfangxiang
顺时针旋转	shunshizhenxuanzhuan
瞬时状态	shunshizhuangtai
瞬态	shuntai
瞬态响应	shuntaixiangying
顺序控制	shunxukongzhi
四边形	sibianxing
四分位数	sifenweishu
四分之一	sifenzhiyi
四角形	sijiaoxing
似棱体公式	silengtigongshi
四面体	simianti
四面坐标	simianzuobiao
似然比	siranbi
似然方程	siranfangcheng
四色定理	sisedingli
斯通	sitong
斯托克斯方程	situokesifangcheng
斯托克斯公式	situokesigongshi
死亡率	siwanglv
四元数	siyuanshu
四元组	siyuanzu
松弛变量	songchibianliang
松弛法	songchifa
搜索范围	sousuofanwei
搜索周期	sousuozhouqi
速度	sudu
速度分布	sudufenbu
素端	suduan
速端曲线	suduanquxian
素数	sushu
塑性	suxing
算法	suanfa
算法论	suanfalun
算法语言	suanfayuyan
算盘	suanpan
算术	suanshu
算术码	suanshuma
算术平均	suanshupingjun
算术平均数	suanshupingjunshu
算术平均值	suanshupingjunzhi
算术运算	suanshuyunsuan
算图	suantu
算子	suanzi
随机	suiji
随机变量	suijibianliang
随机抽样	suijichouyang
随机过程	suijiguocheng
随机化	suijihua
随机接入	suijijieru
随机控制理论	suijikongzhililun
随机码	suijima
随机取样	suijiquyang
随机区组设计	suijiquzusheji
随机事件	suijishijian
随机试验	suijishiyan
随机数	suijishu
随机误差	suijiwucha
随机现象	suijixianxiang
随机性	suijixing
随机样本	suijiyangben
损失	sunshi
损失函数	sunshihanshu
损失率	sunshilv
缩短	suoduan
锁相	suoxiang
泰勒级数	tailejishu
泰勒展开	tailezhankai
贪婪算法	tanlansuanfa
弹性	tanxing
弹性常数	tanxingchangshu
弹性模数	tanxingmoshu
弹性散射	tanxingsanshe
特性	texing
特征	tezheng
特征参数	tezhengcanshu
特征函数	tezhenghanshu
特征曲线	tezhengquxian
特征射线	tezhengshexian
特征向量	tezhengxiangliang
特征值	tezhengzhi
梯度	tidu
梯度法	tidufa
替换	tihuan
体积	tiji
提升	tisheng
体应力	tiyingli
体制	tizhi
天体	tianti
天体力学	tiantilixue
天文学	tianwenxue
调和	tiaohe
调和分析	tiaohefenxi
调和级数	tiaohejishu
调和平均	tiaohepingjun
调和平均数	tiaohepingjunshu
条件	tiaojian
条件方程	tiaojianfangcheng
条件熵	tiaojianshang
条件收敛	tiaojianshoulian
条件转移	tiaojianzhuanyi
条线图	tiaoxiantu
条形图	tiaoxingtu
跳跃	tiaoyue
停时	tingshi
停止时间	tingzhishijian
通道	tongdao
同调	tongdiao
同构	tonggou
同化	tonghua
统计	tongji
统计表	tongjibiao
统计调查	tongjidiaocha
统计分析	tongjifenxi
统计分组法	tongjifenzufa
统计假设	tongjijiashe
统计假设检验	tongjijiashejianyan
统计监督	tongjijiandu
统计热力学	tongjirelixue
统计图	tongjitu
统计误差	tongjiwucha
统计学	tongjixue
统计学原理	tongjixueyuanli
统计预测	tongjiyuce
统计指标	tongjizhibiao
统计指数	tongjizhishu
统计总体	tongjizongti
通解	tongjie
通径	tongjing
统联	tonglian
同时性	tongshixing
同态	tongtai
通项公式	tongxianggongshi
同心圆	tongxinyuan
通用编码	tongyongbianma
通用结构	tongyongjiegou
同源	tongyuan
透镜	toujing
投射	toushe
透视	toushi
投影	touying
投影变换	touyingbianhuan
凸包	tubao
突变	tubian
突变理论	tubianlilun
图表	tubiao
凸多边形	tuduobianxing
凸二次规划	tuerciguihua
突发差错	tufachacuo
突发长度	tufachangdu
突发噪声	tufazaosheng
凸分析	tufenxi
图解法	tujiefa
图灵机	tulingji
图论	tulun
凸面	tumian
图谱	tupu
凸曲线	tuquxian
图示法	tushifa
凸体	tuti
图同构	tutonggou
图同态	tutongtai
图象编码	tuxiangbianma
图象压缩	tuxiangyasuo
凸性	tuxing
图形	tuxing
湍流	tuanliu
推迟	tuichi
推出	tuichu
推广	tuiguang
退化	tuihua
推理规则	tuiliguize
推理模型	tuilimoxing
推论	tuilun
托姆	tuomu
拓扑	tuopu
拓扑结构	tuopujiegou
拓扑学	tuopuxue
椭圆	tuoyuan
椭圆曲线	tuoyuanquxian
外摆线	waibaixian
外边界	waibianjie
外部	waibu
外存储器	waicunchuqi
外接	waijie
外径	waijing
外面	waimian
外推	waitui
外围设备	waiweishebei
外心	waixin
外延	waiyan
外域	waiyu
完备化	wanbeihua
弯曲	wanqu
完全	wanquan
完全集	wanquanji
完全图	wanquantu
完全性	wanquanxing
完整	wanzheng
网格	wangge
网格线	wanggexian
网络	wangluo
网络分析	wangluofenxi
网络理论	wangluolilun
网络流	wangluoliu
网络图	wangluotu
谓词	weici
谓词符号	weicifuhao
谓词演算	weiciyansuan
纬度线	weiduxian
尾段	weiduan
微分	weifen
微分电路	weifendianlu
微分方程	weifenfangcheng
微分几何	weifenjihe
微分几何学	weifenjihexue
微分控制	weifenkongzhi
微分流形	weifenliuxing
微分器	weifenqi
微分曲线	weifenquxian
微分式	weifenshi
伪码	weima
威曼	weiman
维纳	weina
维纳滤波	weinalvbo
围绕	weirao
微扰理论	weiraolilun
尾数	weishu
伪随机码	weisuijima
维特	weite
伪微分算子	weiweifensuanzi
伪悬链线	weixuanlianxian
伪旋轮线	weixuanlunxian
位移	weiyi
唯一	weiyi
唯一分解	weiyifenjie
唯一性条件	weiyixingtiaojian
位置	weizhi
位置函数	weizhihanshu
未知数	weizhishu
稳定	wending
稳定度	wendingdu
稳定平衡	wendingpingheng
稳定区	wendingqu
稳定区域	wendingquyu
稳定数	wendingshu
稳定条件	wendingtiaojian
稳定性	wendingxing
稳定性判据	wendingxingpanju
温度	wendu
文件编制	wenjianbianzhi
稳健性	wenjianxing
问题	wenti
文字	wenzi
蜗牛线	woniuxian
涡线	woxian
误差	wucha
无差别	wuchabie
误差范围	wuchafanwei
误差方程	wuchafangcheng
误差分析	wuchafenxi
误差估计	wuchaguji
误差平方和	wuchapingfanghe
误差限度	wuchaxiandu
五次曲线	wuciquxian
无记忆信源	wujiyixinyuan
五角形	wujiaoxing
五角星	wujiaoxing
无尽小数	wujinxiaoshu
物理常数	wulichangshu
无理数	wulishu
物理学	wulixue
五面体	wumianti
无偏估计	wupianguji
无偏估计量	wupiangujiliang
无偏性	wupianxing
无穷	wuqiong
无穷大	wuqiongda
无穷远	wuqiongyuan
无向图	wuxiangtu
无序	wuxu
无噪信道	wuzaoxindao
希尔伯特	xierbote
希尔伯特变换	xierbotebianhuan
希尔伯特空间	xierbotekongjian
细分	xifen
析取范式	xiqufanshi
吸收	xishou
吸收边界条件	xishoubianjietiaojian
吸收系数	xishouxishu
吸收指数	xishouzhishu
系数	xishu
系统	xitong
系统辨识	xitongbianshi
系统抽样	xitongchouyang
系统分析	xitongfenxi
系统化	xitonghua
系统建模	xitongjianmo
系统可靠性	xitongkekaoxing
系统科学	xitongkexue
系统理论	xitonglilun
系统码	xitongma
系统误差	xitongwucha
吸引	xiyin
析因实验	xiyinshiyan
下半平面	xiabanpingmian
下层	xiaceng
下降	xiajiang
下界	xiajie
下确界	xiaquejie
下限	xiaxian
现代数学	xiandaishuxue
线段	xianduan
线路图	xianlutu
陷门	xianmen
线密度	xianmidu
线束	xianshu
线速度	xiansudu
纤维	xianwei
纤维化	xianweihua
纤维空间	xianweikongjian
现象	xianxiang
线性	xianxing
线性次序	xianxingcixu
线性代数	xianxingdaishu
线性方程	xianxingfangcheng
线性方程组	xianxingfangchengzu
线性关系	xianxingguanxi
线性规划	xianxingguihua
线性函数	xianxinghanshu
线性回归	xianxinghuigui
线性码	xianxingma
线性模型	xianxingmoxing
线性判别函数	xianxingpanbiehanshu
线性搜索	xianxingsousuo
线性系统	xianxingxitong
线性组合	xianxingzuhe
先验估计	xianyanguji
限制	xianzhi
显著性	xianzhuxing
显著性检定	xianzhuxingjianding
相差	xiangcha
相等	xiangdeng
相对不变式	xiangduibubianshi
相对地址	xiangduidizhi
相对化	xiangduihua
相对论	xiangduilun
相对速度	xiangduisudu
相对误差	xiangduiwucha
相对效率	xiangduixiaolv
相干检测	xiangganjiance
相关	xiangguan
相关法	xiangguanfa
相关分析	xiangguanfenxi
相关函数	xiangguanhanshu
相关图	xiangguantu
相关系数	xiangguanxishu
相关性	xiangguanxing
相关指数	xiangguanzhishu
相互独立事件	xianghudulishijian
相角	xiangjiao
相交	xiangjiao
相交定理	xiangjiaodingli
相界	xiangjie
相空间	xiangkongjian
向量	xiangliang
向量场	xiangliangchang
香农理论	xiangnonglilun
相切	xiangqie
相容条件	xiangrongtiaojian
相容性	xiangrongxing
相似	xiangsi
相似法	xiangsifa
相位	xiangwei
相位滞后	xiangweizhihou
象限	xiangxian
相依	xiangyi
相移	xiangyi
响应	xiangying
响应函数	xiangyinghanshu
象征	xiangzheng
相转移	xiangzhuanyi
小波变换	xiaobobianhuan
消除	xiaochu
效率	xiaolv
效率因子	xiaolvyinzi
小前提	xiaoqianti
消去	xiaoqu
消去法	xiaoqufa
消失	xiaoshi
小数位	xiaoshuwei
消息	xiaoxi
小循环	xiaoxunhuan
效应	xiaoying
效用	xiaoyong
小于	xiaoyu
小于等于	xiaoyudengyu
小于或等于	xiaoyuhuodengyu
小圆	xiaoyuan
斜边	xiebian
泄放	xiefang
协方差	xiefangcha
协方差分析	xiefangchafenxi
协方差函数	xiefangchahanshu
协方差矩阵	xiefangchajuzhen
斜角	xiejiao
斜率	xielv
斜面	xiemian
协调性	xietiaoxing
斜星形线	xiexingxingxian
斜轴	xiezhou
信道	xindao
信道容量	xindaorongliang
信号	xinhao
信号检测	xinhaojiance
心算	xinsuan
信息	xinxi
新息	xinxi
信息处理	xinxichuli
信息集	xinxiji
信息科学	xinxikexue
信息量	xinxiliang
信息论	xinxilun
信息熵	xinxishang
信息位	xinxiwei
信息源	xinxiyuan
信源	xinyuan
信源编码	xinyuanbianma
信噪比	xinzaobi
形变	xingbian
形成	xingcheng
星号	xinghao
行空间	xingkongjian
性能指标	xingnengzhibiao
形曲线	xingquxian
形式逻辑	xingshiluoji
形式系统	xingshixitong
形式语言	xingshiyuyan
形式主义	xingshizhuyi
行为	xingwei
形心	xingxin
星形	xingxing
星形线	xingxingxian
形状	xingzhuang
形状参数	xingzhuangcanshu
修正项	xiuzhengxiang
虚部	xubu
序贯设计	xuguansheji
序关系	xuguanxi
序贯译码	xuguanyima
序结构	xujiegou
序列	xulie
需求	xuqiu
虚数	xushu
序数	xushu
虚位移	xuweiyi
虚圆	xuyuan
悬链线	xuanlianxian
选言命题	xuanyanmingti
选择	xuanze
旋转	xuanzhuan
旋转法	xuanzhuanfa
旋转曲面	xuanzhuanqumian
旋转设计	xuanzhuansheji
旋转体	xuanzhuanti
旋转中心	xuanzhuanzhongxin
旋转轴	xuanzhuanzhou
旋子	xuanzi
薛定谔方程	xuedingefangcheng
学时	xueshi
循环	xunhuan
循环变换	xunhuanbianhuan
循环常数	xunhuanchangshu
循环法	xunhuanfa
循环进位	xunhuanjinwei
循环流	xunhuanliu
循环码	xunhuanma
循环图	xunhuantu
亚当斯	yadangsi
雅各布森	yagebusen
雅可比矩阵	yakebijuzhen
压力	yali
压力中心	yalizhongxin
压缩	yasuo
压缩率	yasuolv
延迟	yanchi
延迟时间	yanchishijian
衍射	yanshe
衍射角	yanshejiao
验算	yansuan
演算	yansuan
演绎	yanyi
演绎法	yanyifa
验证	yanzheng
延滞	yanzhi
样本	yangben
样本分布	yangbenfenbu
样本矩	yangbenju
样本均值	yangbenjunzhi
样本空间	yangbenkongjian
样本量	yangbenliang
样本容量	yangbenrongliang
样本协方差	yangbenxiefangcha
仰角	yangjiao
佯谬	yangmiu
样条	yangtiao
样条拟合	yangtiaonihe
摇控	yaokong
一般拓扑学	yibantuopuxue
一般位置	yibanweizhi
异步计算机	yibujisuanji
异常值	yichangzhi
溢出	yichu
遗传信息	yichuanxinxi
移动	yidong
移动平均	yidongpingjun
移动平均法	yidongpingjunfa
移动平均数法	yidongpingjunshufa
一阶理论	yijielilun
一阶逻辑	yijieluoji
依赖	yilai
溢流	yiliu
译码	yima
译码器	yimaqi
异面直线	yimianzhixian
一批	yipi
伊藤过程	yitengguocheng
移位	yiwei
移位寄存器	yiweijicunqi
移项	yixiang
一元线性回归	yiyuanxianxinghuigui
一元运算	yiyuanyunsuan
已知数	yizhishu
一致性	yizhixing
因变量	yinbianliang
因果关系	yinguoguanxi
因果律	yinguolv
引力	yinli
引力场	yinlichang
因式	yinshi
因式分解	yinshifenjie
因数	yinshu
因素	yinsu
因子	yinzi
因子分解	yinzifenjie
因子分析	yinzifenxi
因子设计	yinzisheji
应变	yingbian
应变量	yingbianliang
英寸	yingcun
迎角	yingjiao
应力	yingli
应力张量	yinglizhangliang
映射	yingshe
映射函数	yingshehanshu
影响	yingxiang
应用	yingyong
应用数学	yingyongshuxue
永久	yongjiu
右边	youbian
游标	youbiao
有补格	youbuge
又称	youcheng
游程	youcheng
游程编码	youchengbianma
诱导	youdao
诱导公式	youdaogongshi
优弧	youhu
优化设计	youhuasheji
有界	youjie
有界性	youjiexing
有理式	youlishi
有理数	youlishu
右商	youshang
有限	youxian
优先排队	youxianpaidui
优先权	youxianquan
有限性	youxianxing
有限域	youxianyu
有限元	youxianyuan
有限元法	youxianyuanfa
有限元分析	youxianyuanfenxi
有限自动机	youxianzidongji
有向图	youxiangtu
有效	youxiao
有效度	youxiaodu
有效截面	youxiaojiemian
有效面积	youxiaomianji
有效数字	youxiaoshuzi
有效性	youxiaoxing
优选法	youxuanfa
游弋	youyi
预报	yubao
预测	yuce
预测编码	yucebianma
预测值	yucezhi
语法	yufa
余割	yuge
预估	yugu
隅角	yujiao
余角	yujiao
隅角条件	yujiaotiaojian
语句	yuju
余切	yuqie
谕示	yushi
预示	yushi
余数	yushu
余弦	yuxian
余弦定理	yuxiandingli
余弦定律	yuxiandinglv
余象	yuxiang
语言	yuyan
语义	yuyi
语义信息	yuyixinxi
语义学	yuyixue
阈值	yuzhi
余子式	yuzishi
圆摆	yuanbai
源程序	yuanchengxu
原点	yuandian
圆点	yuandian
源点	yuandian
原根	yuangen
圆轨道	yuanguidao
圆弧	yuanhu
圆环	yuanhuan
元件	yuanjian
圆角	yuanjiao
圆截面	yuanjiemian
原理	yuanli
元逻辑	yuanluoji
圆盘	yuanpan
原始数据	yuanshishuju
元素	yuansu
圆图	yuantu
原象	yuanxiang
圆心	yuanxin
圆心角	yuanxinjiao
元语言	yuanyuyan
圆周	yuanzhou
圆周角	yuanzhoujiao
圆周率	yuanzhoulv
圆柱	yuanzhu
圆柱螺旋线	yuanzhuluoxuanxian
圆锥	yuanzhui
圆锥螺旋线	yuanzhuiluoxuanxian
圆锥曲线	yuanzhuiquxian
原子	yuanzi
原子公式	yuanzigongshi
原子命题	yuanzimingti
原子性	yuanzixing
元组	yuanzu
约定	yueding
约分	yuefen
约化型	yuehuaxing
约数	yueshu
约束	yueshu
约束条件	yueshutiaojian
运筹学	yunchouxue
运动	yundong
运动群	yundongqun
运动学	yundongxue
蕴涵	yunhan
运算	yunsuan
运算部件	yunsuanbujian
运算对象	yunsuanduixiang
运算放大器	yunsuanfangdaqi
允许	yunxu
再次	zaici
载荷	zaihe
载荷曲线	zaihequxian
噪声	zaosheng
择一	zeyi
增函数	zenghanshu
增加	zengjia
增量	zengliang
增长	zengzhang
增长率	zengzhanglv
增长速度	zengzhangsudu
展开	zhankai
展开定理	zhankaidingli
障碍理论	zhangaililun
章动	zhangdong
张力	zhangli
