阿姆可铁	amuketie
电子探针	dianzitanzhen
电子陶瓷	dianzitaoci
电子体温计	dianzitiwenji
电子听诊器	dianzitingzhenqi
电子透镜	dianzitoujing
电子伪装	dianziweizhuang
电子稳定程序	dianziwendingchengxu
电子物理学	dianziwulixue
电子陷阱	dianzixianjing
电子效率	dianzixiaolv
电子信函	dianzixinhan
电子学	dianzixue
电子血压计	dianzixueyaji
电子眼压计	dianziyanyaji
电子仪器仪表	dianziyiqiyibiao
电子邮件	dianziyoujian
电子战	dianzizhan
电子侦察	dianzizhencha
电子支援措施	dianzizhiyuancuoshi
电子注	dianzizhu
电子专业词汇	dianzizhuanyecihui
电阻	dianzu
电阻表	dianzubiao
电阻海	dianzuhai
电阻率	dianzulv
电阻器	dianzuqi
电阻温度系数	dianzuwenduxishu
电阻增量	dianzuzengliang
调角	diaojiao
凋落模	diaoluomo
调相器	diaoxiangqi
叠板结构	diebanjiegou
叠层干电池	diecenggandianchi
叠加定理	diejiadingli
跌落试验	dieluoshiyan
蝶式运算	dieshiyunsuan
定标器	dingbiaoqi
定常系统	dingchangxitong
定电流放电	dingdianliufangdian
定电阻放电	dingdianzufangdian
定界符	dingjiefu
顶空盲区	dingkongmangqu
丁类放大器	dingleifangdaqi
定片真空泵	dingpianzhenkongbeng
定时恢复	dingshihuifu
定时鉴别器	dingshijianbieqi
定位	dingwei
定位槽	dingweicao
定位重复误差	dingweichongfuwucha
定位孔	dingweikong
定位梢	dingweishao
定向	dingxiang
定向传声器	dingxiangchuanshengqi
定向耦合器	dingxiangouheqi
定向太阳电池阵	dingxiangtaiyangdianchizhen
定向天线	dingxiangtianxian
定性信息	dingxingxinxi
定制集成电路	dingzhijichengdianlu
定值指令	dingzhizhiling
动量传输泵	dongliangchuanshubeng
动目标显示雷达	dongmubiaoxianshileida
氡气仪	dongqiyi
动圈传声器	dongquanchuanshengqi
动态范围	dongtaifanwei
动态复用	dongtaifuyong
动态滤波器	dongtailvboqi
动态散射模式	dongtaisanshemoshi
动态属性	dongtaishuxing
动态阻抗	dongtaizukang
动作电位	dongzuodianwei
抖动	doudong
抖晃	douhuang
斗链器件	doulianqijian
读出放大器	duchufangdaqi
独立基线	dulijixian
渡越时间	duyueshijian
渡越损耗	duyuesunhao
堵转励磁电流	duzhuanlicidianliu
堵转励磁功率	duzhuanlicigonglv
堵转特性	duzhuantexing
堵转转矩	duzhuanzhuanju
端泵浦	duanbengpu
短波通信	duanbotongxin
短程透镜天线	duanchengtoujingtianxian
端电压	duandianya
短沟道	duangoudao
短沟效应	duangouxiaoying
短截线	duanjiexian
端口	duankou
短路线	duanluxian
短路终端	duanluzhongduan
短腔选模	duanqiangxuanmo
端射阵天线	duanshezhentianxian
端效应	duanxiaoying
断续指令	duanxuzhiling
端子对	duanzidui
对称网络	duichenwangluo
对称信道	duichenxindao
对称信源	duichenxinyuan
对称振子天线	duichenzhenzitianxian
堆垛层错	duiduocengcuo
堆积效应	duijixiaoying
对流层传播	duiliucengchuanbo
对流层散射通信	duiliucengsanshetongxin
对偶码	duiouma
对偶网络	duiouwangluo
对数放大器	duishufangdaqi
对数率表	duishulvbiao
对数周期天线	duishuzhouqitianxian
对准精度	duizhunjingdu
对准用标记	duizhunyongbiaoji
钝化工艺	dunhuagongyi
钝化界面	dunhuajiemian
多波群信号	duoboqunxinhao
多波束雷达	duoboshuleida
多波束天线	duoboshutianxian
多步雪崩室	duobuxuebengshi
多层布线	duocengbuxian
多层光刻胶	duocengguangkejiao
多层介质钝化	duocengjiezhidunhua
多层金属化	duocengjinshuhua
多层印制板	duocengyinzhiban
多重处理	duochongchuli
多重图	duochongtu
多次抽样	duocichouyang
多带生长	duodaishengzhang
多道分析器	duodaofenxiqi
多点通信	duodiantongxin
多端网络	duoduanwangluo
多尔夫	duoerfu
多光谱扫描仪	duoguangpusaomiaoyi
多光谱相机	duoguangpuxiangji
多光子吸收	duoguangzixishou
多基地雷达	duojidileida
多碱光阴极	duojianguangyinji
多接入信道	duojieruxindao
多结太阳电池	duojietaiyangdianchi
多晶	duojing
多晶硅	duojinggui
多晶硅发射极晶体管	duojingguifashejijingtiguan
多径效应	duojingxiaoying
多孔玻璃	duokongboli
多孔陶瓷	duokongtaoci
多口网络	duokouwangluo
多路定标器	duoludingbiaoqi
多路复用	duolufuyong
多路驱动	duoluqudong
多路通信	duolutongxin
多路遥测	duoluyaoce
多模光纤	duomoguangxian
多片电路	duopiandianlu
多普勒导航	duopuledaohang
多普勒伏尔	duopulefuer
多普勒跟踪	duopulegenzong
多普勒雷达	duopuleleida
多普勒展宽	duopulezhankuan
多腔磁控管	duoqiangcikongguan
多色穿透屏	duosechuantouping
多色色散	duosesesan
多数载流子	duoshuzailiuzi
多丝正比室	duosizhengbishi
多谐振荡器	duoxiezhendangqi
多义度	duoyidu
多音指令	duoyinzhiling
多用表	duoyongbiao
多用户信息论	duoyonghuxinxilun
多余因数	duoyuyinshu
多元胞法	duoyuanbaofa
多站多普勒系统	duozhanduopulexitong
多帧照相机	duozhenzhaoxiangji
多址	duozhi
额定电压	edingdianya
厄兰	elan
厄利效应	elixiaoying
扼流关节	eliuguanjie
扼流圈	eliuquan
扼流式活塞	eliushihuosai
俄歇	exie
俄歇过程	exieguocheng
恶性码	exingma
二次抽样	ercichouyang
二次雷达	ercileida
二次相位因数	ercixiangweiyinshu
二次谐波发生	ercixiebofasheng
二端对网络	erduanduiwangluo
二端网络	erduanwangluo
二分频	erfenpin
二硅化物	erguihuawu
耳机	erji
二极管	erjiguan
二极管泵浦	erjiguanbengpu
二极管电子枪	erjiguandianziqiang
铒激光器	erjiguangqi
二阶系统	erjiexitong
二进制代码	erjinzhidaima
二口网络	erkouwangluo
二维显示	erweixianshi
耳蜗电描记术	erwodianmiaojishu
二线制	erxianzhi
二氧化硅	eryanghuagui
二元继电器	eryuanjidianqi
法布里	fabuli
发光二极管	faguangerjiguan
发光强度	faguangqiangdu
发光效率	faguangxiaolv
法拉第效应	faladixiaoying
发射机	fasheji
发射极	fasheji
发射极耦合对	fashejiouhedui
发射极耦合逻辑	fashejiouheluoji
发射结	fashejie
发射器	fasheqi
发射区	fashequ
发现概率	faxiangailv
范阿塔反射器	fanatafansheqi
翻板阀	fanbanfa
返波	fanbo
返波管	fanboguan
返波振荡器	fanbozhendangqi
反掺杂	fanchanza
反堆积	fanduiji
反峰电压	fanfengdianya
反回蚀	fanhuishi
反馈	fankui
反馈补偿	fankuibuchang
反馈回路	fankuihuilu
反馈校验	fankuijiaoyan
反馈校正	fankuijiaozheng
反扩散	fankuosan
反兰姆凹陷	fanlanmuaoxian
反雷达	fanleida
反雷达伪装	fanleidaweizhuang
返流	fanliu
反迫击炮雷达	fanpaijipaoleida
反射电桥	fanshedianqiao
反射高能电子衍射	fanshegaonengdianziyanshe
反射计	fansheji
反射空间	fanshekongjian
反射率	fanshelv
泛射式电子枪	fansheshidianziqiang
反射式跟踪	fansheshigenzong
反射速调管	fanshesudiaoguan
反射系数	fanshexishu
反射形貌法	fanshexingmaofa
反渗透	fanshentou
反铁磁性	fantiecixing
反铁电晶体	fantiedianjingti
反铁电陶瓷	fantiediantaoci
反同轴磁控管	fantongzhoucikongguan
反向电导	fanxiangdiandao
反向二极管	fanxiangerjiguan
反向放电	fanxiangfangdian
反向工作	fanxianggongzuo
反向击穿电压	fanxiangjichuandianya
反向偏置	fanxiangpianzhi
反相器	fanxiangqi
反向损耗	fanxiangsunhao
反型	fanxing
返修品	fanxiupin
反隐形技术	fanyinxingjishu
反应堆周期仪	fanyingduizhouqiyi
反应溅射	fanyingjianshe
反应溅射刻蚀	fanyingjianshekeshi
反应溅射源	fanyingjiansheyuan
反应离子刻蚀	fanyinglizikeshi
反应速率模型	fanyingsulvmoxing
反应性仪	fanyingxingyi
反应蒸发	fanyingzhengfa
反转时间	fanzhuanshijian
方波	fangbo
方波发生器	fangbofashengqi
放电	fangdian
放电率	fangdianlv
放电特性曲线	fangdiantexingquxian
方法误差	fangfawucha
方块电阻	fangkuaidianzu
放射免疫仪器	fangshemianyiyiqi
放射自显影	fangshezixianying
防水式电机	fangshuishidianji
方位标志	fangweibiaozhi
方位显示器	fangweixianshiqi
方位引导单元	fangweiyindaodanyuan
方向滤波器	fangxianglvboqi
放象头	fangxiangtou
方向效应	fangxiangxiaoying
方向性	fangxiangxing
方向性增益	fangxiangxingzengyi
防斜插连接器	fangxiechalianjieqi
方形蓄电池	fangxingxudianchi
仿真器	fangzhenqi
仿真线	fangzhenxian
防撞雷达	fangzhuangleida
非本征	feibenzheng
非本征半导体	feibenzhengbandaoti
肺磁描记术	feicimiaojishu
飞点扫描仪	feidiansaomiaoyi
非共格晶界	feigonggejingjie
非互易网络	feihuyiwangluo
非互易移相器	feihuyiyixiangqi
非挥发性	feihuifaxing
非接触式掩模	feijiechushiyanmo
非晶磁性材料	feijingcixingcailiao
非晶硅	feijinggui
非晶态半导体	feijingtaibandaoti
非均匀展宽	feijunyunzhankuan
菲克方程	feikefangcheng
飞龙光电	feilongguangdian
非门	feimen
费米势	feimishi
菲涅耳等值线	feinieerdengzhixian
菲涅耳区	feinieerqu
菲涅耳数	feinieershu
非平衡载流子	feipinghengzailiuzi
非平面网络	feipingmianwangluo
非平稳信道	feipingwenxindao
非稳定谐振腔	feiwendingxiezhenqiang
非卧床监护	feiwochuangjianhu
非线绕电位器	feixianraodianweiqi
非线性光混频	feixianxingguanghunpin
非线性光学	feixianxingguangxue
非线性集成电路	feixianxingjichengdianlu
非线性鉴相器	feixianxingjianxiangqi
非线性失真	feixianxingshizhen
非线性网络	feixianxingwangluo
非相干检测	feixiangganjiance
飞行时间中子谱仪	feixingshijianzhongzipuyi
非阈逻辑	feiyuluoji
非匀相成核	feiyunxiangchenghe
飞针测试	feizhenceshi
非终结符	feizhongjiefu
非周期天线	feizhouqitianxian
非自持放电	feizichifangdian
分辨带宽	fenbiandaikuan
分辨力	fenbianli
分辨时间	fenbianshijian
分布参数网络	fenbucanshuwangluo
分步重复系统	fenbuchongfuxitong
分布电容	fenbudianrong
分布模型	fenbumoxing
分布目标	fenbumubiao
分布作用速调管	fenbuzuoyongsudiaoguan
分层	fenceng
纷刺煜卟庀蚱	fenciyubupizha
分割	fenge
粉红圈	fenhongquan
分集	fenji
分级设计法	fenjishejifa
分级网	fenjiwang
分接	fenjie
分离多径接收	fenliduojingjieshou
分离力	fenlili
分离连接器	fenlilianjieqi
分离折叠波导	fenlizhediebodao
分路器	fenluqi
分米波	fenmibo
分米波通信	fenmibotongxin
粉末电致发光	fenmodianzhifaguang
分凝	fenning
分凝系数	fenningxishu
分频	fenpin
分频器	fenpinqi
分散控制	fensankongzhi
分压分析器	fenyafenxiqi
分压力	fenyali
分压真空计	fenyazhenkongji
分用器	fenyongqi
分支点	fenzhidian
分支光缆	fenzhiguanglan
分支局	fenzhiju
分子泵	fenzibeng
分子电子学	fenzidianzixue
分子流	fenziliu
分子器件	fenziqijian
分子筛阱	fenzishaijing
分子束外延	fenzishuwaiyan
分子泻流	fenzixieliu
分子振荡器	fenzizhendangqi
分组交换	fenzujiaohuan
分组交换网	fenzujiaohuanwang
分组码	fenzuma
分组密码	fenzumima
分组装拆	fenzuzhuangchai
峰包功率	fengbaogonglv
峰点电压	fengdiandianya
峰化器	fenghuaqi
封口	fengkou
缝隙天线	fengxitianxian
峰值堵转电流	fengzhiduzhuandianliu
峰值功率计	fengzhigonglvji
峰值检波	fengzhijianbo
峰值检测	fengzhijiance
封装	fengzhuang
封装因子	fengzhuangyinzi
副瓣	fuban
副比特码	fubitema
覆箔板	fuboban
浮充电	fuchongdian
腹点	fudian
负电子亲和势	fudianziqinheshi
浮动安装连接器	fudonganzhuanglianjieqi
幅度	fudu
幅度变换器	fudubianhuanqi
幅度分析器	fudufenxiqi
幅度鉴别器	fudujianbieqi
幅度检波	fudujianbo
幅度噪声	fuduzaosheng
伏尔	fuer
负反馈	fufankui
负反馈放大器	fufankuifangdaqi
副反射器	fufansheqi
付费电视	fufeidianshi
敷粉阴极	fufenyinji
符号布图法	fuhaobutufa
复合	fuhe
复合靶	fuheba
复合控制	fuhekongzhi
复合目标	fuhemubiao
复合永磁体	fuheyongciti
氟化氢刻蚀	fuhuaqingkeshi
俘获载流子	fuhuozailiuzi
负极	fuji
复极化比	fujihuabi
附加信道广播	fujiaxindaoguangbo
附加业务	fujiayewu
副交换子	fujiaohuanzi
复接	fujie
弗拉索夫方程	fulasuofufangcheng
傅里叶分析仪	fuliyefenxiyi
幅频	fupin
复频率	fupinlv
幅频特性	fupintexing
浮栅	fushan
浮栅雪崩注入	fushanxuebengzhuru
负熵	fushang
辐射保护	fushebaohu
辐射报警装置	fushebaojingzhuangzhi
辐射测井装置	fushecejingzhuangzhi
辐射测量仪	fusheceliangyi
辐射传感器	fushechuanganqi
辐射电导率	fushediandaolv
辐射电阻	fushedianzu
辐射含量计	fushehanliangji
辐射计	fusheji
辐射加固	fushejiagu
辐射加固器件	fushejiaguqijian
辐射监测器	fushejianceqi
辐射能谱仪	fushenengpuyi
辐射器	fusheqi
辐射强度	fusheqiangdu
辐射试验	fusheshiyan
辐射损伤	fushesunshang
辐射探测器	fushetanceqi
辐射效率	fushexiaolv
辐射指示器	fushezhishiqi
复数磁导率	fushucidaolv
伏塔克	futake
副台	futai
伏特表	futebiao
浮脱工艺	futuogongyi
复位触发器	fuweichufaqi
负微分迁移率	fuweifenqianyilv
复位力	fuweili
服务等级	fuwudengji
负吸收	fuxishou
复现性	fuxianxing
幅相图	fuxiangtu
赋形波束天线	fuxingboshutianxian
负性光刻胶	fuxingguangkejiao
幅移键控	fuyijiankong
复印效应	fuyinxiaoying
复用模拟分量	fuyongmonifenliang
复用器	fuyongqi
复用转换	fuyongzhuanhuan
俘越二极管	fuyueerjiguan
负载	fuzai
负载比	fuzaibi
负载电压	fuzaidianya
负载特性	fuzaitexing
负载线	fuzaixian
辐照度	fuzhaodu
辐照复合	fuzhaofuhe
复帧	fuzhen
幅值控制	fuzhikongzhi
辅助参考脉冲	fuzhucankaomaichong
辅助腔	fuzhuqiang
附着	fuzhuo
负阻	fuzu
负阻效应	fuzuxiaoying
负阻振荡器	fuzuzhendangqi
盖革	gaige
改正性维护	gaizhengxingweihu
干版	ganban
干充电电池	ganchongdiandianchi
干法腐蚀	ganfafushi
干法刻蚀	ganfakeshi
干放电电池	ganfangdiandianchi
干封真空泵	ganfengzhenkongbeng
感抗	gankang
干扰测量仪	ganraoceliangyi
干扰方程	ganraofangcheng
干扰哨声	ganraoshaosheng
干涉仪天线	gansheyitianxian
干湿球温度计	ganshiqiuwenduji
干线放大器	ganxianfangdaqi
干氧氧化	ganyangyanghua
感应沟道	ganyinggoudao
感应同步器	ganyingtongbuqi
感应移相器	ganyingyixiangqi
刚管调制器	gangguantiaozhiqi
港口监视雷达	gangkoujianshileida
钢丝铠装	gangsikaizhuang
刚玉	gangyu
高场特性	gaochangtexing
高纯锗谱仪	gaochunzhepuyi
高度表	gaodubiao
高度空穴效应	gaodukongxuexiaoying
高分辨率版	gaofenbianlvban
高级用户电报	gaojiyonghudianbao
高阶模	gaojiemo
告警指令	gaojingzhiling
高能粒子谱仪	gaonenglizipuyi
高频变压器	gaopinbianyaqi
高频放大器	gaopinfangdaqi
高频放电	gaopinfangdian
高频通信	gaopintongxin
高清晰度	gaoqingxidu
高清晰度电视	gaoqingxidudianshi
高斯掺杂分布	gaosichanzafenbu
高斯束	gaosishu
高速充电	gaosuchongdian
锆钛酸铅陶瓷	gaotaisuanqiantaoci
高通滤波器	gaotonglvboqi
高温胶纸	gaowenjiaozhi
高温试验	gaowenshiyan
高效中继线	gaoxiaozhongjixian
高压电阻器	gaoyadianzuqi
高压硅堆	gaoyaguidui
高压可调谐	gaoyaketiaoxie
高压洗	gaoyaxi
高压氧化	gaoyayanghua
高阈逻辑	gaoyuluoji
高真空	gaozhenkong
铬版	geban
隔板	geban
铬带	gedai
镉汞电池	gegongdianchi
割集码	gejima
格拉斯霍夫数	gelasihuofushu
隔离变压器	gelibianyaqi
隔离岛	gelidao
隔离电容器	gelidianrongqi
隔离度	gelidu
隔离放大器	gelifangdaqi
隔离工艺	geligongyi
隔离孔	gelikong
隔离器	geliqi
格罗夫模型	geluofumoxing
格码	gema
隔膜	gemo
隔膜波导	gemobodao
隔膜真空计	gemozhenkongji
葛谋潘模型	gemoupanmoxing
镉镍蓄电池	geniexudianchi
个人通信网	gerentongxinwang
个人移动通信	gerenyidongtongxin
各向同性刻蚀	gexiangtongxingkeshi
各向同性媒质	gexiangtongxingmeizhi
各向异性刻蚀	gexiangyixingkeshi
各向异性媒质	gexiangyixingmeizhi
格型滤波器	gexinglvboqi
铬氧磁带	geyangcidai
镉银蓄电池	geyinxudianchi
隔直流电容器	gezhiliudianrongqi
格状网	gezhuangwang
根轨迹法	genguijifa
根梅尔	genmeier
跟踪	genzong
跟踪导频信号	genzongdaopinxinhao
跟踪雷达	genzongleida
汞池阴极	gongchiyinji
汞池整流管	gongchizhengliuguan
共淀积	gongdianji
弓度	gongdu
功放	gongfang
共格晶界	gonggejingjie
功函数	gonghanshu
汞弧整流管	gonghuzhengliuguan
共极化	gongjihua
共溅射	gongjianshe
共焦谐振腔	gongjiaoxiezhenqiang
共阶跨交	gongjiekuajiao
工具孔	gongjukong
共漏	gonglou
共路信令	gongluxinling
功率电子学	gonglvdianzixue
功率反射率	gonglvfanshelv
功率放大器	gonglvfangdaqi
功率分配器	gonglvfenpeiqi
功率管理	gonglvguanli
功率计	gonglvji
功率谱估计	gonglvpuguji
功率损耗	gonglvsunhao
功率透射率	gonglvtoushelv
共模输入	gongmoshuru
共模抑制比	gongmoyizhibi
共模增益	gongmozengyi
功能材料	gongnengcailiao
功能码	gongnengma
功能陶瓷	gongnengtaoci
功能性电刺激	gongnengxingdianciji
汞气管	gongqiguan
共溶	gongrong
共栅	gongshan
共射频率	gongshepinlv
共心谐振腔	gongxinxiezhenqiang
共形天线	gongxingtianxian
共形阵天线	gongxingzhentianxian
工序检验	gongxujianyan
工业标准总线	gongyebiaozhunzongxian
工业纯铁	gongyechuntie
工业电视	gongyedianshi
工业电子学	gongyedianzixue
工艺过程监测	gongyiguochengjiance
工艺模拟	gongyimoni
共用天线电视	gongyongtianxiandianshi
公用网	gongyongwang
共用网	gongyongwang
共源	gongyuan
共振	gongzhen
共振峰	gongzhenfeng
共振频率计	gongzhenpinlvji
共振腔	gongzhenqiang
共蒸发	gongzhengfa
公众网	gongzhongwang
工作比	gongzuobi
工作点	gongzuodian
工作稿	gongzuogao
工作母片	gongzuomupian
工作偏置	gongzuopianzhi
工作区	gongzuoqu
工作冗余	gongzuorongyu
工作时间	gongzuoshijian
工作站	gongzuozhan
沟槽	goucao
沟道掺杂	goudaochanza
沟道电流	goudaodianliu
沟道击穿	goudaojichuan
沟道技术	goudaojishu
沟道宽度	goudaokuandu
沟道缩短	goudaosuoduan
沟道效应	goudaoxiaoying
固定电感器	gudingdianganqi
固定电容器	gudingdianrongqi
固定电阻器	gudingdianzuqi
固定回波	gudinghuibo
固定连接器	gudinglianjieqi
骨架	gujia
谷间散射	gujiansanshe
固溶度	gurongdu
固溶体	gurongti
固溶体半导体	gurongtibandaoti
固态磁控管	gutaicikongguan
固态敏感器	gutaiminganqi
固态调制器	gutaitiaozhiqi
固体电路	gutidianlu
固体电子学	gutidianzixue
固体继电器	gutijidianqi
固体激光器	gutijiguangqi
固体钽电解电容器	gutitandianjiedianrongqi
固相外延	guxiangwaiyan
固相线	guxiangxian
固有滤过	guyoulvguo
固有品质因数	guyoupinzhiyinshu
固有误差	guyouwucha
故障率	guzhanglv
故障树分析	guzhangshufenxi
故障诊断	guzhangzhenduan
孤子激光器	guzijiguangqi
拐点灵敏度	guaidianlingmindu
观测器	guanceqi
观测值	guancezhi
观察者系数	guanchazhexishu
管壳	guanke
管理图	guanlitu
惯态面	guantaimian
管芯	guanxin
光泵	guangbeng
光泵浦	guangbengpu
光笔	guangbi
广播型图文	guangboxingtuwen
广播业务	guangboyewu
光参量放大	guangcanliangfangda
光参量振荡	guangcanliangzhendang
光掺杂	guangchanza
光磁效应	guangcixiaoying
光猝灭	guangcumie
光电池	guangdianchi
光电导	guangdiandao
光电导衰退	guangdiandaoshuaitui
光电导效应	guangdiandaoxiaoying
光电对抗	guangdianduikang
光电二极管	guangdianerjiguan
光电发射	guangdianfashe
光电化学电池	guangdianhuaxuedianchi
光电集成电路	guangdianjichengdianlu
光电晶体管	guangdianjingtiguan
光电离	guangdianli
光电效应	guangdianxiaoying
光电行波管	guangdianxingboguan
光电转换效率	guangdianzhuanhuanxiaolv
光电子学	guangdianzixue
光度学	guangduxue
光阀	guangfa
光法	guangfa
光发送机	guangfasongji
光伏器件	guangfuqijian
光伏效应	guangfuxiaoying
光隔离器	guanggeliqi
光孤子	guangguzi
光管	guangguan
光机扫描仪	guangjisaomiaoyi
光接收机	guangjieshouji
光开关	guangkaiguan
光刻	guangke
光刻工艺	guangkegongyi
光刻机	guangkeji
光刻胶	guangkejiao
光缆	guanglan
光缆连接器	guanglanlianjieqi
光零差探测	guanglingchatance
光滤波器	guanglvboqi
光敏感器	guangminganqi
光敏微晶玻璃	guangminweijingboli
光耦合隔离器	guangouhegeliqi
光耦合器	guangouheqi
光耦合器件	guangouheqijian
光偏置	guangpianzhi
光偏转	guangpianzhuan
光频标	guangpinbiao
光频频分复用	guangpinpinfenfuyong
光强调制	guangqiangtiaozhi
光栅扫描	guangshansaomiao
光时分复用	guangshifenfuyong
光视效率	guangshixiaolv
光视效能	guangshixiaoneng
光时域反射仪	guangshiyufansheyi
光衰减器	guangshuaijianqi
光调制器	guangtiaozhiqi
光同步网	guangtongbuwang
光通量	guangtongliang
光通信	guangtongxin
光外差探测	guangwaichatance
光纤	guangxian
光纤包层	guangxianbaoceng
光纤固定接头	guangxiangudingjietou
光纤激光器	guangxianjiguangqi
光纤连接器	guangxianlianjieqi
光纤敏感器	guangxianminganqi
光纤色散	guangxiansesan
光纤束	guangxianshu
光纤通信	guangxiantongxin
光纤陀螺	guangxiantuoluo
光纤综合网	guangxianzonghewang
光信息处理	guangxinxichuli
光学存储	guangxuecunchu
光学点	guangxuedian
光学绘图机	guangxuehuituji
光学双稳态器件	guangxueshuangwentaiqijian
光学谐振腔	guangxuexiezhenqiang
光学章动	guangxuezhangdong
广延	guangyan
广域网	guangyuwang
光跃迁	guangyueqian
光晕	guangyun
光致变色玻璃	guangzhibianseboli
光致变色性	guangzhibiansexing
光致抗蚀剂	guangzhikangshiji
光注入器	guangzhuruqi
光子	guangzi
光子回波	guangzihuibo
光子器件	guangziqijian
光自陷	guangzixian
硅靶视象管	guibashixiangguan
硅编译器	guibianyiqi
硅带生长	guidaishengzhang
轨道变压器	guidaobianyaqi
轨道电抗器	guidaodiankangqi
轨道高度	guidaogaodu
轨道管	guidaoguan
轨道接触器	guidaojiechuqi
轨道预报	guidaoyubao
规范文法	guifanwenfa
硅化物	guihuawu
硅化物栅	guihuawushan
硅汇编程序	guihuibianchengxu
硅太阳电池	guitaiyangdianchi
归一化探测率	guiyihuatancelv
归一化阻抗	guiyihuazukang
规约	guiyue
硅栅	guizha
滚槽法	guncaofa
滚动校正	gundongjiaozheng
滚降	gunjiang
过程控制	guochengkongzhi
过程平均	guochengpingjun
过冲	guochong
过渡带	guodudai
过渡电阻	guodudianzu
过渡振荡	guoduzhendang
过会聚	guohuiju
国家空管系统	guojiakongguanxitong
过零鉴别器	guolingjianbieqi
过流保护	guoliubaohu
过群聚	guoqunju
过剩载流子	guoshengzailiuzi
过压保护	guoyabaohu
海底通信	haiditongxin
氦镉激光器	haigejiguangqi
海军卫导系统	haijunweidaoxitong
海绵镍阴极	haimiannieyinji
氦氖激光器	hainaijiguangqi
海水激活电池	haishuijihuodianchi
焊垫	handian
焊弧	hanhu
焊接面	hanjiemian
汉明窗	hanmingchuang
汉明界	hanmingjie
汉明距离	hanmingjuli
汉明码	hanmingma
函数发生器	hanshufashengqi
行波天线	hangbotianxian
巷道	hangdao
巷道识别	hangdaoshibie
航海雷达	hanghaileida
行间转移	hangjianzhuanyi
航空电子学	hangkongdianzixue
行扫描	hangsaomiao
行输出变压器	hangshuchubianyaqi
航位推算导航	hangweituisuandaohang
航位推算法	hangweituisuanfa
航线监视雷达	hangxianjianshileida
航向信标	hangxiangxinbiao
行译码器	hangyimaqi
耗尽层	haojinceng
耗尽接触	haojinjiechu
耗尽近似	haojinjinsi
耗尽区	haojinqu
耗尽深度	haojinshendu
耗尽效应	haojinxiaoying
耗尽型逻辑	haojinxingluoji
毫米波	haomibo
毫米波通信	haomibotongxin
耗散功率	haosangonglv
耗散因数	haosanyinshu
耗损失效期	haosunshixiaoqi
核泵浦	hebengpu
和波束	heboshu
合成电阻器	hechengdianzuqi
合成孔径	hechengkongjing
合成孔径雷达	hechengkongjingleida
合成扫频发生器	hechengsaopinfashengqi
合成碳膜电位器	hechengtanmodianweiqi
核磁共振	hecigongzhen
核磁共振探测器	hecigongzhentanceqi
核电池	hedianchi
核电子学	hedianzixue
赫尔维茨判据	heerweicipanju
合格品	hegepin
合金二极管	hejinerjiguan
合金结	hejinjie
合金结器件	hejinjieqijian
合金晶体管	hejinjingtiguan
合路器	heluqi
核乳胶	herujiao
盒式放像机	heshifangxiangji
盒式录象机	heshiluxiangji
盒式录音机	heshiluyinji
盒式透镜	heshitoujing
核素成象	hesuchengxiang
核素扫描机	hesusaomiaoji
核听诊器	hetingzhenqi
盒形天线	hexingtianxian
黑白电视	heibaidianshi
黑白显象管	heibaixianxiangguan
黑底	heidi
黑底屏	heidiping
黑化还原	heihuahuanyuan
黑晕	heiyun
恒比鉴别器	hengbijianbieqi
横波	hengbo
横差动保护	hengchadongbaohu
横磁模	hengcimo
横电磁波室	hengdianciboshi
横电磁模	hengdiancimo
横电模	hengdianmo
恒定源扩散	hengdingyuankuosan
横模	hengmo
横模锁定	hengmosuoding
横模选择	hengmoxuanze
恒温恒湿试验	hengwenhengshishiyan
横向场	hengxiangchang
横向磁场	hengxiangcichang
横向寄生晶体管	hengxiangjishengjingtiguan
横向滤波器	hengxianglvboqi
恒向线	hengxiangxian
横向压电效应	hengxiangyadianxiaoying
恒虚警率	hengxujinglv
红宝石激光器	hongbaoshijiguangqi
宏单元	hongdanyuan
红外干涉法	hongwaiganshefa
红外行扫描仪	hongwaihangsaomiaoyi
红外键合	hongwaijianhe
红外前视系统	hongwaiqianshixitong
红外夜视系统	hongwaiyeshixitong
轰炸雷达	hongzhaleida
后焊	houhan
后烘	houhong
后继	houji
厚膜技术	houmojishu
厚膜浆料	houmojiangliao
后缀码	houzhuima
弧光放电	huguangfangdian
弧光放电管	huguangfangdianguan
互连	hulian
互连延时	hulianyanshi
互谱	hupu
互熵	hushang
呼损	husun
互调	hutiao
互同步网	hutongbuwang
互通性	hutongxing
护尾雷达	huweileida
互相连通	huxiangliantong
互信息	huxinxi
互易定理	huyidingli
互易网络	huyiwangluo
滑动负载	huadongfuzai
化合物	huahewu
化合物半导体	huahewubandaoti
划片	huapian
划片格	huapiange
滑行时间	huaxingshijian
化学泵浦	huaxuebengpu
化学电源	huaxuedianyuan
化学腐蚀法	huaxuefushifa
化学激光器	huaxuejiguangqi
化学计量	huaxuejiliang
化学机械抛光	huaxuejixiepaoguang
化学敏感器	huaxueminganqi
化学抛光	huaxuepaoguang
化学汽相淀积	huaxueqixiangdianji
化学液相淀积	huaxueyexiangdianji
滑移带	huayidai
滑移面	huayimian
话音激活	huayinjihuo
缓变沟道	huanbiangoudao
缓变结晶粒	huanbianjiejingli
缓冲电池组	huanchongdianchizu
缓冲放大器	huanchongfangdaqi
环磁导率	huancidaolv
环境剂量计	huanjingjiliangji
