阿莫科国际石油公司	amokeguojishiyougongsi
计量分离器关断盘	jiliangfenliqiguanduanpan
己内酰胺	jineixianan
奇偶校验	jioujiaoyan
基盘调平工具	jipantiaopinggongju
集气站	jiqizhan
汲取	jiqu
挤水泥	jishuini
挤水泥封隔器	jishuinifenggeqi
计算长度	jisuanchangdu
计算机化动力仪	jisuanjihuadongliyi
己烯	jixi
极限产量	jixianchanliang
极限含水率	jixianhanshuilv
基线校正	jixianjiaozheng
机械传动	jixiechuandong
机械堵水	jixiedushui
机械加压割断岩心	jixiejiayageduanyanxin
机械油	jixieyou
机械钻速	jixiezuansu
极性逆转	jixingnizhuan
继续钻井	jixuzuanjing
挤压背斜油气藏	jiyabeixieyouqicang
挤压聚乙烯防腐层	jiyajuyixifangfuceng
基岩油气藏	jiyanyouqicang
记忆分量	jiyifenliang
机油	jiyou
集油器	jiyouqi
激振器	jizhenqi
集中处理站	jizhongchulizhan
基准线以上	jizhunxianyishang
甲苯	jiaben
甲苯氧化	jiabenyanghua
假层理	jiacengli
加长喷嘴钻头	jiachangpenzuizuantou
甲醇氨脱水	jiachunantuoshui
加工装置检修停运	jiagongzhuangzhijianxiutingyun
甲基叔丁基醚	jiajishudingjimi
甲基异丁基酮	jiajiyidingjitong
甲基异丁基酮蜡脱油	jiajiyidingjitonglatuoyou
加利福尼亚	jialifuniya
甲硫氨酸	jialiuansuan
甲硫醇	jialiuchun
甲硫醚	jialiumi
加密井	jiamijing
加拿大石油地质学家学会	jianadashiyoudizhixuejiaxuehui
加拿大天然气和石油协会	jianadatianranqiheshiyouxiehui
加强筋	jiaqiangjin
加氢补充精制	jiaqingbuchongjingzhi
加氢裂化催化剂	jiaqingliehuacuihuaji
加氢脱硫	jiaqingtuoliu
加氢脱硫过程	jiaqingtuoliuguocheng
加氢脱烷基催化剂	jiaqingtuowanjicuihuaji
甲醛	jiaquan
甲醛和乙醛醛醇缩合	jiaquanheyiquanquanchunsuohe
加热炉	jiarelu
加热盘管	jiarepanguan
加热输送	jiareshusong
架式矿机	jiashikuangji
加速老化试验	jiasulaohuashiyan
加填料的硫化橡胶	jiatianliaodeliuhuaxiangjiao
甲乙酮脱蜡	jiayitongtuola
间苯二酚	jianbenerfen
检查片	jianchapian
检查样片	jianchayangpian
渐次发出	jiancifachu
间二甲苯	jianerjiaben
间二甲苯裂趸	jianerjiabenliedun
间隔基盘	jiangejipan
间接解释标志	jianjiejieshibiaozhi
间接脱硫	jianjietuoliu
监控和数据采集系统	jiankongheshujucaijixitong
检硫醇试验	jianliuchunshiyan
检流计	jianliuji
检流计系统	jianliujixitong
碱木质素	jianmuzhisu
建设性三角洲	jianshexingsanjiaozhou
监视记录	jianshijilu
碱洗	jianxi
碱洗塔	jianxita
间歇抽油	jianxiechouyou
间歇气举	jianxieqiju
间歇注水	jianxiezhushui
间歇自喷	jianxiezipen
碱性岩类	jianxingyanlei
减压馏程	jianyaliucheng
减压渣油	jianyazhayou
减粘裂化	jianzhanliehua
碱值	jianzhi
降解石油	jiangjieshiyou
降频扫描	jiangpinsaomiao
桨式搅拌器	jiangshijiaobanqi
降斜	jiangxie
浆液反应器	jiangyefanyingqi
降甾烷	jiangzaiwan
搅拌器	jiaobanqi
绞车	jiaoche
绞车传感器	jiaochechuanganqi
绞车功率	jiaochegonglv
绞车猫头	jiaochemaotou
交代作用	jiaodaizuoyong
校后时距曲线	jiaohoushijuquxian
交会图技术	jiaohuitujishu
胶结指数	jiaojiezhishu
铰接柱	jiaojiezhu
胶结作用	jiaojiezuoyong
角砾岩	jiaoliyan
交联	jiaolian
交流成分	jiaoliuchengfen
交流磁偶极子场	jiaoliucioujizichang
交流电	jiaoliudian
交流电法	jiaoliudianfa
交流电弧焊	jiaoliudianhuhan
交流电偶极场	jiaoliudianoujichang
交流电偶极子	jiaoliudianoujizi
交流电驱动钻机	jiaoliudianqudongzuanji
交流腐蚀	jiaoliufushi
交流干扰	jiaoliuganrao
交流继电器	jiaoliujidianqi
焦硫酸盐	jiaoliusuanyan
角鲨烷	jiaoshawan
胶体安定性	jiaotiandingxing
校正法	jiaozhengfa
胶质	jiaozhi
交直流镀覆耐蚀铝	jiaozhiliudufunaishilv
交直流两用弧焊机	jiaozhiliuliangyonghuhanji
校直试验	jiaozhishiyan
接触胶结	jiechujiaojie
接触角滞后	jiechujiaozhihou
阶地	jiedi
接地垫	jiedidian
节点系统分析	jiedianxitongfenxi
介杆	jiegan
解卡浸泡液	jiekajinpaoye
节流压力	jieliuyali
节流致冷	jieliuzhileng
接收点	jieshoudian
接收机动态范围	jieshoujidongtaifanwei
截止阀	jiezhifa
近场	jinchang
近程定位系统	jinchengdingweixitong
近代数组转换处理机	jindaishuzuzhuanhuanchuliji
紧密距	jinmiju
浸蚀	jinshi
金属钝化剂	jinshudunhuaji
金属软管	jinshuruanguan
紧线钳	jinxianqian
禁止门	jinzhimen
井壁取心	jingbiquxin
井壁污染	jingbiwuran
晶簇洞穴	jingcudongxue
井底定向接头	jingdidingxiangjietou
井底压力	jingdiyali
井底压力曲线	jingdiyaliquxian
静电积累	jingdianjilei
净化	jinghua
净化水缓冲罐	jinghuashuihuanchongguan
井架	jingjia
井架安装车	jingjiaanzhuangche
井架公称高度	jingjiagongchenggaodu
井架下底尺寸	jingjiaxiadichicun
晶间腐蚀	jingjianfushi
井间示踪剂测试	jingjianshizongjiceshi
静校正量	jingjiaozhengliang
井距	jingju
井控模拟器	jingkongmoniqi
井口连接器	jingkoulianjieqi
井口帽	jingkoumao
井口模块	jingkoumokuai
井口时间校正	jingkoushijianjiaozheng
径流系数	jingliuxishu
井内酸处理	jingneisuanchuli
井喷	jingpen
净气	jingqi
精确定层	jingquedingceng
精确位置显示器	jingqueweizhixianshiqi
静水压力	jingshuiyali
井网密度	jingwangmidu
井位	jingwei
井位标	jingweibiao
井下安全阀	jingxiaanquanfa
井下测量	jingxiaceliang
井下磁力仪	jingxiaciliyi
井下电子压力计	jingxiadianziyaliji
井下流量计	jingxialiuliangji
井下配产器	jingxiapeichanqi
井下配水嘴	jingxiapeishuizui
井下声波电视测井	jingxiashengbodianshicejing
井下轴流涡轮泵	jingxiazhouliuwolunbeng
径向微差井温测井	jingxiangweichajingwencejing
井斜测井	jingxiecejing
井斜测量	jingxieceliang
井斜方位角	jingxiefangweijiao
井斜漂移	jingxiepiaoyi
井斜平面图	jingxiepingmiantu
静压梯度	jingyatidu
井眼	jingyan
井眼条件	jingyantiaojian
镜质组反射率	jingzhizufanshelv
镜质组反射率测定	jingzhizufanshelvceding
井组动态分析	jingzudongtaifenxi
聚丙烯酸酯	jubingxisuanzhi
聚丙烯无规共聚物	jubingxiwuguigongjuwu
局部图象放大	jubutuxiangfangda
聚对苯二甲酸丁二醇酯	juduibenerjiasuandingerchunzhi
聚二甲基硅氧烷	juerjiajiguiyangwan
聚合催化剂	juhecuihuaji
聚合剂加入器	juhejijiaruqi
聚合物减阻	juhewujianzu
聚季铵盐	jujianyan
聚硫橡胶	juliuxiangjiao
聚氯乙烯纤维	julvyixixianwei
聚能射孔弹	junengshekongdan
聚酰胺纤维	juxiananxianwei
局限海	juxianhai
聚氧乙烯烷基醇醚	juyangyixiwanjichunmi
聚氧乙烯酰胺	juyangyixixianan
聚已二酰已二胺	juyierxianyieran
聚乙烯	juyixi
聚酯	juzhi
绝对高度	jueduigaodu
绝对渗透率	jueduishentoulv
绝对升限	jueduishengxian
绝对误差	jueduiwucha
绝对无阻流量	jueduiwuzuliuliang
绝缘胶冻裂点	jueyuanjiaodongliedian
绝缘接头	jueyuanjietou
卡塔尔	kataer
卡瓦	kawa
卡西尼重力公式	kaxinizhongligongshi
卡钻	kazuan
开发层系	kaifacengxi
开发储量	kaifachuliang
开发方式	kaifafangshi
开发先导试验区	kaifaxiandaoshiyanqu
开发钻井	kaifazuanjing
开关柜与电机控制中心模块	kaiguanguiyudianjikongzhizhongxinmokuai
开合桥	kaiheqiao
开票后	kaipiaohou
开票人	kaipiaoren
开式油气收集工艺	kaishiyouqishoujigongyi
铠装的	kaizhuangde
勘探成本	kantanchengben
抗干扰	kangganrao
抗滑稳性	kanghuawenxing
抗磨添加剂	kangmotianjiaji
抗磨性	kangmoxing
康氏残炭测定仪	kangshicantancedingyi
靠近北极区开采的石油	kaojinbeijiqukaicaideshiyou
可动油图	kedongyoutu
刻度井	kedujing
可纺性	kefangxing
可解脱式系泊系统	kejietuoshijiboxitong
可控硅整流直流电驱动钻机	kekongguizhengliuzhiliudianqudongzuanji
可控源声频大地电磁法	kekongyuanshengpindadidiancifa
可控震源法	kekongzhenyuanfa
克拉通	kelatong
可拉性	kelaxing
可燃度极限	kerandujixian
可燃气探测系统	keranqitancexitong
可燃气体浓度	keranqitinongdu
可染性	keranxing
可燃有机岩	keranyoujiyan
可退开的捞矛	ketuikaidelaomao
科威特	keweite
可泄油体积	kexieyoutiji
可移式底座	keyishidizuo
坑道采矿法	kengdaocaikuangfa
坑蚀	kengshi
空船排水量	kongchuanpaishuiliang
空对海搜索雷达	kongduihaisousuoleida
孔腹	kongfu
空气动力中心	kongqidonglizhongxin
空气调节	kongqitiaojie
空气污染	kongqiwuran
空气压缩机	kongqiyasuoji
空气钻井	kongqizuanjing
孔隙大小分布	kongxidaxiaofenbu
孔隙结构	kongxijiegou
孔隙结构各向异性	kongxijiegougexiangyixing
孔隙型储集层	kongxixingchujiceng
空运的	kongyunde
空中位置显示器	kongzhongweizhixianshiqi
库埃特流	kuaiteliu
块状熔岩流	kuaizhuangrongyanliu
扩散深度	kuosanshendu
拉拔机机头	labajijitou
喇叭口短节	labakouduanjie
拉拔模孔	labamokong
拉拨机	laboji
蜡堵	ladu
拉杆	lagan
拉紧螺栓	lajinluoshuan
拉伸变形丝	lashenbianxingsi
拉伸共振	lashengongzhen
拉伸机	lashenji
拉伸机架	lashenjijia
拉伸加捻	lashenjianian
拉伸加捻机	lashenjianianji
拉伸加捻机构	lashenjianianjigou
拉伸加捻筒管	lashenjianiantongguan
拉伸加热板	lashenjiareban
拉伸络丝	lashenluosi
拉伸盘	lashenpan
拉伸区	lashenqu
拉伸热处理	lashenrechuli
拉伸丝束	lashensishu
拉伸压力机	lashenyaliji
拉伸一变形工艺	lashenyibianxinggongyi
拉伸应力	lashenyingli
拉制钢	lazhigang
拉制管	lazhiguan
蓝灰砂岩	lanhuishayan
拦油栅	lanyoushan
捞锚钩	laomaogou
捞网	laowang
姥植比	laozhibi
勒夫波	lefubo
累积生产气油比	leijishengchanqiyoubi
累积注水量	leijizhushuiliang
累加寄存器	leijiajicunqi
类异戊二烯	leiyiwuerxi
冷拔管	lengbaguan
冷工作业	lenggongzuoye
冷凝液罐	lengningyeguan
冷却器	lengqueqi
里德蒸气压	lidezhengqiya
粒度累积分布曲线	liduleijifenbuquxian
立管	liguan
沥青	liqing
沥青测量	liqingceliang
沥青基石油	liqingjishiyou
沥青类	liqinglei
沥青脉	liqingmai
沥青溶解度	liqingrongjiedu
沥青塞封闭油藏	liqingsaifengbiyoucang
历史拟合	lishinihe
立体异构化	litiyigouhua
离心过滤机	lixinguolvji
链尺定距	lianchidingju
连二硫酸	lianerliusuan
连二亚硫酸钠甲醛	lianeryaliusuannajiaquan
连二亚硫酸盐	lianeryaliusuanyan
廉价石油	lianjiashiyou
镰箭牙形石属	lianjianyaxingshishu
联接	lianjie
连接盒	lianjiehe
联井	lianjing
联立解法	lianlijiefa
链条并车箱	liantiaobingchexiang
链条抽油机	liantiaochouyouji
连续催化重整	lianxucuihuachongzheng
连续气举设备	lianxuqijushebei
镰牙形石属	lianyaxingshishu
炼油厂	lianyouchang
帘子幕	lianzimu
两相流	liangxiangliu
两翼刮刀钻头	liangyiguadaozuantou
裂缝孔隙度分布指数	liefengkongxidufenbuzhishu
裂缝强度指数	liefengqiangduzhishu
裂缝延伸	liefengyanshen
裂缝延伸长度	liefengyanshenchangdu
裂缝油气藏	liefengyouqicang
裂缝指数	liefengzhishu
裂解焦油	liejiejiaoyou
邻层影响	lincengyingxiang
邻二甲苯	linerjiaben
临界点	linjiedian
临界距离	linjiejuli
临界量	linjieliang
临界压力	linjieyali
临界盐度	linjieyandu
临界阻尼	linjiezuni
膦酸盐防垢剂	linsuanyanfanggouji
零长	lingchang
零点漂移曲线	lingdianpiaoyiquxian
流变行为指数	liubianxingweizhishu
流变学	liubianxue
馏程	liucheng
流出动态曲线	liuchudongtaiquxian
硫醇	liuchun
硫醇硫	liuchunliu
硫醇盐	liuchunyan
流动度控制剂	liudongdukongzhiji
流动势	liudongshi
六方钻杆	liufangzuangan
硫硅碱钙石	liuguijiangaishi
硫化钙	liuhuagai
硫化氢	liuhuaqing
硫化氢腐蚀	liuhuaqingfushi
硫化氢探测器	liuhuaqingtanceqi
硫化氢脱除	liuhuaqingtuochu
硫化铁	liuhuatie
硫化物应力开裂	liuhuawuyinglikailie
硫化橡胶	liuhuaxiangjiao
硫化亚铁	liuhuayatie
硫回收尾气低温吸附过程	liuhuishouweiqidiwenxifuguocheng
硫沥青	liuliqing
流量计	liuliangji
硫镁矾	liumeifan
硫氢氮沥青	liuqingdanliqing
硫容量	liurongliang
流砂	liusha
硫砷铜矿	liushentongkuang
硫酸二联氨酯	liusuanerliananzhi
硫酸钙	liusuangai
硫酸钴	liusuangu
硫酸钾	liusuanjia
硫酸甲醛值	liusuanjiaquanzhi
硫酸镁	liusuanmei
硫酸氢丁酯	liusuanqingdingzhi
硫酸氢盐	liusuanqingyan
硫酸铁	liusuantie
硫酸铜	liusuantong
硫酸铜处理	liusuantongchuli
硫酸铜电极	liusuantongdianji
硫酸亚铁	liusuanyatie
硫酸盐还原菌	liusuanyanhuanyuanjun
流体参数	liuticanshu
流体密度	liutimidu
流线型抽油泵	liuxianxingchouyoubeng
流向	liuxiang
流型	liuxing
流域盆地	liuyupendi
流域特征	liuyutezheng
流域综合特征	liuyuzonghetezheng
鲁茨流量计	luciliuliangji
露点曲线	ludianquxian
卤化烃喷嘴	luhuatingpenzui
卤化烃瓶	luhuatingping
卤化烃释放报警铃	luhuatingshifangbaojingling
陆壳型盆地	lukexingpendi
露天甲板	lutianjiaban
陆相	luxiang
轮数	lunshu
螺杆	luogan
罗经段	luojingduan
螺纹牙高量表	luowenyagaoliangbiao
裸眼单封隔器测试管柱	luoyandanfenggeqiceshiguanzhu
裸眼封隔器	luoyanfenggeqi
裸眼井	luoyanjing
裸眼井测井	luoyanjingcejing
氯苯	lvben
滤饼	lvbing
滤饼厚度	lvbinghoudu
氯仿沥青	lvfangliqing
滤干器	lvganqi
氯化石蜡	lvhuashila
铝基润滑脂	lvjirunhuazhi
滤液酚酞碱度	lvyefentaijiandu
氯乙烯乳液聚合	lvyixiruyejuhe
马达法辛烷值	madafaxinwanzhi
马达驱动稳定器	madaqudongwendingqi
马斯卡特法	masikatefa
脉冲反褶积	maichongfanzheji
脉冲宽度调制	maichongkuandutiaozhi
幔源气	manyuanqi
锚标	maobiao
冒地斜棱柱体	maodixielengzhuti
毛管力	maoguanli
锚架	maojia
锚链张紧器	maolianzhangjinqi
毛细管粘度计	maoxiguannianduji
毛细管压力曲线	maoxiguanyaliquxian
毛细管阈压	maoxiguanyuya
煤成气	meichengqi
镁电气石	meidianqishi
美孚石油公司	meifushiyougongsi
美国阿特拉斯计算机基本语言	meiguoatelasijisuanjijibenyuyan
美国标准局	meiguobiaozhunju
美国材料试验协会	meiguocailiaoshiyanxiehui
美国成本工程师协会	meiguochengbengongchengshixiehui
美国船级社	meiguochuanjishe
美国第四纪研究协会	meiguodisijiyanjiuxiehui
美国电气工程师协会	meiguodianqigongchengshixiehui
美国工程师协会	meiguogongchengshixiehui
美国广播系统	meiguoguangboxitong
美国机床制造商协会	meiguojichuangzhizaoshangxiehui
美国金属定义学会	meiguojinshudingyixuehui
美国金属学会	meiguojinshuxuehui
美国科学促进会	meiguokexuecujinhui
美国科学工作者协会	meiguokexuegongzuozhexiehui
美国科学院	meiguokexueyuan
美国润滑工程师学会	meiguorunhuagongchengshixuehui
美国石油地质学家协会	meiguoshiyoudizhixuejiaxiehui
美国石油工业委员会	meiguoshiyougongyeweiyuanhui
美国石油化学家学会	meiguoshiyouhuaxuejiaxuehui
美国石油实验法	meiguoshiyoushiyanfa
美国石油协会	meiguoshiyouxiehui
美国石油协会色度	meiguoshiyouxiehuisedu
美国石油学会	meiguoshiyouxuehui
美国石油学会标准	meiguoshiyouxuehuibiaozhun
美国石油学会标准分离器	meiguoshiyouxuehuibiaozhunfenliqi
美国石油学会标准接头	meiguoshiyouxuehuibiaozhunjietou
美国石油学会标准链条	meiguoshiyouxuehuibiaozhunliantiao
美国石油学会标准钻杆螺纹	meiguoshiyouxuehuibiaozhunzuanganluowen
美国石油学会出版物	meiguoshiyouxuehuichubanwu
美国石油学会的标准	meiguoshiyouxuehuidebiaozhun
美国石油学会伽马测井标准单位	meiguoshiyouxuehuigamacejingbiaozhundanwei
美国石油学会公差	meiguoshiyouxuehuigongcha
美国石油学会规定之原油重度	meiguoshiyouxuehuiguidingzhiyuanyouzhongdu
美国石油学会规范	meiguoshiyouxuehuiguifan
美国石油学会试验程序	meiguoshiyouxuehuishiyanchengxu
美国石油学会石油安全数据	meiguoshiyouxuehuishiyouanquanshuju
美国石油学会通报	meiguoshiyouxuehuitongbao
美国石油学会推荐作法	meiguoshiyouxuehuituijianzuofa
美国石油学会液体比重计	meiguoshiyouxuehuiyetibizhongji
美国石油学会油管螺纹	meiguoshiyouxuehuiyouguanluowen
美国石油学会中子测井标准单位	meiguoshiyouxuehuizhongzicejingbiaozhundanwei
美国线径规	meiguoxianjinggui
美国油井钻井承包商协会	meiguoyoujingzuanjingchengbaoshangxiehui
美国州属地质家协会	meiguozhoushudizhijiaxiehui
美国专利	meiguozhuanli
美国自动控制委员会	meiguozidongkongzhiweiyuanhui
煤焦油	meijiaoyou
每英寸士扣	meiyingcunshikou
煤油	meiyou
美元石油	meiyuanshiyou
媒组	meizu
蒙特卡洛法	mengtekaluofa
密闭输送流程	mibishusongliucheng
密度测井刻度块	miducejingkedukuai
密度温度系数	miduwenduxishu
密封适应性	mifengshiyingxing
醚化剂	mihuaji
幂律流体	milvliuti
弥散流	misanliu
面积波及系数	mianjibojixishu
面元划分	mianyuanhuafen
鸣震	mingzhen
鸣震波	mingzhenbo
末端阀	moduanfa
磨料	moliao
模拟计算机	monijisuanji
模拟移动床分离器	moniyidongchuangfenliqi
墨西哥石油地质家协会	moxigeshiyoudizhijiaxiehui
磨铣工具	moxigongju
模型模拟	moxingmoni
模型预演	moxingyuyan
摩阻损失	mozusunshi
摩阻系数	mozuxishu
目标自动识别	mubiaozidongshibie
木质	muzhi
奈奎斯特频率	naikuisitepinlv
耐摩擦色牢度	naimocaselaodu
耐磨损材料	naimosuncailiao
耐气候色牢度	naiqihouselaodu
耐液体性	naiyetixing
耐油性	naiyouxing
内波纹管隔热管	neibowenguangereguan
内对口器	neiduikouqi
内径规	neijinggui
内克拉通盆地	neikelatongpendi
内涂层油管	neitucengyouguan
内涂层钻杆	neitucengzuangan
能油比	nengyoubi
拟定	niding
泥火山气	nihuoshanqi
泥浆波	nijiangbo
泥浆池容积	nijiangchirongji
泥浆池液面指示器	nijiangchiyemianzhishiqi
泥浆池液体增量	nijiangchiyetizengliang
泥浆处理系统	nijiangchulixitong
泥浆电阻率	nijiangdianzulv
泥浆罐	nijiangguan
泥浆搅拌器	nijiangjiaobanqi
泥浆流	nijiangliu
泥浆气体分离器	nijiangqitifenliqi
泥石流沉积	nishiliuchenji
逆时偏移	nishipianyi
泥线悬挂器	nixianxuanguaqi
拟压力	niyali
泥岩	niyan
泥质指示	nizhizhishi
年产量	nianchanliang
年代地层学	niandaidicengxue
粘度指数改进剂	nianduzhishugaijinji
粘合剂	nianheji
粘土防膨剂	niantufangpengji
粘土膨胀	niantupengzhang
粘土侵	niantuqin
脲醛树脂	niaoquanshuzhi
凝固时间	ninggushijian
凝析气	ningxiqi
凝析气油比	ningxiqiyoubi
牛轭湖沉积	niuehuchenji
扭曲形结构	niuquxingjiegou
扭压盆地	niuyapendi
浓硫酸	nongliusuan
挪威国家石油公司	nuoweiguojiashiyougongsi
挪威石油董事会	nuoweishiyoudongshihui
挪威石油学会	nuoweishiyouxuehui
偶极矩	oujiju
偶极子反射率	oujizifanshelv
欧佩克	oupeike
欧洲石油地学家和工程师协会	ouzhoushiyoudixuejiahegongchengshixiehui
欧洲石油地质学家协会	ouzhoushiyoudizhixuejiaxiehui
排出空气包	paichukongqibao
排出水	paichushui
排出物	paichuwu
排出油品	paichuyoupin
排放罐	paifangguan
排放收集器	paifangshoujiqi
排放速率	paifangsulv
排量	pailiang
排列系数	pailiexishu
排流	pailiu
排流连接线	pailiulianjiexian
排流试验	pailiushiyan
排驱	paiqu
排水道	paishuidao
排水法	paishuifa
排水工	paishuigong
排水沟	paishuigou
排水器	paishuiqi
排水期	paishuiqi
排水区	paishuiqu
排水设备	paishuishebei
排水系统	paishuixitong
排替压力	paitiyali
排泄表面	paixiebiaomian
排泄毛细管压力	paixiemaoxiguanyali
排泄曲率	paixiequlv
排泄式驱替	paixieshiquti
排泄压力	paixieyali
排泄锥面	paixiezhuimian
排液点	paiyedian
排液盘	paiyepan
排液瓦管	paiyewaguan
排油泵	paiyoubeng
排油管	paiyouguan
泡点曲线	paodianquxian
炮井	paojing
泡帽塔	paomaota
泡沫发生器	paomofashengqi
泡沫灭火器	paomomiehuoqi
泡沫炮遥控盘	paomopaoyaokongpan
泡沫水泥	paomoshuini
泡沫水枪	paomoshuiqiang
泡沫站	paomozhan
泡沫钻井液	paomozuanjingye
抛绳装置	paoshengzhuangzhi
抛丸	paowan
炮眼充填	paoyanchongtian
配产配注	peichanpeizhu
盆地分析	pendifenxi
盆底扇	pendishan
喷淋塔	penlinta
喷砂嘴	penshazui
喷射泵	penshebeng
喷射钻井	penshezuanjing
喷霜	penshuang
喷嘴	penzui
碰固定口	penggudingkou
膨润土罐	pengruntuguan
碰压接箍	pengyajiegu
膨胀水泥	pengzhangshuini
皮肤毒性	pifuduxing
披覆褶皱	pifuzhezhou
披盖	pigai
披盖背斜油气藏	pigaibeixieyouqicang
披盖不整合	pigaibuzhenghe
披盖构造	pigaigouzao
披盖圈闭	pigaiquanbi
披盖式褶皱	pigaishizhezhou
披盖褶皱	pigaizhezhou
批量控制器	piliangkongzhiqi
皮碗式封隔器	piwanshifenggeqi
偏苯三甲酸三辛酯	pianbensanjiasuansanxinzhi
偏差	piancha
偏航	pianhang
偏离	pianli
偏离预定方向的井眼	pianliyudingfangxiangdejingyan
偏流角	pianliujiao
偏心短节	pianxinduanjie
偏心配水器	pianxinpeishuiqi
偏心器	pianxinqi
偏亚硫酸氢盐	pianyaliusuanqingyan
偏移不足	pianyibuzu
偏移测量仪	pianyiceliangyi
偏移校正剖面	pianyijiaozhengpoumian
偏重钻铤	pianzhongzuanting
漂程	piaocheng
漂浮软管	piaofuruanguan
漂砾	piaoli
漂流砂	piaoliusha
漂流水雷	piaoliushuilei
漂流物	piaoliuwu
漂移补偿	piaoyibuchang
漂移方向	piaoyifangxiang
漂移海滩	piaoyihaitan
漂移空间	piaoyikongjian
漂移力	piaoyili
漂移连测点	piaoyiliancedian
漂移流动模型	piaoyiliudongmoxing
漂移率	piaoyilv
漂移期	piaoyiqi
漂移说	piaoyishuo
漂移速度	piaoyisudu
漂移消除	piaoyixiaochu
飘移效应	piaoyixiaoying
漂移修正	piaoyixiuzheng
漂移岩屑	piaoyiyanxie
漂移载荷	piaoyizaihe
频带宽度	pindaikuandu
频率漂移	pinlvpiaoyi
频率效应百分数	pinlvxiaoyingbaifenshu
频率域测深	pinlvyuceshen
频散关系	pinsanguanxi
屏蔽电极	pingbidianji
平衡点	pinghengdian
平衡井底压力法	pinghengjingdiyalifa
平衡流速	pinghengliusu
平衡正切法	pinghengzhengqiefa
平均深度	pingjunshendu
平均压力	pingjunyali
屏流比	pingliubi
平面波分解	pingmianbofenjie
平面径向流	pingmianjingxiangliu
平面偏振	pingmianpianzhen
平台海岸无线电系统	pingtaihaianwuxiandianxitong
平头管子	pingtouguanzi
平行结构	pingxingjiegou
平行油管柱装置	pingxingyouguanzhuzhuangzhi
破冰船	pobingchuan
坡积	poji
破损稳性	posunwenxing
剖面形式	poumianxingshi
气藏气	qicangqi
气测井	qicejing
七侧向测井	qicexiangcejing
弃船	qichuan
气顶驱动	qidingqudong
气动动力钳	qidongdongliqian
气动摩擦离合器	qidongmocaliheqi
气动平衡	qidongpingheng
气灰分离器	qihuifenliqi
弃井	qijing
气井产能	qijingchanneng
气举成沟法	qijuchenggoufa
气举阀	qijufa
气举管柱	qijuguanzhu
气举启动压力	qijuqidongyali
汽轮机油	qilunjiyou
气苗	qimiao
漆膜	qimo
起泡	qipao
气泡比	qipaobi
气泡流	qipaoliu
气枪控制器	qiqiangkongzhiqi
气枪震源	qiqiangzhenyuan
气砂锚	qishamao
汽蚀	qishi
气锁	qisuo
气锁水泥	qisuoshuini
气体净化	qitijinghua
气体净化催化剂	qitijinghuacuihuaji
气体硫化	qitiliuhua
汽提塔	qitita
气田集气流程	qitianjiqiliucheng
气团流	qituanliu
起下钻泥浆罐	qixiazuannijiangguan
气相饱和度	qixiangbaohedu
气液两相流	qiyeliangxiangliu
汽油机油	qiyoujiyou
起钻	qizuan
浅海地震勘探	qianhaidizhenkantan
前积反射结构	qianjifanshejiegou
浅埋阳极地床	qianmaiyangjidichuang
牵伸比	qianshenbi
牵伸罗拉	qianshenluola
潜水面	qianshuimian
潜水员换装舱	qianshuiyuanhuanzhuangcang
浅滩	qiantan
牵引	qianyin
牵引螺栓	qianyinluoshuan
牵引设备	qianyinshebei
牵引头	qianyintou
前缘走廊	qianyuanzoulang
潜在胶质	qianzaijiaozhi
潜在酸	qianzaisuan
前置式游梁抽油机	qianzhishiyouliangchouyouji
羟胺硫酸盐	qianganliusuanyan
羟烷基羧甲基化	qiangwanjisuojiajihua
羟乙基化	qiangyijihua
强隐式法	qiangyinshifa
强制电流	qiangzhidianliu
强制排流	qiangzhipailiu
强制石油储备	qiangzhishiyouchubei
切削油	qiexiaoyou
侵入校正	qinrujiaozheng
侵入直径	qinruzhijing
轻柴油	qingchaiyou
倾覆力臂	qingfulibi
清管器收发装置	qingguanqishoufazhuangzhi
清管三通	qingguansantong
倾角	qingjiao
清焦	qingjiao
倾角测量仪	qingjiaoceliangyi
氢硫化物	qingliuhuawu
清气过滤器	qingqiguolvqi
氢氰酸	qingqingsuan
青石	qingshi
氢碳原子比	qingtanyuanzibi
氢同位素	qingtongweisu
倾向滑动断层	qingxianghuadongduanceng
倾斜距离	qingxiejuli
倾斜式修井机	qingxieshixiujingji
清淤	qingyu
轻质可燃气体探测器	qingzhikeranqititanceqi
球罐散装法	qiuguansanzhuangfa
球接头	qiujietou
球面波	qiumianbo
曲柄	qubing
曲柄偏置角	qubingpianzhijiao
驱动机组底座	qudongjizudizuo
去交混回响	qujiaohunhuixiang
曲流河沉积	quliuhechenji
曲线板	quxianban
曲线网格	quxianwangge
取心井	quxinjing
取心钻压	quxinzuanya
区域场校正	quyuchangjiaozheng
区域地震地层学	quyudizhendicengxue
区域码	quyuma
区域评价	quyupingjia
圈闭	quanbi
圈闭发现率	quanbifaxianlv
圈闭容积	quanbirongji
全国石油炼油商协会	quanguoshiyoulianyoushangxiehui
全国石油炼制者协会	quanguoshiyoulianzhizhexiehui
全国石油零售商协会	quanguoshiyoulingshoushangxiehui
全国石油批发商协会	quanguoshiyoupifashangxiehui
全国石油委员会	quanguoshiyouweiyuanhui
全国石油协会	quanguoshiyouxiehui
全国液化石油气协会	quanguoyehuashiyouqixiehui
确定性反褶积	quedingxingfanzheji
炔烃加氢反应器	quetingjiaqingfanyingqi
