汉字	读音 1	教材核心组词 1	读音 2	教材核心组词 2	读音 3	教材核心组词 3	考点核心区分（部编版教材要求）
委	wěi	委托、委员、委屈	wēi	委蛇、虚与委蛇	-	-	托付 / 曲折（书面固定搭配）
尾	wěi	尾巴、末尾、尾声	yǐ	尾巴、马尾（口语轻声）	-	-	书面 / 口语动物尾部（轻声）
尉	wèi	校尉、尉官、上尉	yù	尉迟、尉犁	-	-	官职 / 姓氏 / 新疆地名专用
遗	yí	遗失、遗忘、遗产	wèi	遗之千金、遗赠	-	-	丢失 / 留下（书面，赠送）
乌	wū	乌鸦、乌黑、乌云	wù	乌拉、乌木（口语）	-	-	一般义 / 东北方言乌拉草（固定搭配）
无	wú	无边、无用、无法	wù	南无、南无阿弥陀佛	-	-	一般义 / 佛教专用（诵经固定搭配）
捂	wǔ	捂住、捂嘴、捂汗	wù	捂捂盖盖（口语轻声）	-	-	动作 / 口语叠词保暖（固定搭配）
洗	xǐ	洗手、洗脸、清洗	xiǎn	洗马、太子洗马（古官名）	-	-	日常动作 / 古代官名（固定搭配）
铣	xǐ	铣床、铣刀、铣削	xiǎn	铣铁、铣钢（方言）	-	-	机械加工 / 方言金属材料
戏	xì	戏曲、游戏、戏剧	hū	於戏、呜呼（文言叹词）	-	-	一般义 / 古通 “呜呼”（叹词）
吓	xià	吓唬、吓人、惊吓	hè	恐吓、威吓、恫吓	-	-	口语害怕 / 书面逼迫威胁
鲜	xiān	新鲜、鲜艳、鲜美	xiǎn	鲜见、鲜有、鲜为人知	-	-	鲜活 / 少（书面固定搭配）
相	xiāng	相信、相互、相处	xiàng	相貌、相片、宰相	-	-	交互 / 外貌 / 官职
巷	xiàng	小巷、巷子、街巷	hàng	巷道、矿巷	-	-	日常街道 / 采矿坑道（专业名词）
削	xiāo	削皮、削铅笔、削苹果	xuē	削弱、削减、削价	-	-	去掉外皮（口语）/ 减少（书面）
血	xuè	血液、血型、血汗（书面）	xiě	流血、鸡血、抽血（口语）	-	-	书面正式 / 口语日常
咽	yān	咽喉、咽炎、咽头	yàn	吞咽、下咽、咽饭	yè	呜咽、哽咽、幽咽	器官 / 吞咽动作 / 哭声（悲泣）
燕	yàn	燕子、飞燕、燕窝	yān	燕山、燕京、燕赵	-	-	鸟类 / 地名专用
要	yào	重要、需要、要点	yāo	要求、要挟、要功	-	-	关键需要 / 强迫索取
殷	yīn	殷勤、殷切、殷商	yān	殷红、殷红似血	yǐn	殷殷其雷（文言）	热情朝代 / 红色 / 文言雷声
应	yīng	应该、应当、应届	yìng	答应、回应、适应	-	-	理应 / 回应适应
佣	yōng	佣人、雇佣、佣工	yòng	佣金、佣钱、佣费	-	-	仆人 / 报酬
载	zǎi	记载、登载、三年五载	zài	载重、载客、满载	-	-	记录计时 / 装载运输
扎	zhā	扎针、扎根、扎营	zhá	挣扎	zā	扎辫子、扎紧、扎彩	刺 / 固定 / 用力支撑 / 捆绑
粘	zhān	粘贴、粘连、粘住	nián	粘性、粘米、粘稠	-	-	粘贴动作 / 性质粮食
涨	zhǎng	涨价、涨潮、涨水	zhàng	涨红、头昏脑涨、涨大	-	-	水位 / 价格上升 / 膨胀发红
着	zhe	看着、走着、想着（助词）	zhuó	穿着、着陆、附着	zháo	着火、着急、着凉	结构助词 / 附着 / 燃烧 / 急躁 / 受凉
			zhāo	着数、着法、高着	-	-	计谋办法（口语）
正	zhèng	正确、正常、正式	zhēng	正月、新正	-	-	标准 / 农历新年第一个月
只	zhī	一只、只身、只言片语	zhǐ	只有、只要、只是	-	-	量词 / 仅仅（副词）
中	zhōng	中间、中心、中午	zhòng	中奖、击中、中意	-	-	方位 / 命中正对
种	zhǒng	种子、种类、品种	zhòng	种地、种植、耕种	chóng	种姓（古）	植物胚 / 种植动作 / 古姓氏
转	zhuǎn	转弯、转学、转达	zhuàn	转动、转圈、转盘	zhuǎi	转文（口语）	改变方向 / 旋转 / 卖弄文采
钻	zuān	钻研、钻孔、钻营	zuàn	钻石、电钻、钻头	-	-	深入研究 / 打孔 / 宝石工具
作	zuò	作业、作文、作品	zuō	作坊、作场、作弄
