阿拉伯咖啡	alabokafei
话梅手剥笋	huameishoubosun
滑嫰黄金木瓜布丁	huanenhuangjinmuguabuding
花旗参炖水鸭	huaqishendunshuiya
花旗参炖竹丝鸡	huaqishendunzhusiji
花旗参螺头汤	huaqishenluotoutang
滑肉	huarou
滑肉白菜	huaroubaicai
滑肉莴笋	huarouwosun
花茹田鸡	huarutianji
花生大枣猪蹄汤	huashengdazaozhutitang
花生豆罐	huashengdouguan
花生糕	huashenggao
花生桂圆红枣汤	huashengguiyuanhongzaotang
花生烘糕	huashenghonggao
花生红米饭	huashenghongmifan
花生鸡脚汤	huashengjijiaotang
花生酱葱花饼	huashengjiangconghuabing
花生酱糯米糍	huashengjiangnuomici
花生酱小蛋糕	huashengjiangxiaodangao
花生奶油夹	huashengnaiyoujia
花生奶油小面包	huashengnaiyouxiaomianbao
花生仁拌芹菜	huashengrenbanqincai
花生酥	huashengsu
花生酥心糖	huashengsuxintang
花生衣红	huashengyihong
花生油	huashengyou
花生枣	huashengzao
花生芝麻糕	huashengzhimagao
花生支竹鱼头汤	huashengzhizhuyutoutang
花生猪蹄	huashengzhuti
滑石粉	huashifen
花式麻辣小龙虾	huashimalaxiaolongxia
花式酥	huashisu
花式绣球酥	huashixiuqiusu
华泰名茶	huataimingcha
花型小饼干	huaxingxiaobinggan
华珍	huazhen
淮安茶馓	huaianchasan
槐豆胶	huaidoujiao
槐花木耳猪肚汤	huaihuamuerzhudutang
槐花猪肠汤	huaihuazhuchangtang
怀来杏脯	huailaixingfu
淮杞炖羊肉	huaiqidunyangrou
淮杞鸡脚响螺汤	huaiqijijiaoxiangluotang
淮杞浸乌鸡	huaiqijinwuji
淮山芡实炖鱼肚	huaishanqianshidunyudu
淮山薏苡仁萝卜粥	huaishanyiyirenluobozhou
怀胎桂鱼	huaitaiguiyu
淮扬春卷	huaiyangchunjuan
环己基氨基磺酸钙	huanjijianjihuangsuangai
环己基氨基磺酸钠	huanjijianjihuangsuanna
环己基丙酸烯丙酯	huanjijibingsuanxibingzhi
还童茶	huantongcha
欢心美	huanxinmei
换心乌贼	huanxinwuzei
环宇牌	huanyupai
环状糊精	huanzhuanghujing
黄茶	huangcha
黄豆炖猪脚	huangdoudunzhujiao
黄豆猪肝汤	huangdouzhugantang
皇盾	huangdun
黄糕	huanggao
黄格蟹	huanggexie
皇宫牛肉软罐头	huanggongniurouruanguantou
黄瓜拌鸭掌	huangguabanyazhang
黄瓜炒肉丝	huangguachaorousi
黄瓜汆里脊片	huangguacuanlijipian
黄瓜鸡杂汤	huangguajizatang
黄瓜苹果汁	huangguapingguozhi
黄瓜葡萄香蕉汁	huangguaputaoxiangjiaozhi
黄瓜蟹肉筒	huangguaxieroutong
黄桂稠酒	huangguichoujiu
黄花菜瘦肉汤	huanghuacaishouroutang
黄花鱼	huanghuayu
煌佳	huangjia
皇家咖啡	huangjiakafei
黄金堡	huangjinbao
黄金豆腐	huangjindoufu
黄金咖喱角	huangjingalijiao
黄金马蹄条	huangjinmatitiao
黄金肉丸	huangjinrouwan
黄金虾托	huangjinxiatuo
黄金杏仁莲蓉月饼	huangjinxingrenlianrongyuebing
黄精炖肉	huangjingdunrou
黄精鸡蛋汤	huangjingjidantang
黄精蒸鸡	huangjingzhengji
皇岭	huangling
黄焖鸡块	huangmenjikuai
黄焖甲鱼	huangmenjiayu
黄焖鳗	huangmenman
黄焖全鸡	huangmenquanji
黄焖肉	huangmenrou
黄焖鸭肝	huangmenyagan
黄米面烤粩	huangmimiankaolao
黄米面凉糕	huangmimianlianggao
黄泥螺	huangniluo
黄泥煨鸡	huangniweiji
黄袍加身	huangpaojiashen
黄耆茯苓鸡汤	huangqifulingjitang
黄桥烧饼	huangqiaoshaobing
皇禽酱鸭	huangqinjiangya
黄山炖鸽	huangshandunge
黄山贡尖茶	huangshangongjiancha
黄山毛峰	huangshanmaofeng
黄山毛峰茶	huangshanmaofengcha
黄山三美	huangshansanmei
黄山云翠	huangshanyuncui
黄狮茶	huangshicha
黄石港饼	huangshigangbing
黄石溪毛峰	huangshiximaofeng
黄蜀葵胶	huangshukuijiao
黄松糕	huangsonggao
黄桃丁罐头	huangtaodingguantou
黄桃罐头	huangtaoguantou
黄桃摩司	huangtaomosi
黄心管儿	huangxinguaner
黄岩桔饼	huangyanjubing
黄油	huangyou
黄油曲奇	huangyouquqi
黄油圆蛋糕	huangyouyuandangao
黄油汁	huangyouzhi
黄鱼丝	huangyusi
黄鱼鱼肚汤	huangyuyudutang
黄原胶	huangyuanjiao
烩白菜	huibaicai
汇堡干红	huibaoganhong
徽菜	huicai
惠尔堂龟苓膏	huiertangguilinggao
烩肥肠	huifeichang
回锅牛小排	huiguoniuxiaopai
回锅肉	huiguorou
回锅鱼片	huiguoyupian
烩海参	huihaishen
烩金银丝	huijinyinsi
慧娟火腿笋干老鸭面	huijuanhuotuisunganlaoyamian
惠美寿名茶	huimeishoumingcha
烩散丹	huisandan
烩三丝鱼翅	huisansiyuchi
惠山油酥	huishanyousu
徽式双冬	huishishuangdong
灰树	huishu
灰树花保健饮料	huishuhuabaojianyinliao
烩酸菜	huisuancai
烩豌豆	huiwandou
回味香黑鸭	huiweixiangheiya
回味鱼片	huiweiyupian
烩乌龟蛋	huiwuguidan
茴香醇	huixiangchun
茴香基丙酮	huixiangjibingtong
茴香粥	huixiangzhou
烩蟹肉	huixierou
烩鸭四宝	huiyasibao
烩鸭腰儿	huiyayaoer
烩银耳	huiyiner
烩银丝	huiyinsi
徽州饼	huizhoubing
徽州园子	huizhouyuanzi
徽州圆子	huizhouyuanzi
荤豆花	hundouhua
婚礼蛋糕	hunlidangao
荤罗汉	hunluohan
浑婆鱼头	hunpoyutou
婚庆蛋糕	hunqingdangao
馄饨	huntun
馄饨千层饼	huntunqiancengbing
馄饨香蕉卷	huntunxiangjiaojuan
馄饨鸭子	huntunyazi
火爆肚头	huobaodutou
火爆荔枝腰	huobaolizhiyao
火爆双脆	huobaoshuangcui
火爆腰花	huobaoyaohua
火爆腰块	huobaoyaokuai
火鞭牛肉	huobianniurou
火锅粉	huoguofen
火晶柿子	huojingshizi
火焗鸭	huojuya
火炼金身	huolianjinshen
火龙果	huolongguo
火热香辣蟹	huorexianglaxie
火山鸣	huoshanming
火山鸣泉	huoshanmingquan
火烧头尾	huoshaotouwei
火腿白菜	huotuibaicai
火腿饼	huotuibing
火腿炒茄瓜	huotuichaoqiegua
火腿大头菜酥	huotuidatoucaisu
火腿豆豉	huotuidouchi
火腿豆焖饭	huotuidoumenfan
火腿炖甲鱼	huotuidunjiayu
火腿鸡丝卷	huotuijisijuan
火腿鸡杂饵丝	huotuijizaersi
火腿萝卜饼	huotuiluobobing
火腿萝卜丝汤	huotuiluobositang
火腿酥腰	huotuisuyao
火腿土司	huotuitusi
火腿鱼	huotuiyu
活性钙	huoxinggai
活血药酒	huoxueyaojiu
火炙糕	huozhigao
吉安薄酥饼	jianbosubing
鸡包鱼翅	jibaoyuchi
基本戚风蛋糕	jibenqifengdangao
荠菜干贝羹	jicaiganbeigeng
荠菜肉馄饨	jicairouhuntun
荠菜鱼卷	jicaiyujuan
鸡肠饼	jichangbing
鸡翅羊肚菌	jichiyangdujun
肌醇	jichun
肌醇六磷酸钠	jichunliulinsuanna
鸡蛋包藕	jidanbaoou
鸡蛋炒菠菜	jidanchaobocai
鸡蛋春饼	jidanchunbing
鸡蛋翡翠面	jidanfeicuimian
鸡蛋果奶	jidanguonai
鸡蛋荞麦饼	jidanqiaomaibing
鸡蛋熨斗糕	jidanyundougao
几丁质	jidingzhi
鸡豆花	jidouhua
己二酸	jiersuan
肌苷酸二钠	jigansuanerna
继光饼	jiguangbing
挤花	jihua
己基间苯二酚	jijijianbenerfen
己基肉桂醛	jijirouguiquan
鸡里爆	jilibao
吉利大虾	jilidaxia
吉利虾	jilixia
鸡粒玉米	jiliyumi
吉林省	jilinsheng
鸡焖蟹煲	jimenxiebao
基摩	jimo
济南蜜三刀	jinanmisandao
激情海岸	jiqinghaian
己醛	jiquan
鸡茸笔架鱼肚	jirongbijiayudu
鸡茸花菜	jironghuacai
鸡茸芦笋	jironglusun
鸡蓉奶油羹	jirongnaiyougeng
鸡茸瓦楞卷	jirongwalengjuan
鸡茸银耳	jirongyiner
鸡茸银杏	jirongyinxing
鸡肉滷味	jirouluwei
济生健美晶	jishengjianmeijing
即食鲍鱼	jishibaoyu
鸡丝豆苗	jisidoumiao
鸡丝虎掌菌	jisihuzhangjun
基斯乐	jisile
鸡丝米粉	jisimifen
鸡丝汤面	jisitangmian
鸡丝燕窝	jisiyanwo
鸡丝月饼	jisiyuebing
姬松茸	jisongrong
己酸	jisuan
己酸烯丙酯	jisuanxibingzhi
己酸香叶酯	jisuanxiangyezhi
己酸乙酯	jisuanyizhi
鸡汤氽海蚌	jitangtunhaibang
鸡汤煮千丝	jitangzhuqiansi
鸡腿汤	jituitang
鸡尾酒	jiweijiu
鸡尾酒泡芙	jiweijiupaofu
己烯醇	jixichun
己烯醛	jixiquan
绩溪一品锅	jixiyipinguo
集贤里	jixianli
吉祥顶呱呱	jixiangdingguagua
吉祥干贝	jixiangganbei
鸡心豆	jixindou
鸡血汤	jixuetang
鸡油菜心	jiyoucaixin
鸡油年糕	jiyouniangao
鸡油香菇	jiyouxianggu
鲫鱼汆白玉	jiyucuanbaiyu
鲫鱼豆腐汤	jiyudoufutang
鸡杂	jiza
鸡沾口蘑	jizhankoumo
鸡汁菜卷	jizhicaijuan
鸡汁锅贴	jizhiguotie
鸡汁土豆泥	jizhitudouni
鸡汁虾卷	jizhixiajuan
鸡汁燕窝	jizhiyanwo
鸡纵	jizong
鸡纵菌罐头	jizongjunguantou
鸡棕酥	jizongsu
甲白皮	jiabaipi
家常熬鱼	jiachangaoyu
家常炒面	jiachangchaomian
家常豆腐	jiachangdoufu
家常海参	jiachanghaishen
家常鸡块	jiachangjikuai
家常烤鸡	jiachangkaoji
家常旺	jiachangwang
嘉吉	jiaji
甲基苯乙酮	jiajibenyitong
甲基丁酸	jiajidingsuan
甲基丁香酚	jiajidingxiangfen
甲基环戊烯醇酮	jiajihuanwuxichuntong
甲基己醛	jiajijiquan
甲基邻氨基苯甲酸甲酯	jiajilinanjibenjiasuanjiazhi
甲基香豆素	jiajixiangdousu
甲基乙酸乙酯	jiajiyisuanyizhi
嘉骏	jiajun
钾明矾硫酸铝铵	jiamingfanliusuanlvan
甲壳素	jiaqiaosu
贾三灌汤包子	jiasanguantangbaozi
夹沙煎饼	jiashajianbing
夹沙条头糕	jiashatiaotougao
夹沙月饼	jiashayuebing
甲酸松油酯	jiasuansongyouzhi
加头珠江鸳鸯月饼	jiatouzhujiangyuanyangyuebing
加味二妙散	jiaweiermiaosan
加馅卷糕	jiaxianjuangao
家乡南肉	jiaxiangnanrou
家乡肉	jiaxiangrou
家乡芝士蛋糕	jiaxiangzhishidangao
夹心饼干	jiaxinbinggan
夹心柿饼	jiaxinshibing
夹心虾糕	jiaxinxiagao
夹心蒸蛋糕	jiaxinzhengdangao
佳肴大盘鸡	jiayaodapanji
加州庄园	jiazhouzhuangyuan
煎饼	jianbing
煎饼果子	jianbingguozi
煎雏肉	jianchurou
建德烧饼	jiandeshaobing
煎豆腐鱼烙	jiandoufuyulao
煎鹅肝	jianegan
健尔茗	jianerming
减肥菜谱香菇豆腐	jianfeicaipuxianggudoufu
煎封鲳鱼	jianfengchangyu
坚果蛋糕	jianguodangao
剑花蜜枣猪肺汤	jianhuamizaozhufeitang
尖椒炒蛋	jianjiaochaodan
尖椒耗儿鱼	jianjiaohaoeryu
尖椒鸡	jianjiaoji
尖椒肉丝	jianjiaorousi
尖椒兔	jianjiaotu
煎金钱牛柳	jianjinqianniuliu
健康乐	jiankangle
健力	jianli
健力宝	jianlibao
煎连壳蟹	jianliankexie
健美茶	jianmeicha
尖蜜拉	jianmila
剑南春	jiannanchun
健脑补肾鸡汤	jiannaobushenjitang
健脑核桃排骨汤	jiannaohetaopaigutang
煎酿斑鸠	jianniangbanjiu
煎酿茄子	jianniangqiezi
煎茄片	jianqiepian
煎软鸡	jianruanji
碱酥饼	jiansubing
煎丸子	jianwanzi
简易蛋糕	jianyidangao
简易蓝莓布丁	jianyilanmeibuding
煎云吞	jianyuntun
煎蒸黄鱼	jianzhenghuangyu
煎转鲫鱼	jianzhuanjiyu
酱爆牛肉	jiangbaoniurou
酱爆青蟹	jiangbaoqingxie
酱爆肉	jiangbaorou
酱爆肉酥饼	jiangbaorousubing
姜爆三丝	jiangbaosansi
酱爆鸭块	jiangbaoyakuai
姜爆鸭丝	jiangbaoyasi
江北花生粘	jiangbeihuashengzhan
姜茶乌梅粥	jiangchawumeizhou
酱炒鸡翼球	jiangchaojiyiqiu
酱炒萝卜糕	jiangchaoluobogao
姜葱炒蟹	jiangcongchaoxie
姜葱基围虾	jiangcongjiweixia
姜葱煀鲤鱼	jiangcongkuoliyu
姜葱螃蟹	jiangcongpangxie
姜葱蟹煲	jiangcongxiebao
酱豆腐肉	jiangdoufurou
豇豆烧肉	jiangdoushaorou
江帆牌巧克力酒心糖	jiangfanpaiqiaokelijiuxintang
酱粉丝菠菜	jiangfensibocai
酱瓜炒肉丝	jiangguachaorousi
酱核桃	jianghetao
降红木素	jianghongmusu
江华毛尖	jianghuamaojian
姜黄	jianghuang
酱黄瓜	jianghuanggua
姜黄素	jianghuangsu
酱鸡	jiangji
酱椒鱼头	jiangjiaoyutou
江津米花糖	jiangjinmihuatang
江米酿鸭子	jiangminiangyazi
江米条	jiangmitiao
酱蜜汁烤鸭脯	jiangmizhikaoyapu
姜茸柠檬锔鸡腿	jiangrongningmengjujitui
酱肉丝	jiangrousi
姜乳蒸饼	jiangruzhengbing
江山绿牡丹茶	jiangshanlvmudancha
酱烧冬瓜条	jiangshaodongguatiao
酱烧茭白	jiangshaojiaobai
酱烧茄	jiangshaoqie
酱烧茄子	jiangshaoqiezi
浆水麺	jiangshuimian
浆水鱼鱼	jiangshuiyuyu
姜丝焗肉蟹	jiangsijurouxie
姜丝牛肉	jiangsiniurou
姜丝肉蟹	jiangsirouxie
江苏菜	jiangsucai
江苏省	jiangsusheng
酱酥桃仁	jiangsutaoren
姜糖	jiangtang
姜味蛋糕	jiangweidangao
姜味甜饼	jiangweitianbing
江西省	jiangxisheng
降压决明粥	jiangyajuemingzhou
降压清热海带汤	jiangyaqingrehaidaitang
酱羊肉	jiangyangrou
江阴马蹄酥	jiangyinmatisu
酱油	jiangyou
姜油	jiangyou
酱油嫩鸡	jiangyounenji
酱油曲营养饮料	jiangyouquyingyangyinliao
姜汁拌菠菜	jiangzhibanbocai
姜汁扁豆	jiangzhibiandou
姜汁饼	jiangzhibing
姜汁菠菜	jiangzhibocai
姜汁赤贝	jiangzhichibei
姜汁刀豆	jiangzhidaodou
姜汁排叉儿	jiangzhipaichaer
酱汁排骨	jiangzhipaigu
姜汁啤酒	jiangzhipijiu
姜汁热味鸡	jiangzhireweiji
姜汁热窝鸡	jiangzhirewoji
酱汁顺风糕	jiangzhishunfenggao
酱汁鸭方	jiangzhiyafang
姜汁鸭掌	jiangzhiyazhang
降脂益寿茶	jiangzhiyishoucha
姜汁仔鸡	jiangzhiziji
茭白炒毛豆	jiaobaichaomaodou
焦盖烧饼	jiaogaishaobing
绞股蓝粥	jiaogulanzhou
叫化鸡	jiaohuaji
叫化仔鸡	jiaohuaziji
焦磷酸二氢二钠	jiaolinsuanerqingerna
焦磷酸钠	jiaolinsuanna
焦溜肥肠	jiaoliufeichang
椒麻豆腐鸡	jiaomadoufuji
椒麻鸡	jiaomaji
椒麻鸡片	jiaomajipian
胶姆糖基础剂	jiaomutangjichuji
焦圈	jiaoquan
焦糖	jiaotang
焦糖布丁	jiaotangbuding
焦糖奶油吐司	jiaotangnaiyoutusi
焦糖泡芙	jiaotangpaofu
焦糖色	jiaotangse
搅团	jiaotuan
焦亚硫酸钾	jiaoyaliusuanjia
焦亚硫酸钠	jiaoyaliusuanna
椒盐八宝鸡	jiaoyanbabaoji
椒盐肚尖	jiaoyandujian
椒盐麻饼	jiaoyanmabing
椒盐桃片	jiaoyantaopian
椒盐蹄膀	jiaoyantibang
椒盐虾	jiaoyanxia
椒盐肘子	jiaoyanzhouzi
椒油扁豆	jiaoyoubiandou
椒油炝芹菜	jiaoyouqiangqincai
饺子宴	jiaoziyan
解百纳	jiebaina
芥菜咸蛋鱼头汤	jiecaixiandanyutoutang
接骨糯	jiegunuo
解酒方	jiejiufang
芥兰炒香肠	jielanchaoxiangchang
芥兰牛肉	jielanniurou
节路顿树胶	jieludunshujiao
芥末	jiemo
芥末鸭膀	jiemoyabang
碣滩茶	jietancha
金澳	jinao
津八件	jinbajian
金巴利	jinbali
金包银	jinbaoyin
金蟾拜月	jinchanbaiyue
金德啤酒	jindepijiu
金岗银针茶	jingangyinzhencha
金糕	jingao
金糕卷	jingaojuan
金钩蛋卷	jingoudanjuan
金钩挂玉牌	jingouguayupai
金钩青菜心	jingouqingcaixin
金桂花茶饼	jinguihuachabing
金汉斯烤肉	jinhansikaorou
金华五仁月饼	jinhuawurenyuebing
金华玉树鸡	jinhuayushuji
金黄蜜枣	jinhuangmizao
金鸡独立	jinjiduli
金奖惠明茶	jinjianghuimingcha
金酒	jinjiu
金菊	jinju
金桔	jinju
金桔花	jinjuhua
金桔丝	jinjusi
进口鲍汁海螺片	jinkoubaozhihailuopian
金绿罐礼盒	jinlvguanlihe
金牛牌奶油蛋卷	jinniupainaiyoudanjuan
金牛鸭子	jinniuyazi
金诺	jinnuo
金牌叉烧酥	jinpaichashaosu
金牌胡萝卜	jinpaihuluobo
金牌手撕鸭	jinpaishousiya
金牌蒜香骨	jinpaisuanxianggu
金牌猪手王	jinpaizhushouwang
金钱草粥	jinqiancaozhou
金钱干贝	jinqianganbei
金钱海参	jinqianhaishen
金钱鸡卷	jinqianjijuan
金钱鸡塔	jinqianjita
金钱口蘑汤	jinqiankoumotang
金钱牛排	jinqianniupai
金钱肉	jinqianrou
金钱吐丝	jinqiantusi
金钱香菇	jinqianxianggu
金钱洋芋饼	jinqianyangyubing
金钱鱼肚	jinqianyudu
金钱芝麻虾	jinqianzhimaxia
金枪鱼	jinqiangyu
金枪鱼面包	jinqiangyumianbao
金枪鱼三文治	jinqiangyusanwenzhi
金秋之梨	jinqiuzhili
金雀舌	jinqueshe
金色咖啡茶	jinsekafeicha
金沙土豆泥	jinshatudouni
金山时雨茶	jinshanshiyucha
今生缘	jinshengyuan
进士糕和状元饼	jinshigaohezhuangyuanbing
金狮奶糖	jinshinaitang
金狮绣球	jinshixiuqiu
金丝饼	jinsibing
金丝海蟹	jinsihaixie
金丝琥珀蜜枣	jinsihupomizao
金丝蜜枣	jinsimizao
金丝烧麦	jinsishaomai
金丝玉兔	jinsiyutu
金粟棒棒鱼饼	jinsubangbangyubing
金塘李蜜饯	jintanglimijian
金腿脊梅炖腰酥	jintuijimeidunyaosu
金腿鲫鱼	jintuijiyu
金万利香橙白兰地咖啡	jinwanlixiangchengbailandikafei
金万利香橙酒	jinwanlixiangchengjiu
津威	jinwei
金威啤酒	jinweipijiu
金屋藏娇	jinwucangjiao
金溪藕丝糖	jinxiousitang
金镶玉板	jinxiangyuban
金杏	jinxing
金星啤酒	jinxingpijiu
锦绣时菜塔	jinxiushicaita
锦绣鱼丝	jinxiuyusi
金叶奶油蛋糕	jinyenaiyoudangao
金银蹄	jinyinti
金银枣	jinyinzao
金樱子棕	jinyingzizong
金玉满堂	jinyumantang
金鱼戏莲	jinyuxilian
金鱼鸭掌	jinyuyazhang
金元宝	jinyuanbao
金枣烧排骨	jinzaoshaopaigu
金盏松茸	jinzhansongrong
今朝	jinzhao
津兆尹	jinzhaoyin
今朝缘	jinzhaoyuan
金针豆腐	jinzhendoufu
金针粉丝煮	jinzhenfensizhu
金针菇	jinzhengu
金针菇冬笋	jinzhengudongsun
金针菇罐头	jinzhenguguantou
金种子	jinzhongzi
金钻甜奶油	jinzuantiannaiyou
京八件	jingbajian
菁岛啤酒	jingdaopijiu
劲风	jingfeng
井岗翠绿	jinggangcuilv
镜糕	jinggao
精气神山黑猪清蒸肉罐头	jingqishenshanheizhuqingzhengrouguantou
荆沙鱼糕	jingshayugao
径山茶	jingshancha
兢山泉	jingshanquan
京式酸辣汤	jingshisuanlatang
京式月饼	jingshiyuebing
敬亭绿雪茶	jingtinglvxuecha
靖县蜜饯	jingxianmijian
景星碧绿茶	jingxingbilvcha
井研丝丝糕	jingyansisigao
晶玉海棠	jingyuhaitang
韭菜包	jiucaibao
韭菜包子	jiucaibaozi
韭菜炒黄鳝	jiucaichaohuangshan
韭菜炒绿豆芽	jiucaichaolvdouya
韭菜炒肉	jiucaichaorou
韭菜豆渣饼	jiucaidouzhabing
韭菜花	jiucaihua
韭菜墨鱼丝	jiucaimoyusi
韭菜苹果汁	jiucaipingguozhi
韭菜肉片汤	jiucairoupiantang
韭菜丝墨鱼汤	jiucaisimoyutang
韭菜鲜鱿	jiucaixianyou
九层塔煎蛋	jiucengtajiandan
酒肠	jiuchang
酒醋汁	jiucuzhi
九点半	jiudianban
九洞矿泉水	jiudongkuangquanshui
九华毛峰	jiuhuamaofeng
九黄饼	jiuhuangbing
韭黄肉丝	jiuhuangrousi
酒精饮料	jiujingyinliao
鸠坑毛尖	jiukengmaojian
九里飘香	jiulipiaoxiang
九龙茶	jiulongcha
酒酿斑鸠	jiuniangbanjiu
酒酿鸽蛋	jiunianggedan
酒酿金腿	jiuniangjintui
酒烹海螺	jiupenghailuo
九泉山水	jiuquanshanshui
酒石酸	jiushisuan
酒石酸氢胆碱	jiushisuanqingdanjian
酒石酸氢钾	jiushisuanqingjia
酒香椒盐肘子	jiuxiangjiaoyanzhouzi
酒心巧克力	jiuxinqiaokeli
九姓团圆	jiuxingtuanyuan
九阳汤锅	jiuyangtangguo
鸠园栗香茶	jiuyuanlixiangcha
九月肉片	jiuyueroupian
聚丁烯	judingxi
聚二甲基硅氧烷	juerjiajiguiyangwan
聚甘油蓖麻醇酯	juganyoubimachunzhi
聚甘油单硬脂酸酯	juganyoudanyingzhisuanzhi
聚甘油脂肪酸酯	juganyouzhifangsuanzhi
橘红糕	juhonggao
菊花冬笋	juhuadongsun
菊花豆腐	juhuadoufu
菊花对蟹	juhuaduixie
菊花糕	juhuagao
菊花枸杞茶	juhuagouqicha
菊花锅	juhuaguo
菊花锅子	juhuaguozi
菊花海鲜锅	juhuahaixianguo
菊花黄浸膏	juhuahuangjingao
菊花火锅	juhuahuoguo
桔花晶	juhuajing
菊花里脊	juhualiji
菊花鲈鱼	juhualuyu
菊花青鱼	juhuaqingyu
菊花酥饼	juhuasubing
菊花鱿鱼	juhuayouyu
菊花鱼丸	juhuayuwan
菊花榨菜鱼卷	juhuazhacaiyujuan
菊花猪肝汤	juhuazhugantang
橘露汤圆	julutangyuan
桔络丸子	juluowanzi
桔皮酱夹心饼干	jupijiangjiaxinbinggan
聚葡萄糖	juputaotang
蒟蒻凉拌	juruoliangban
聚三鲜	jusanxian
橘香白巧克力	juxiangbaiqiaokeli
桔阳	juyang
聚氧丙烯甘油醚	juyangbingxiganyoumi
聚氧丙烯氧化乙烯甘油醚	juyangbingxiyanghuayixiganyoumi
聚氧乙烯聚氧丙醇胺醚	juyangyixijuyangbingchunanmi
聚氧乙烯聚氧丙烯胺醚	juyangyixijuyangbingxianmi
聚氧乙烯聚氧丙烯季戊四醇醚	juyangyixijuyangbingxijiwusichunmi
聚氧乙烯木糖醇酐单硬脂酸酯	juyangyiximutangchungandanyingzhisuanzhi
聚氧乙烯山梨醇酐单硬脂酸酯	juyangyixishanlichungandanyingzhisuanzhi
聚氧乙烯山梨醇酐单油酸酯	juyangyixishanlichungandanyousuanzhi
聚氧乙烯山梨醇酐单月桂酸酯	juyangyixishanlichungandanyueguisuanzhi
聚氧乙烯山梨醇酐单棕榈酸酯	juyangyixishanlichungandanzonglvsuanzhi
聚异丁烯	juyidingxi
聚乙二醇	juyierchun
聚乙酸乙烯酯	juyisuanyixizhi
聚乙烯	juyixi
聚乙烯醇	juyixichun
菊枣蜂蜜露	juzaofengmilu
桔子柠檬布丁	juziningmengbuding
卷粉	juanfen
卷筒蛋糕	juantongdangao
卷心菜洋葱汁	juanxincaiyangcongzhi
决明枸杞茶	jueminggouqicha
决明荷叶茶	juemingheyecha
决明胶	juemingjiao
决明子茶	juemingzicha
决明子粥	juemingzizhou
君度酒咖啡	jundujiukafei
君乐	junle
君山银针茶	junshanyinzhencha
均质豆浆	junzhidoujiang
君之薇	junzhiwei
卡布基诺	kabujinuo
卡布罗尔巴西烤肉	kabuluoerbaxikaorou
卡布奇诺冰咖啡	kabuqinuobingkafei
卡布奇诺蛋糕	kabuqinuodangao
咖啡蛋糕卷	kafeidangaojuan
咖啡豆	kafeidou
咖啡欧蕾	kafeioulei
咖啡糖	kafeitang
咖啡小蛋糕	kafeixiaodangao
咖啡因	kafeiyin
咖啡榛子蛋糕	kafeizhenzidangao
卡夫果珍	kafuguozhen
卡拉胶	kalajiao
卡拉什尼科夫伏特加	kalashinikefufutejia
卡蕾多儿	kaleiduoer
咖哩草菇	kalicaogu
咖哩鸡	kaliji
咖哩牛肉	kaliniurou
卡通蛋糕	katongdangao
卡依之	kayizhi
卡滋	kazi
凯复春	kaifuchun
开口笑	kaikouxiao
开屏柴把桂鱼	kaipingchaibaguiyu
开平麻花	kaipingmahua
凯撒沙律	kaisashalv
开山白毫茶	kaishanbaihaocha
开水白菜	kaishuibaicai
凯司令蛋糕	kaisilingdangao
开胃水鱼	kaiweishuiyu
开心蔬麦	kaixinshumai
砍花糖	kanhuatang
砍盆箐茶	kanpenjingcha
抗坏血酸	kanghuaixuesuan
抗坏血酸钙	kanghuaixuesuangai
抗坏血酸磷酸酯镁	kanghuaixuesuanlinsuanzhimei
抗坏血酸钠	kanghuaixuesuanna
抗坏血酸棕榈酸酯	kanghuaixuesuanzonglvsuanzhi
康加恋舞咖啡	kangjialianwukafei
抗结剂	kangjieji
康桔桔圆果	kangjujuyuanguo
炕炕馍	kangkangmo
抗浪鱼	kanglangyu
康师傅	kangshifu
康师傅冰红茶	kangshifubinghongcha
康寿茶	kangshoucha
抗衰老啤酒	kangshuailaopijiu
抗氧化剂	kangyanghuaji
扛糟鸡	kangzaoji
扛糟羊肉	kangzaoyangrou
烤扁担肉	kaobiandanrou
烤茶	kaocha
烤蛋方糕	kaodanfanggao
烤豆腐	kaodoufu
烤麸大包	kaofudabao
烤花揽鳜鱼	kaohualanguiyu
烤花揽桂鱼	kaohualanguiyu
烤黄蛋糕	kaohuangdangao
烤鸡肉串	kaojirouchuan
烤鳗鱼鸡蛋卷	kaomanyujidanjuan
烤面包盒	kaomianbaohe
烤奶油香蕉	kaonaiyouxiangjiao
烤南瓜汤配牛油曲奇饼	kaonanguatangpeiniuyouquqibing
烤牛骨	kaoniugu
烤牌子	kaopaizi
烤全羊	kaoquanyang
烤肉	kaorou
烤乳猪	kaoruzhu
烤兔肉	kaoturou
考维	kaowei
烤小鸡	kaoxiaoji
烤小猪	kaoxiaozhu
烤羊肉	kaoyangrou
烤羊肉串	kaoyangrouchuan
烤羊腿	kaoyangtui
可得然胶	kederanjiao
科飞	kefei
客家封鸡	kejiafengji
客家酿豆腐	kejianiangdoufu
壳聚糖	kejutang
可可菠萝泡芙	kekeboluopaofu
可可蛋糕	kekedangao
可可果	kekeguo
可可基	kekeji
可可咖啡	kekekafei
可可壳色	kekekese
可可栗子糖	kekelizitang
可可麦乳精	kekemairujing
可可小圆蛋糕	kekexiaoyuandangao
可口可乐	kekoukele
科劳	kelao
可乐鸡翅	kelejichi
克里斯汀抹茶小方	kelisitingmochaxiaofang
科露蕰堡	keluwenbao
克罗地可	keluodike
